date,open,high,low,close,volume
2017-06-07,59.7366,60.2372,59.459,60.1034,1617604
2017-06-08,60.0935,60.1976,59.1914,59.6276,3486602
2017-06-09,59.7862,59.925,58.6164,58.6957,2352814
2017-06-12,58.6263,58.894,57.4169,58.4776,2579658
2017-06-13,58.5569,59.122,58.4182,58.7651,1527210
2017-06-14,59.0229,59.2608,58.5371,58.8643,1203468
2017-06-15,58.7056,58.775,58.3091,58.6957,1092596
2017-06-16,58.8543,59.2707,58.7205,58.9931,2157514
2017-06-19,59.0625,60.143,59.0625,60.0241,2383659
2017-06-20,60.0241,60.3909,59.7713,59.806,1821710
2017-06-21,59.7862,60.0043,59.1517,59.2707,2247944
2017-06-22,59.4194,60.2719,59.0923,60.0836,3473861
2017-06-23,60.0637,60.0637,58.9833,59.2509,2879785
2017-06-26,59.2707,59.4293,58.6362,58.7255,1535542
2017-06-27,58.6164,59.0526,58.3289,58.3686,1060391
2017-06-28,58.7552,59.1815,58.6858,58.8841,1191537
2017-06-29,58.9655,59.2437,58.1111,58.4191,1357538
2017-06-30,58.6178,59.1841,58.4539,58.9258,1593786
2017-07-03,59.204,59.5915,58.747,58.747,1489574
2017-07-05,58.8066,59.661,58.8066,59.3828,1638980
2017-07-06,59.0748,59.3828,58.6873,58.8364,2249516
2017-07-07,59.1444,59.6809,58.9457,59.2437,965439
2017-07-10,59.0947,59.656,58.9953,59.4722,1146033
2017-07-11,59.6014,59.7703,59.0748,59.4126,2976519
2017-07-12,59.9392,60.5949,59.7703,60.3366,1439395
2017-07-13,60.8532,60.9128,60.277,60.7936,2060109
2017-07-14,60.883,61.2556,60.5204,61.1215,1286073
2017-07-17,61.201,61.4394,61.0023,61.1513,1332751
2017-07-18,61.0321,61.1413,60.5552,60.8135,1520122
2017-07-19,60.9228,61.2407,60.7737,60.9824,1512177
2017-07-20,61.0519,61.1513,60.4161,60.585,2009405
2017-07-21,60.4359,61.201,60.3664,60.9724,1283236
2017-07-24,60.9824,61.1811,60.8532,61.1016,973808
2017-07-25,61.1712,61.2606,59.9889,60.1478,1691988
