date,open,high,low,close,volume
2017-06-20,127.9917,128.0616,123.2923,123.3023,2233650
2017-06-21,124.0411,124.0411,118.0516,119.8984,2492913
2017-06-22,119.9982,122.2991,119.6189,120.4873,2118406
2017-06-23,120.5372,121.216,118.5408,119.529,2289560
2017-06-26,119.8485,124.4004,119.8485,121.5754,1544443
2017-06-27,121.1761,123.0827,121.0713,121.7451,1652619
2017-06-28,119.539,120.3875,116.4245,116.5044,2106073
2017-06-29,116.0452,118.0416,115.4163,115.8455,2184088
2017-06-30,116.2448,117.6124,115.8256,116.3846,994926
2017-07-03,117.2431,118.5208,116.0651,118.2014,914839
2017-07-05,109.936,111.5032,98.9553,105.0246,7348683
2017-07-06,104.2959,105.6434,102.0698,102.9782,2718737
2017-07-07,102.519,102.9882,100.7522,101.7504,2118536
2017-07-10,101.7604,102.2096,99.3247,100.9917,1909276
2017-07-11,100.9718,101.7538,99.1949,100.0734,1433046
2017-07-12,100.852,102.2495,100.3229,100.7621,1997099
2017-07-13,100.5126,103.6021,100.5126,103.0381,2222263
2017-07-14,103.4774,103.4973,101.4509,101.8602,1205382
2017-07-17,101.6306,102.8085,101.441,101.5607,1647627
2017-07-18,101.6007,101.8203,99.8038,100.1233,2218330
2017-07-19,100.293,101.7304,99.7739,100.6923,1413728
2017-07-20,100.5226,103.9565,99.6341,103.0481,1714491
2017-07-21,103.1879,105.2742,103.1779,105.0845,1216390
2017-07-24,104.9248,105.0146,102.9383,102.9882,1413681
2017-07-25,103.4075,105.7733,103.2877,105.1045,1249098
2017-07-26,105.5437,107.2906,104.9957,106.512,1700196
2017-07-27,107.8596,110.3452,107.051,110.1456,2247257
2017-07-28,109.7064,110.9941,109.0575,110.0158,1033123
2017-07-31,111.4133,112.7011,110.3588,111.8126,1979595
2017-08-01,113.4797,114.6776,113.2601,114.2783,1775193
2017-08-02,113.4797,114.6776,113.2601,114.2783,1775211
2017-08-03,114.0687,115.1967,110.2554,110.3353,1812661
2017-08-04,110.9342,111.6529,110.1057,110.8144,944085
2017-08-07,110.6647,110.9741,108.0094,109.2971,1435339
2017-08-08,109.317,110.6148,108.0992,109.1973,863575
2017-08-09,109.0475,110.0857,108.219,108.9876,938469
2017-08-10,108.2489,108.6283,105.0646,105.943,1844461
2017-08-11,105.9031,107.2806,105.0546,107.1509,1903503
2017-08-14,107.6899,109.6165,106.1427,109.1274,2130226
2017-08-15,91.8279,92.8361,82.0651,86.9266,19749515
2017-08-16,86.4075,92.6864,86.3976,91.3488,6530756
2017-08-17,90.5901,95.3217,90.0211,92.6864,4675083
2017-08-18,92.6764,94.8326,91.9677,93.0957,3073777
2017-08-21,93.7645,95.7809,93.3552,95.0223,1968927
2017-08-22,95.0622,96.5795,94.9025,95.6312,2075160
2017-08-23,95.1221,95.7909,92.936,93.3752,1775610
2017-08-24,94.0141,95.0822,92.1973,92.936,1407762
2017-08-25,93.3253,97.6676,92.8361,95.6312,1633170
2017-08-28,95.771,96.1403,93.7845,94.4932,1108307
