date,open,high,low,close,volume
2017-06-08,90.5827,90.5827,89.6198,89.9735,1113609
2017-06-09,89.6885,90.7006,89.438,90.4942,1157148
2017-06-12,90.2879,91.1329,90.2879,90.7497,816548
2017-06-13,90.8971,91.3785,90.4255,91.3785,636448
2017-06-14,91.3785,92.9428,91.2803,92.2629,901945
2017-06-15,91.8698,93.5205,91.1329,92.7836,1733738
2017-06-16,92.8917,92.9113,90.1405,90.9167,1880554
2017-06-19,90.9953,92.3808,90.1602,92.1155,1072896
2017-06-20,92.1155,92.2629,91.1919,91.6242,1089133
2017-06-21,92.2923,93.9823,91.2803,93.9529,1092668
2017-06-22,94.0315,95.9671,93.835,94.6898,1730046
2017-06-23,94.8175,95.1211,93.6384,94.1494,1624071
2017-06-26,94.5228,95.0337,93.9627,94.3164,1171116
2017-06-27,94.2476,95.014,93.4419,93.8644,1253124
2017-06-28,94.4933,95.4169,94.395,94.6996,897599
2017-06-29,94.9944,96.144,93.7269,94.0904,1053253
2017-06-30,93.2847,93.5697,91.7224,92.8819,1236094
2017-07-03,93.2061,93.6974,92.7541,93.0489,527371
2017-07-05,93.2552,94.0118,92.6067,93.5598,908931
2017-07-06,93.0391,93.5304,90.6318,90.8971,951073
2017-07-07,91.4178,92.6166,91.1231,92.2727,1158714
2017-07-10,92.0172,92.8917,90.6711,90.8774,1255339
2017-07-11,91.0346,91.0346,89.5608,90.5728,911512
2017-07-12,91.2213,92.0663,90.9953,91.5849,655133
2017-07-13,91.919,92.1548,90.7104,91.241,788780
2017-07-14,91.4375,91.7912,90.9167,91.3392,859020
2017-07-17,91.4277,91.7421,90.9364,91.0936,1017656
2017-07-18,91.0641,91.0641,89.3839,89.777,1299283
2017-07-19,89.9636,90.0717,88.7256,89.5804,1331601
2017-07-20,89.6099,90.7399,89.04,90.3468,1136414
2017-07-21,90.2191,90.4746,89.8457,90.0226,604429
2017-07-24,90.0423,92.027,89.7475,91.5063,1273706
2017-07-25,91.7716,93.4518,90.9855,92.9998,1413497
2017-07-26,92.6264,93.0735,91.7814,92.5674,1366129
2017-07-27,91.86,92.0369,90.2584,91.1624,1493251
2017-07-28,91.3785,92.5281,90.7694,92.3316,869223
2017-07-31,92.6559,92.7738,91.6242,92.1842,1067330
2017-08-01,90.5827,90.5827,87.5367,89.6787,2301036
2017-08-02,90.5827,90.5827,87.5367,89.6787,2301075
2017-08-03,82.6435,83.8423,79.1063,80.2854,7434738
2017-08-04,80.2854,80.5409,78.1925,79.4207,2882893
2017-08-07,79.3912,79.6172,77.8584,79.1751,2287101
2017-08-08,79.4993,80.9043,78.7329,78.9294,1742069
2017-08-09,78.4676,78.5561,77.2296,78.4087,2620128
2017-08-10,78.0451,78.6298,76.7678,77.5047,2417110
2017-08-11,77.4556,78.9098,77.3573,78.6248,2214779
2017-08-14,78.9098,79.126,78.2711,78.6838,2032876
2017-08-15,78.8508,79.0228,78.389,78.6052,2126689
2017-08-16,78.8901,79.1751,78.1441,78.6347,1599790
2017-08-17,78.6495,80.288,78.6495,78.9061,1727372
2017-08-18,78.6594,78.8568,77.4453,77.5835,2091927
2017-08-21,77.4157,77.5736,76.8925,77.0307,1455125
2017-08-22,77.2281,78.4323,77.0801,78.2053,1372974
2017-08-23,77.9586,77.9783,76.9517,77.1294,1455723
2017-08-24,77.317,77.8796,76.8481,77.3861,1191129
2017-08-25,77.3762,77.9311,76.9616,77.0899,1154263
2017-08-28,77.3663,77.8598,76.6852,77.6427,1210930
2017-08-29,77.1492,78.0573,76.8333,77.544,1279567
2017-08-30,77.4157,77.5144,76.7839,77.317,1267028
2017-08-31,77.6328,79.4589,77.4453,79.2121,1301215
2017-09-01,79.4194,79.5675,78.1954,79.2023,1248437
2017-09-05,78.7778,79.7353,78.0276,78.6594,1123869
2017-09-06,78.9654,79.8883,78.8074,79.676,1308264
2017-09-07,79.7748,81.9562,79.607,81.4922,1825285
2017-09-08,81.4725,82.8544,81.2652,81.433,1936786
2017-09-11,82.2523,83.4664,81.818,83.2986,1230843
2017-09-12,83.1012,83.7082,82.0351,82.8149,1809742
2017-09-13,82.6767,83.2532,81.9858,83.2295,1310879
2017-09-14,81.2554,81.2554,79.3997,79.6464,2872119
2017-09-15,79.4293,80.673,78.9851,80.5447,2732342
2017-09-18,80.7421,80.9691,79.4984,79.6267,1350697
2017-09-19,79.4885,79.9919,78.1066,78.2547,1648515
2017-09-20,78.4422,79.0542,77.3267,78.4718,1324955
2017-09-21,78.462,79.8932,78.1757,79.3404,1035888
2017-09-22,79.4885,80.1498,79.2911,80.0018,835921
2017-09-25,79.1924,80.3078,79.1035,79.9327,717129
