date,open,high,low,close,volume
2017-06-07,11.408,11.408,11.0539,11.073,5520727
2017-06-08,11.0634,11.1017,10.939,11.0634,3953968
2017-06-09,11.0347,11.2166,11.0347,11.2166,2672428
2017-06-12,11.2261,11.3218,11.1496,11.2453,4502532
2017-06-13,11.207,11.4463,11.1687,11.4176,4702860
2017-06-14,11.4558,11.5324,11.3649,11.3984,4336776
2017-06-15,11.3123,11.5276,11.2558,11.408,5362684
2017-06-16,11.4271,11.4654,11.3506,11.408,7206402
2017-06-19,11.4176,11.4558,11.3458,11.3984,2658987
2017-06-20,11.3793,11.3984,11.274,11.3888,2304956
2017-06-21,11.4176,11.4271,11.14,11.1687,2671361
2017-06-22,11.1496,11.1974,10.9917,11.073,4758583
2017-06-23,11.1017,11.1974,11.0012,11.0634,6861276
2017-06-26,11.1304,11.3314,11.1304,11.1783,5189431
2017-06-27,11.1496,11.2166,11.006,11.006,4684257
2017-06-28,11.0443,11.1017,10.7859,10.8433,6527694
2017-06-29,10.7668,10.8242,10.6328,10.6806,5909312
2017-06-30,10.6998,10.7639,10.6328,10.6328,4224447
2017-07-03,10.6711,10.7093,10.4892,10.5371,2754924
2017-07-05,10.5275,10.6136,10.3839,10.4031,5348835
2017-07-06,10.3457,10.36,10.1447,10.2212,5693826
2017-07-07,10.2308,10.3074,10.1686,10.2978,5535077
2017-07-10,10.3839,10.5084,10.3361,10.4701,6330214
2017-07-11,10.4796,10.5131,10.4031,10.4605,4824000
2017-07-12,10.6136,10.7381,10.5179,10.6232,6016731
2017-07-13,10.6423,10.7476,10.5275,10.5466,5105422
2017-07-14,10.6328,10.6711,10.5323,10.5562,4242806
2017-07-17,10.5754,10.6471,10.4988,10.6423,3358420
2017-07-18,10.6423,10.8146,10.6136,10.7572,4629801
2017-07-19,10.7955,10.8481,10.7285,10.8338,3800447
2017-07-20,10.8625,10.9348,10.7763,10.8816,2791468
2017-07-21,10.8912,10.9486,10.8433,10.9295,3197342
2017-07-24,10.9295,10.9582,10.8251,10.8338,2906827
2017-07-25,10.8625,10.872,10.7381,10.7572,4625031
2017-07-26,10.7572,10.7572,10.5658,10.6806,5336231
2017-07-27,10.6806,10.7572,10.5466,10.6232,5997280
2017-07-28,10.6136,10.6328,10.4892,10.5084,4831606
2017-07-31,10.5275,10.7763,10.5179,10.6998,17399721
2017-08-01,10.7191,10.9126,10.7094,10.7385,5520071
2017-08-02,10.7868,10.7965,10.5643,10.6901,6518223
2017-08-03,10.7772,10.8739,10.6998,10.7578,7349194
2017-08-04,10.7191,10.7965,10.5982,10.7191,3612191
2017-08-07,10.7191,10.9126,10.7094,10.7385,6061879
2017-08-08,10.6514,11.2802,10.6514,11.0093,11148353
2017-08-09,11.0771,11.0771,10.7578,10.8836,7057820
2017-08-10,10.8836,11.1206,10.8159,11.0093,8965436
2017-08-11,10.9706,10.9706,10.6417,10.7385,4799981
2017-08-14,10.7578,10.7868,10.6369,10.7481,4860104
2017-08-15,10.6901,10.7481,10.5837,10.7385,4525839
2017-08-16,10.7675,10.8255,10.7385,10.8159,3108523
2017-08-17,10.7772,10.8594,10.6417,10.6514,3812050
2017-08-18,10.6611,10.7578,10.6272,10.7094,4446730
2017-08-21,10.7385,10.8739,10.724,10.8642,3785502
2017-08-22,10.8642,11.0093,10.8159,10.9803,4243865
2017-08-23,10.9706,11.0287,10.8836,10.9803,2914410
2017-08-24,10.99,11.0577,10.9513,11.0287,4933591
2017-08-25,11.048,11.1448,10.9997,11.0577,2562969
2017-08-28,11.0964,11.1158,10.7675,10.8255,4903669
2017-08-29,10.8255,10.9029,10.7868,10.8062,3624411
2017-08-30,10.7868,10.8352,10.6707,10.6998,4393291
2017-08-31,10.7094,10.7772,10.6707,10.6804,3912996
2017-09-01,10.7191,10.811,10.7094,10.7578,2410622
2017-09-05,10.8062,10.8062,10.7094,10.7288,2960853
2017-09-06,10.7965,10.7965,10.6611,10.7481,4235221
2017-09-07,10.7675,10.8062,10.6998,10.7868,2912234
2017-09-08,10.7965,10.8739,10.7578,10.8449,3542780
2017-09-11,10.8642,11.0577,10.8546,11.019,6470274
2017-09-12,11.0093,11.0674,10.8449,10.8739,3397457
2017-09-13,10.8352,10.9706,10.7723,10.8642,4243630
2017-09-14,10.8352,10.9271,10.7772,10.8933,3676227
2017-09-15,10.8739,10.9803,10.7772,10.9803,8216391
2017-09-18,10.99,11.019,10.8497,10.9029,3520979
2017-09-19,10.9126,11.0093,10.9029,10.961,3943218
2017-09-20,11.019,11.0771,10.8933,10.9126,5381604
2017-09-21,10.9126,10.9658,10.7675,10.7675,3259984
2017-09-22,10.8159,10.8449,10.7191,10.7481,2554843
2017-09-25,10.7675,10.8546,10.7385,10.8449,3914140
2017-09-26,10.8062,10.9126,10.7481,10.7965,5684999
2017-09-27,10.7288,10.8062,10.6998,10.7675,4690074
2017-09-28,10.7288,10.7578,10.6417,10.7191,4447497
2017-09-29,10.7191,10.7578,10.6514,10.6611,5082114
2017-10-02,10.6998,10.8255,10.6998,10.7288,3142525
2017-10-03,10.7385,10.8546,10.6611,10.8255,3770054
2017-10-04,10.8062,10.9223,10.7868,10.9126,2510652
2017-10-05,10.9319,10.9465,10.8449,10.9223,2846309
2017-10-06,10.8739,10.8992,10.7868,10.8255,2843874
2017-10-09,10.8449,10.9223,10.8159,10.8352,2901355
2017-10-10,10.8546,10.9223,10.8159,10.8836,3666166
2017-10-11,10.8352,10.9416,10.8352,10.9029,3079454
2017-10-12,10.8546,10.8933,10.7868,10.8546,2833125
2017-10-13,10.9029,10.9706,10.8642,10.8836,2038176
2017-10-16,10.8642,10.9174,10.8255,10.9029,2560953
2017-10-17,10.8739,10.8836,10.8159,10.8255,3623659
2017-10-18,10.7868,10.8352,10.7481,10.7675,3153586
2017-10-19,10.7675,10.9223,10.7094,10.9223,2997333
2017-10-20,10.9319,10.9416,10.7191,10.7675,3792626
2017-10-23,10.7675,10.7965,10.6901,10.7675,4139805
2017-10-24,10.7868,10.8062,10.5933,10.632,3787480
2017-10-25,10.6127,10.6417,10.3418,10.545,6668508
2017-10-26,10.6127,10.6707,10.3999,10.5063,4660136
