date,open,high,low,close,volume
2017-06-08,224.5679,226.2211,224.3613,225.7488,1694546
2017-06-09,226.3294,229.744,225.9751,228.6517,2043252
2017-06-12,228.2876,228.6517,225.5323,227.0871,1945588
2017-06-13,226.6738,227.7218,225.5618,227.1067,1511194
2017-06-14,227.6677,230.2655,226.4573,229.3208,2192748
2017-06-15,228.4155,231.7219,228.4155,231.0134,2062253
2017-06-16,230.8264,232.2926,230.6296,231.7317,2228743
2017-06-19,232.7847,236.278,232.0073,233.8769,2555046
2017-06-20,233.5621,236.3075,233.4243,234.8216,1847591
2017-06-21,235.0972,240.8046,234.6051,240.4897,2646374
2017-06-22,241.09,245.4591,239.978,243.1663,2724919
2017-06-23,243.3237,243.9732,241.1096,242.5267,5108969
2017-06-26,243.058,246.2562,242.7432,244.9376,1855030
2017-06-27,243.7567,245.9216,242.1626,242.1626,1832385
2017-06-28,243.4221,245.2328,242.2807,242.7727,1715240
2017-06-29,242.8416,244.2389,239.0628,240.1256,1882477
2017-06-30,240.3716,241.0506,238.4331,239.2104,1724708
2017-07-03,240.1059,241.582,239.5253,240.0862,698943
2017-07-05,239.486,241.9264,238.62,240.3913,1875186
2017-07-06,239.1317,240.6373,237.6065,237.695,1560745
2017-07-07,238.069,238.7326,235.3432,236.8487,1656271
2017-07-10,236.898,238.2362,236.1796,237.3211,1099651
2017-07-11,236.7208,239.6041,236.7208,238.2559,1604152
2017-07-12,239.3777,243.3336,238.9349,241.6705,1459938
2017-07-13,241.4147,241.828,238.9152,240.2338,1478770
2017-07-14,239.7123,242.8317,239.7123,241.9264,991375
2017-07-17,242.8514,245.3312,242.3102,243.5796,1438443
2017-07-18,243.3828,243.491,240.7209,241.8083,1428708
2017-07-19,241.8083,243.8158,241.208,242.4775,1149737
2017-07-20,243.4713,247.6142,243.1465,245.095,2412874
2017-07-21,245.0163,247.7716,244.908,246.9647,2509879
2017-07-24,246.5317,250.463,245.4197,249.474,1832919
2017-07-25,249.9463,252.7016,248.608,250.5564,2330605
2017-07-26,250.5466,252.5245,249.6216,252.062,1297082
2017-07-27,251.9046,252.062,248.4703,250.1038,1909628
2017-07-28,250.2415,250.9205,247.6929,248.9721,1550066
2017-07-31,250.0447,251.4421,248.116,248.303,1422741
2017-08-01,248.2046,249.966,247.7421,248.1751,2009790
2017-08-02,248.2735,248.6474,245.2229,246.1873,1816777
2017-08-03,244.0421,248.2439,239.1317,246.3644,3414589
2017-08-04,245.5477,245.5772,237.882,238.7775,3014756
2017-08-07,238.8168,239.3285,237.1046,237.3703,1519626
2017-08-08,238.1083,241.582,235.6482,235.9139,2730642
2017-08-09,235.9139,237.818,233.9163,234.1722,2019325
2017-08-10,233.5522,234.0442,228.14,228.4942,2387550
2017-08-11,228.2286,231.2496,227.5889,229.1634,1820899
2017-08-14,229.9211,232.0663,228.7813,228.9272,1441849
2017-08-15,228.9764,229.744,227.2544,227.4512,1964554
2017-08-16,228.1222,228.6157,224.1248,225.0328,3546750
2017-08-17,224.9341,226.1284,221.2032,221.8546,3049073
2017-08-18,221.4894,222.7182,220.1865,221.0847,2006235
2017-08-21,220.9761,222.3185,219.5252,220.0779,2336168
2017-08-22,220.6011,222.2691,219.1699,220.8478,1835445
2017-08-23,220.4925,221.5387,218.9725,219.387,1465046
2017-08-24,221.0354,221.1933,217.3636,220.68,1335305
2017-08-25,220.9959,221.3019,218.933,218.933,1239408
2017-08-28,218.9429,221.3216,218.933,221.0354,1519986
2017-08-29,221.0354,221.1933,217.3636,220.68,1335307
2017-08-30,220.532,222.4271,218.9725,220.9564,1526474
2017-08-31,222.1902,228.4726,222.0902,226.5035,2582921
2017-09-01,226.9082,228.9711,223.6312,224.7762,1631578
2017-09-05,224.0557,224.7861,220.7096,220.8774,1338548
2017-09-06,221.9336,222.5554,219.5153,220.7096,1246808
2017-09-07,220.8577,225.5165,220.3444,224.9736,1812528
2017-09-08,224.3715,232.8106,222.2988,230.5207,3185920
2017-09-11,232.9488,234.3306,228.8329,229.3659,2143021
2017-09-12,229.9778,230.2049,226.6713,228.2111,1827673
2017-09-13,228.0038,228.5664,222.6738,223.5325,2936180
2017-09-14,223.4635,223.9471,220.4333,220.7985,1962874
2017-09-15,221.3413,221.7164,217.0083,217.4327,3347884
2017-09-18,218.5579,224.5887,218.0644,218.6665,2971094
2017-09-19,219.1995,220.147,210.6222,212.2113,5416088
2017-09-20,208.9936,211.3427,206.1868,207.2762,5474505
2017-09-21,205.6081,205.7956,199.9722,200.0314,5878871
2017-09-22,199.8735,206.5359,198.8075,201.9956,3903828
2017-09-25,207.3946,210.5136,205.3515,208.8653,3982373
2017-09-26,209.2601,214.1854,205.845,206.7333,3280735
2017-09-27,207.2959,208.0855,204.8086,205.5982,2203630
2017-09-28,205.3021,206.1608,201.0587,201.433,2606241
2017-09-29,201.9462,202.7161,199.8241,202.2917,2682743
2017-10-02,203.0912,208.4803,202.2127,208.2435,2312385
2017-10-03,210.0892,212.31,205.771,207.0788,2106987
2017-10-04,205.5982,207.4341,205.1146,205.6871,1722472
2017-10-05,205.3021,208.431,204.858,206.5853,2005984
2017-10-06,206.7827,207.3749,203.6143,204.0683,1654101
2017-10-09,203.2096,203.8216,199.9327,200.3077,2499748
2017-10-10,200.8605,205.1738,200.7568,204.7296,2689660
2017-10-11,204.6211,206.3286,203.8364,203.9301,2175258
