date,open,high,low,close,volume
2017-06-08,61.7272,62.8529,61.7272,62.3145,4868429
2017-06-09,62.4809,62.8529,61.9817,62.8235,7128919
2017-06-12,62.9613,63.3548,62.5382,62.7842,5646936
2017-06-13,62.8432,63.2859,62.6071,63.1875,4715511
2017-06-14,63.0006,63.3046,62.5973,63.2072,3026219
2017-06-15,62.7743,63.0891,62.3267,62.7743,4895703
2017-06-16,62.9317,62.9613,62.5382,62.7547,7611876
2017-06-19,63.0891,63.1383,62.6858,62.9121,3090826
2017-06-20,62.7645,62.8776,62.3021,62.3612,3907526
2017-06-21,62.853,62.9022,62.1349,62.1939,4468211
2017-06-22,61.9775,62.2529,61.8102,62.0267,2749433
2017-06-23,62.1546,62.3316,61.7906,61.9972,8461768
2017-06-26,62.1939,62.6169,62.066,62.1546,3839835
2017-06-27,62.2333,62.9563,62.1841,62.3808,4986988
2017-06-28,62.6366,63.1088,62.6366,62.8038,3792383
2017-06-29,63.2662,63.4826,62.2234,62.4694,4376298
2017-06-30,62.6366,62.6563,61.2692,61.5053,7731564
2017-07-03,61.8004,62.8727,61.8004,62.2628,3229139
2017-07-05,62.371,62.5186,61.4462,61.7611,7148950
2017-07-06,61.7611,62.7547,61.7512,62.0562,6088044
2017-07-07,62.2037,62.4103,61.9578,62.3218,3360686
2017-07-10,62.0562,62.2723,61.9578,62.0463,3140565
2017-07-11,62.1152,62.2431,61.7119,61.8889,2883370
2017-07-12,61.8889,62.5579,61.7709,62.1644,2686582
2017-07-13,62.3316,63.2465,62.1546,63.0891,5507908
2017-07-14,62.7645,63.1974,62.4595,63.0695,2767924
2017-07-17,62.9613,63.1728,62.4989,63.0104,3466313
2017-07-18,62.794,63.04,62.4841,62.8334,3980905
2017-07-19,62.8826,63.1482,62.6956,63.1482,2871741
2017-07-20,63.1777,63.3056,62.7743,63.1875,3488528
2017-07-21,63.1187,63.2367,62.8235,63.158,3542745
2017-07-24,63.158,63.5712,63.0104,63.4826,2928040
2017-07-25,63.886,64.3582,63.8565,64.2303,4960007
2017-07-26,64.25,64.4123,63.9549,64.1319,4458889
2017-07-27,64.1123,64.9534,64.0336,64.1123,4289310
2017-07-28,64.191,64.4566,64.004,64.2106,2838484
2017-07-31,64.3484,64.5845,64.0778,64.3877,3154255
2017-08-01,65.096,65.1551,63.7384,64.0237,5074107
2017-08-02,64.2303,64.8747,64.0385,64.8304,3848466
2017-08-03,65.0075,66.2077,64.0434,64.9878,8492625
2017-08-04,65.096,65.1551,63.7384,64.0237,5074352
2017-08-07,63.7089,64.0237,63.4531,63.9253,5301174
2017-08-08,63.886,64.0188,63.3449,63.522,3143571
2017-08-09,62.9711,63.3941,62.6071,62.9711,5601434
2017-08-10,62.6956,62.8137,61.8988,61.9775,4375089
2017-08-11,62.1162,62.1841,61.4954,61.6332,3676269
2017-08-14,62.1447,62.3759,61.8152,61.8594,3256307
2017-08-15,62.1349,62.4103,61.9775,62.007,3065365
2017-08-16,62.1742,62.2726,61.7856,61.948,2656914
2017-08-17,61.7414,61.7414,60.6396,60.6691,5174935
2017-08-18,60.4625,60.8265,60.1673,60.3444,4494724
2017-08-21,60.3051,60.3543,59.9312,60.2952,3000259
2017-08-22,60.3543,60.5117,59.9509,60.2264,4843562
2017-08-23,59.8919,60.0591,59.6755,59.7837,5305982
2017-08-24,59.8034,59.9509,59.1934,59.2524,5389650
2017-08-25,59.3311,59.9214,59.1541,59.7935,5877551
2017-08-28,59.6755,59.7246,59.2918,59.6755,6586408
2017-08-29,59.2229,59.4394,59.0458,59.2328,4870010
2017-08-30,59.1934,59.3607,59.1245,59.2229,4420069
2017-08-31,59.4295,59.5574,59.0852,59.4984,7299881
2017-09-01,59.5968,60.0395,59.459,59.7148,3747105
2017-09-05,59.4492,59.6951,58.4949,58.6819,8358182
2017-09-06,58.7507,58.9868,58.4556,58.5048,5938064
2017-09-07,58.4261,58.5048,57.1127,57.3243,6648625
2017-09-08,57.0881,59.2524,56.9603,58.8097,10069162
2017-09-11,59.3803,60.069,59.0065,59.7837,8147056
