date,open,high,low,close,volume
2017-06-20,101.723,102.3386,101.127,101.596,223874
2017-06-21,101.85,102.0407,99.7102,99.9057,335676
2017-06-22,99.5051,99.7102,97.932,97.9613,394208
2017-06-23,98.4498,99.2119,98.1372,98.9286,794456
2017-06-26,99.9447,102.0943,99.6809,101.4983,528067
2017-06-27,101.5667,101.8012,100.912,101.2638,351021
2017-06-28,101.9673,103.0518,101.7914,102.3972,378856
2017-06-29,103.4231,103.4231,101.127,101.811,363097
2017-06-30,102.1529,102.3386,100.9267,101.3126,363013
2017-07-03,101.8891,104.0289,101.8696,102.7392,209068
2017-07-05,102.8271,103.2766,102.0161,102.1529,406387
2017-07-06,102.2018,102.9541,101.4006,101.7621,410510
2017-07-07,101.7621,103.5404,101.7523,102.9053,259750
2017-07-10,102.6024,102.8955,102.3093,102.5242,417833
2017-07-11,102.5438,102.8271,101.6937,102.0552,278288
2017-07-12,102.0455,102.4558,101.5178,102.065,485009
2017-07-13,102.1822,103.0616,102.0161,102.7783,211319
2017-07-14,102.2018,102.6122,101.9966,102.2311,164815
2017-07-17,102.2311,102.6317,101.5276,102.6024,208121
2017-07-18,102.5047,102.7099,101.6839,102.1432,353667
2017-07-19,102.3777,103.5648,102.2702,103.4915,205127
2017-07-20,103.384,103.8628,102.9541,103.2863,169184
2017-07-21,103.1789,103.5208,102.6122,102.9932,308386
2017-07-24,103.3059,103.6967,102.9932,103.5697,177233
2017-07-25,104.4491,104.5321,103.4036,103.8335,323331
2017-07-26,103.8335,103.9117,102.5535,102.7294,213534
2017-07-27,102.876,102.876,101.8403,102.534,240985
2017-07-28,102.5731,103.1007,102.2555,103.0518,202112
2017-07-31,103.2375,103.3743,102.4851,102.8564,259203
2017-08-01,101.9966,102.8857,101.5862,102.534,275834
2017-08-02,102.8857,103.3743,98.4596,101.4592,683960
2017-08-03,101.127,101.9477,100.7459,101.4592,394498
2017-08-04,101.9966,102.8857,101.5862,102.534,275834
2017-08-07,102.192,102.8564,100.8925,101.5081,287406
2017-08-08,101.4201,103.3938,101.4055,102.3483,313190
2017-08-09,102.0161,102.8857,101.5081,102.6122,338113
2017-08-10,101.9966,102.2995,100.6092,100.6287,248525
2017-08-11,100.5896,100.912,99.8624,100.189,168630
2017-08-14,100.8046,102.0064,100.6873,101.8403,192426
2017-08-15,102.1822,102.5438,100.8143,100.9707,153340
2017-08-16,101.1075,101.4739,100.1597,100.2574,152426
2017-08-17,100.2672,100.4431,97.9222,98.0199,278942
2017-08-18,97.7073,98.3619,97.3555,97.717,276240
2017-08-21,97.463,97.463,96.1928,97.1015,231708
2017-08-22,97.3067,97.6975,96.7204,97.6095,213047
2017-08-23,97.0917,98.2837,97.0917,97.7659,237371
2017-08-24,98.2177,98.2276,96.4104,96.4791,238395
2017-08-25,96.7345,96.8818,95.7719,96.7443,284003
2017-08-28,96.6363,96.7541,93.1492,93.7484,526416
2017-08-29,92.7956,93.1001,91.4007,92.8447,464450
2017-08-30,92.6384,94.0431,92.6384,93.1001,373804
2017-08-31,93.3358,93.7189,92.884,93.0117,563159
2017-09-01,93.3162,94.3476,92.7956,92.9233,247467
2017-09-05,92.5598,92.5598,88.0414,88.8567,549344
2017-09-06,89.1513,90.0354,88.1298,89.4558,430467
2017-09-07,89.2103,89.4215,85.7035,86.1849,741185
2017-09-08,85.4383,89.2004,84.4757,89.1612,808848
2017-09-11,90.6837,93.0706,89.8488,91.6856,866889
2017-09-12,91.7937,92.6188,91.666,92.3732,408975
2017-09-13,92.3732,92.6482,91.3516,92.108,408966
2017-09-14,97.6536,98.4735,97.3671,97.4955,439456
2017-09-15,91.2927,92.275,91.1945,92.1866,778118
