date,open,high,low,close,volume
2017-06-20,49.47,49.6805,48.61,48.64,1320403
2017-06-21,48.78,49.34,48.43,49.28,1502896
2017-06-22,49.19,50.61,48.97,50.02,2648922
2017-06-23,50.12,51.51,49.92,51.3,6358993
2017-06-26,51.3,51.65,50.5,50.87,1569546
2017-06-27,50.73,51.14,50.0,50.0,1778857
2017-06-28,50.26,50.8,50.06,50.63,1171154
2017-06-29,50.28,50.45,49.131,50.24,2711759
2017-06-30,50.53,50.53,49.64,49.81,1545754
2017-07-03,50.15,50.73,50.01,50.09,959422
2017-07-05,50.27,51.0201,50.01,50.95,1770144
2017-07-06,50.63,50.63,49.27,49.36,2523928
2017-07-07,49.55,50.13,49.18,49.24,2019948
2017-07-10,49.31,49.78,49.11,49.65,1472542
2017-07-11,49.63,50.27,49.5,49.83,1005221
2017-07-12,50.14,50.83,50.07,50.55,1508855
2017-07-13,50.64,50.64,50.06,50.08,1085583
2017-07-14,50.2,50.68,50.1,50.62,1187125
2017-07-17,50.89,52.46,50.89,51.77,2520351
2017-07-18,51.69,51.83,51.19,51.53,1742288
2017-07-19,51.63,52.24,51.58,52.1,1195547
2017-07-20,52.1,52.64,51.8,52.36,1377155
2017-07-21,52.25,52.45,51.81,52.13,1303086
2017-07-24,52.15,52.45,52.04,52.37,1615375
2017-07-25,52.36,53.45,52.08,53.28,3503283
2017-07-26,49.95,50.0,45.41,45.49,15168502
2017-07-27,45.67,46.99,45.41,46.01,4634838
2017-07-28,46.06,47.265,45.903,46.89,2993447
2017-07-31,46.97,47.28,46.25,47.14,2575847
2017-08-01,47.96,47.985,47.215,47.31,1573603
2017-08-02,47.43,47.56,46.95,47.51,1763754
2017-08-03,47.56,48.19,47.462,48.04,1871311
2017-08-04,48.09,48.42,47.81,47.87,1393993
2017-08-07,47.96,47.985,47.215,47.31,1580112
2017-08-08,47.17,47.68,46.9,47.27,1443087
2017-08-09,47.18,47.86,46.74,47.4,1627532
2017-08-10,47.05,47.2,46.31,46.31,1848963
2017-08-11,46.38,46.62,46.18,46.37,1422763
2017-08-14,46.59,47.29,46.46,46.82,1997012
2017-08-15,46.82,47.09,46.13,46.34,1686679
2017-08-16,46.41,46.74,45.87,46.29,1722707
2017-08-17,46.39,46.4,45.37,45.4,1517563
2017-08-18,45.46,45.86,45.18,45.36,1378991
2017-08-21,45.29,45.39,44.65,44.91,1318162
2017-08-22,45.04,45.89,45.04,45.81,1285985
2017-08-23,45.55,45.76,45.32,45.42,1141795
2017-08-24,45.51,45.67,45.1,45.23,1202555
2017-08-25,45.49,45.49,44.95,44.98,1760730
2017-08-28,45.06,45.25,44.91,45.14,1111360
2017-08-29,44.81,45.86,44.71,45.71,1986532
2017-08-30,45.72,46.53,45.64,46.47,1820729
2017-08-31,46.63,47.35,46.53,47.15,1721387
2017-09-01,47.28,47.65,47.0493,47.08,1149430
2017-09-05,46.86,47.0,45.81,46.17,1647153
2017-09-06,46.23,46.97,46.1,46.89,1566359
2017-09-07,46.98,47.0,46.61,46.8,1472448
2017-09-08,46.95,46.95,45.94,46.0,1691242
2017-09-11,46.29,46.62,46.22,46.47,1364320
2017-09-12,46.45,46.98,46.26,46.8,1306436
2017-09-13,46.74,46.91,46.53,46.68,1133846
2017-09-14,46.57,46.66,46.13,46.6,1521098
2017-09-15,46.56,47.36,46.49,47.34,2697554
2017-09-18,47.39,47.91,47.355,47.57,1397355
2017-09-19,47.77,47.82,47.29,47.69,1699478
2017-09-20,47.69,47.9,47.34,47.67,1405979
2017-09-21,47.59,47.89,47.5,47.52,1110539
2017-09-22,47.26,48.38,47.0101,48.33,1657146
2017-09-25,48.2,48.6,47.44,47.92,2562561
2017-09-26,48.21,48.3374,47.76,47.83,1872901
2017-09-27,48.12,48.13,47.44,47.75,1562548
2017-09-28,47.62,47.71,46.97,47.68,1780552
2017-09-29,47.59,48.82,47.584,48.72,1821282
2017-10-02,49.35,50.08,48.72,50.0,2610272
2017-10-03,50.14,50.635,49.91,50.5,1798164
2017-10-04,50.49,50.7,50.26,50.5,1373249
2017-10-05,50.6,50.86,50.34,50.78,1409547
2017-10-06,50.7,50.87,50.21,50.63,1353258
2017-10-09,50.59,50.5924,50.105,50.31,1186862
