date,open,high,low,close,volume
2017-06-20,87.8443,88.0899,87.6183,87.6969,1153603
2017-06-21,87.8443,87.9622,87.466,87.6773,1646443
2017-06-22,87.4513,87.6675,86.6653,86.7636,1751421
2017-06-23,87.1664,87.2745,86.4492,86.5376,3969885
2017-06-26,86.7734,87.2253,86.626,86.8716,1781195
2017-06-27,86.9994,87.1369,86.4885,86.626,1831973
2017-06-28,87.1271,87.4022,86.8225,87.0288,1375234
2017-06-29,87.6675,87.6675,86.2674,86.5867,1648175
2017-06-30,86.8913,87.2352,86.5769,86.8913,1508020
2017-07-03,87.2941,88.2864,87.078,87.078,1007570
2017-07-05,87.2548,87.3825,86.7243,87.2548,1040865
2017-07-06,87.3727,87.7166,86.9797,87.1664,1450561
2017-07-07,87.245,87.7215,86.9895,87.6282,1117258
2017-07-10,87.2745,87.6183,87.2745,87.2941,1445081
2017-07-11,87.1664,87.3236,86.2035,86.4,1959242
2017-07-12,86.4688,86.8422,86.3706,86.6555,972288
2017-07-13,86.5179,87.3629,86.3951,87.0485,1271906
2017-07-14,86.7243,87.7657,86.3804,87.4906,1075637
2017-07-17,87.186,87.2745,86.7587,86.9404,1440223
2017-07-18,86.4492,87.5004,86.4492,87.3236,2191125
2017-07-19,87.4906,87.6871,87.1654,87.6871,1208762
2017-07-20,87.4513,87.9917,86.9208,87.6576,1319566
2017-07-21,87.4415,87.751,87.0288,87.5987,1897566
2017-07-24,87.5201,88.3306,87.4562,88.198,1222579
2017-07-25,88.6892,89.0429,88.3257,88.6303,1258375
2017-07-26,88.6205,88.7089,87.6773,87.8345,1403868
2017-07-27,87.805,88.2719,87.4906,88.1096,2050164
2017-07-28,88.2275,88.984,87.9524,88.9152,1258429
2017-07-31,88.9938,89.6521,88.984,89.4065,1229008
2017-08-01,92.4424,92.8353,92.3245,92.5701,1486353
2017-08-02,91.509,92.6585,90.9195,92.5111,3392962
2017-08-03,92.2557,92.3539,91.4599,92.2852,2053841
2017-08-04,92.4424,92.8353,92.3245,92.5701,1486353
2017-08-07,92.5701,92.9336,92.4424,92.5897,1667206
2017-08-08,92.3343,92.6781,92.1967,92.5602,1609649
2017-08-09,92.462,93.0417,92.3146,93.0417,1548661
2017-08-10,92.5602,93.0318,92.4915,92.5111,1459073
2017-08-11,92.4424,92.7941,92.2655,92.3048,1111370
2017-08-14,93.1203,93.1694,92.7076,92.7666,1166563
2017-08-15,93.1301,93.1497,92.462,92.7273,1458540
2017-08-16,93.0024,93.582,92.6487,92.7273,2062253
2017-08-17,92.7371,92.8452,91.5385,91.6957,1989740
2017-08-18,91.4795,91.7006,90.9293,91.2928,2595339
2017-08-21,91.3321,91.3321,90.664,91.0963,2166878
2017-08-22,91.4795,92.1771,91.3027,92.128,1653433
2017-08-23,91.7448,92.2066,91.5286,91.5483,1661698
2017-08-24,91.6564,91.8529,89.7995,89.937,3161378
2017-08-25,90.2023,90.664,89.8584,90.4086,2583119
2017-08-28,88.7875,89.3868,88.2373,89.0626,3103970
2017-08-29,88.7864,89.8716,88.6306,89.5953,1826476
2017-08-30,89.6052,89.911,88.7864,88.8555,2437331
2017-08-31,89.0528,89.4079,88.8259,89.2797,2850286
2017-09-01,89.3487,89.8913,88.4411,88.5694,2514644
2017-09-05,87.7999,87.8295,85.1757,85.3237,4636871
2017-09-06,85.5605,87.1251,85.4618,86.3201,4770547
2017-09-07,85.886,86.0735,84.4359,85.2843,3146810
2017-09-08,84.9883,89.1909,84.9883,88.4017,4305343
2017-09-11,90.207,92.2787,89.4967,89.9998,3580975
2017-09-12,89.9308,90.7446,89.4178,90.6312,2421513
2017-09-13,90.0787,90.2366,89.2106,89.7137,2006635
2017-09-14,89.5657,89.6447,88.9344,89.2797,1976046
2017-09-15,89.2501,90.1675,89.2303,89.6545,2915044
2017-09-18,89.8321,90.0097,89.1169,89.2599,1913990
2017-09-19,89.329,90.6706,89.2303,89.911,2478178
2017-09-20,89.6545,90.1774,89.2007,90.1478,1704756
2017-09-21,90.1675,91.0751,89.3191,89.4474,1450294
2017-09-22,89.2205,89.6348,88.9048,89.3092,1155245
2017-09-25,89.0626,89.9801,88.8357,89.8124,1311717
2017-09-26,89.6743,90.3112,89.2501,89.5066,1652646
2017-09-27,90.4536,90.4832,89.477,89.6644,1414448
2017-09-28,89.6151,90.1774,89.2994,90.059,1123044
2017-09-29,90.0689,90.7298,89.6841,90.6706,1407730
2017-10-02,90.4141,91.3809,90.1774,91.1343,1416253
2017-10-03,90.9666,91.0948,90.2859,90.8581,1554385
2017-10-04,90.8778,91.6769,90.8679,91.6078,1361149
2017-10-05,91.4796,92.4266,91.4105,91.9334,1782029
2017-10-06,92.0616,92.545,91.8643,92.032,930648
2017-10-09,92.0024,92.2491,91.6078,91.9432,620319
2017-10-10,91.9432,92.4069,91.6177,92.0715,1716122
2017-10-11,91.8643,92.1406,91.5486,91.8347,1289821
2017-10-12,92.0123,92.2589,91.1836,91.2921,1294566
2017-10-13,91.4599,91.8051,91.0258,91.0948,1655545
2017-10-16,91.0948,91.598,90.8679,91.2132,1831378
2017-10-17,91.2132,91.4303,89.8913,90.1774,3196813
2017-10-18,90.2464,90.3155,89.398,90.0195,1955289
2017-10-19,89.842,91.4895,89.5066,91.4796,3192085
2017-10-20,92.1899,92.328,91.2724,91.7163,2142005
2017-10-23,91.7065,91.8446,91.302,91.7163,1518450
2017-10-24,92.0419,92.6634,91.7361,92.3773,1460028
2017-10-25,92.4661,92.5795,91.519,92.0419,1064311
2017-10-26,92.2885,92.9594,92.0617,92.693,1254343
2017-10-27,92.4562,92.693,91.6769,92.4661,1215084
2017-10-30,92.0123,93.1567,92.0123,92.8015,1731606
2017-10-31,92.6733,93.3737,92.4069,92.5943,2507470
2017-11-01,92.8015,93.2652,92.2589,92.9791,1981028
2017-11-02,94.597,96.8857,94.1136,96.5305,3935302
2017-11-03,96.3036,96.639,95.7611,96.5207,3027137
2017-11-06,96.4911,98.0942,96.1359,97.7538,1632467
2017-11-07,98.0794,98.9574,97.2211,97.8426,1631537
2017-11-08,97.8919,98.3852,97.6354,97.7538,1921056
2017-11-09,97.4085,98.0202,96.8857,97.6157,1768750
2017-11-10,97.5467,97.9413,96.7772,97.7834,1390199
2017-11-13,97.5664,98.622,97.4283,98.0991,1851414
2017-11-14,97.5565,98.7009,97.1816,98.5924,2148336
2017-11-15,98.1386,99.7564,97.961,99.0264,2548888
2017-11-16,99.1547,99.3421,97.8327,98.2274,2138877
2017-11-17,97.7144,99.0758,97.7144,98.8193,2879997
2017-11-20,98.908,99.6085,98.6515,98.9672,1981361
2017-11-21,99.0363,99.3618,98.2274,98.3556,1530203
2017-11-22,98.2569,98.3951,97.8426,97.961,900137
2017-11-24,98.4542,98.4542,97.6453,97.744,623413
2017-11-27,97.8919,98.5825,97.8031,98.0695,1459582
2017-11-28,98.0498,99.5789,97.9215,99.5296,1858601
2017-11-29,99.6285,101.2227,99.5889,100.9553,2031693
2017-11-30,101.3613,102.4901,100.0939,101.6484,3340825
2017-12-01,102.0841,102.1039,99.7572,102.0841,2465635
2017-12-04,102.8861,103.0742,101.995,102.599,2381010
