date,open,high,low,close,volume
2017-06-20,43.8275,44.1542,42.8768,42.9363,9083673
2017-06-21,42.9858,43.3918,42.6689,43.1937,9713578
2017-06-22,43.263,43.4908,42.659,42.9165,7632051
2017-06-23,43.0254,43.8671,42.9858,43.6591,13947666
2017-06-26,44.0354,44.2137,42.4907,42.8273,10911376
2017-06-27,42.5798,42.6788,41.4212,41.4806,12734948
2017-06-28,41.4905,42.357,41.0152,42.2728,14308333
2017-06-29,41.9361,42.0451,40.3914,41.035,12362485
2017-06-30,41.4014,41.6094,40.6884,40.9063,10044092
2017-07-03,40.9261,41.5499,40.5795,40.6092,6519489
2017-07-05,40.8766,41.8173,40.8469,41.7084,10942496
2017-07-06,41.3123,42.1738,41.1538,41.6985,11934214
2017-07-07,41.946,43.367,41.946,43.1145,10748709
2017-07-10,43.1739,44.0651,43.0848,43.778,10357926
2017-07-11,43.778,45.0553,43.6096,44.9563,13527360
2017-07-12,45.2336,45.5307,44.4018,44.8375,10395825
2017-07-13,44.8375,45.2107,44.5518,44.8573,9036082
2017-07-14,44.9365,45.6792,44.9068,45.6693,8085735
2017-07-17,45.7485,45.9961,45.2336,45.699,7679902
2017-07-18,45.5703,46.1743,45.2336,46.1644,6594152
2017-07-19,46.4417,46.7486,46.2878,46.7189,9533910
2017-07-20,46.6496,46.8774,45.9168,46.7882,8782346
2017-07-21,46.3228,46.5407,45.7782,46.3525,7539498
2017-07-24,46.2238,46.5605,46.105,46.3228,8495499
2017-07-25,46.1743,46.209,45.4019,45.9465,7271894
2017-07-26,46.1545,47.0061,46.0654,46.9863,9161265
2017-07-27,47.0358,47.1249,44.8573,45.5901,17026585
2017-07-28,45.4514,45.5505,44.4711,44.8078,9584336
2017-07-31,44.986,45.0355,43.5799,43.877,11121273
2017-08-01,43.9562,44.3523,43.5849,43.669,9452283
2017-08-02,43.9166,44.0057,42.0946,42.3124,15631985
2017-08-03,42.2827,42.6937,41.8965,42.2827,11475763
2017-08-04,42.4312,42.7184,41.946,42.4015,7510942
2017-08-07,42.4411,43.6146,42.4312,43.5304,7758354
2017-08-08,43.6096,44.0849,43.3026,43.471,9798285
2017-08-09,42.966,43.5948,42.6392,43.3819,5634688
2017-08-10,42.9462,43.1541,41.5301,41.6193,11299315
2017-08-11,41.6193,42.7184,41.5697,42.659,10761599
2017-08-14,43.2729,43.8077,43.164,43.3522,9764788
2017-08-15,43.4215,43.9166,43.1739,43.4512,6250208
2017-08-16,43.9166,44.18,43.3323,44.0255,8490601
2017-08-17,43.8968,43.9661,42.5798,42.6986,14283433
2017-08-18,44.3325,44.8078,43.2333,43.8671,20996205
2017-08-21,43.6789,43.8275,42.6007,42.8867,14374518
2017-08-22,43.2937,44.1969,43.2838,44.1175,8664516
2017-08-23,43.8693,43.8693,43.5021,43.6907,8480893
2017-08-24,43.9686,43.9785,42.9265,43.3929,9252991
2017-08-25,43.4624,43.6212,42.7974,42.986,6385750
2017-08-28,43.0356,43.3939,43.0356,43.3036,5545131
2017-08-29,42.6982,43.8594,42.6118,43.6907,6768784
2017-08-30,43.6708,45.1497,43.6609,45.1298,8797177
2017-08-31,45.0901,45.1298,44.5046,44.7825,9213406
2017-09-01,44.8519,44.9575,44.4252,44.7626,5307511
2017-09-05,44.2961,44.6237,43.5418,44.1472,9214780
2017-09-06,44.3656,44.6187,43.8793,44.3954,12116667
2017-09-07,44.6038,45.0604,44.2564,44.8817,8291534
2017-09-08,44.8619,44.9115,43.7899,44.0182,8128854
2017-09-11,44.5542,45.4474,44.5145,45.239,8893042
2017-09-12,45.4971,45.6757,45.0306,45.3085,7234426
2017-09-13,45.7551,46.0727,45.1894,45.775,7500510
2017-09-14,45.636,47.0057,45.4375,46.698,12338916
2017-09-15,46.6186,47.3332,46.5194,46.7873,13880440
2017-09-18,47.4424,48.1642,47.3829,47.6905,11215511
2017-09-19,47.6707,48.1372,47.2241,47.899,9384975
2017-09-20,48.0081,48.0081,46.43,46.9263,11021297
2017-09-21,46.9561,47.1744,46.4102,46.7973,8533594
2017-09-22,46.5392,47.5615,46.4896,47.4126,5867667
2017-09-25,47.1645,47.2836,45.6261,45.9834,11445862
2017-09-26,46.2117,46.5094,45.239,45.5765,11086582
2017-09-27,46.3804,49.3381,46.3308,48.4746,20364432
2017-09-28,48.554,50.4994,48.2861,50.2413,22109112
2017-09-29,50.2115,51.8889,50.1818,51.7003,21008733
2017-10-02,51.8194,52.2363,51.2338,51.6904,15636031
2017-10-03,51.8194,51.9683,50.8765,51.4522,11304643
2017-10-04,51.3926,51.611,50.7674,51.214,8294699
2017-10-05,51.2636,51.3529,50.3902,51.0453,9337020
