date,open,high,low,close,volume
2017-06-08,159.5442,161.1949,158.6094,158.8779,481526
2017-06-09,160.0812,162.0998,158.9575,161.5827,337977
2017-06-12,161.3839,162.5871,158.8879,161.2446,400939
2017-06-13,161.7916,161.9805,159.0271,160.9463,313927
2017-06-14,160.2801,162.5274,159.2359,162.3385,312088
2017-06-15,160.8668,162.7164,160.1906,162.0899,304752
2017-06-16,162.4379,164.0091,161.2745,163.3329,492976
2017-06-19,164.3671,165.6101,162.7661,165.4411,754976
2017-06-20,165.2024,165.5505,164.1881,164.6953,339313
2017-06-21,164.8444,164.8444,160.1707,160.9563,394173
2017-06-22,160.3198,162.3484,158.3994,161.1452,328378
2017-06-23,161.4535,162.0799,159.4477,160.3696,1278856
2017-06-26,161.4336,164.0787,160.6182,161.4535,287954
2017-06-27,162.4181,162.9849,160.8071,161.8015,268071
2017-06-28,163.2036,166.0178,162.3783,165.0135,429869
2017-06-29,167.4498,168.2155,163.1937,164.0887,464801
2017-06-30,165.1726,166.6642,164.8593,164.9339,318233
2017-07-03,166.5349,169.0309,166.4454,167.3802,226839
2017-07-05,168.2851,170.6318,167.1515,169.3392,508789
2017-07-06,168.9713,169.5281,165.103,165.2521,543202
2017-07-07,166.2267,169.8563,166.2267,168.9215,377952
2017-07-10,168.7425,173.0583,168.0564,171.7457,474736
2017-07-11,171.9446,172.4716,169.369,170.6916,324970
2017-07-12,171.328,173.8041,170.7513,173.0583,468789
2017-07-13,173.4959,174.6195,171.8153,174.1721,404733
2017-07-14,173.5754,175.1267,173.3715,174.5499,331622
2017-07-17,175.0074,175.7532,174.5599,175.3156,242097
2017-07-18,174.898,176.5487,174.1024,176.0018,263065
2017-07-19,176.4194,176.862,175.7233,176.0018,356234
2017-07-20,176.7078,178.806,176.2902,176.9166,429723
2017-07-21,176.7575,178.0801,175.8029,177.3542,213140
2017-07-24,177.0061,179.164,177.0061,178.0503,242234
2017-07-25,179.9596,181.6501,178.8359,180.4468,265341
2017-07-26,180.5562,181.6401,179.3331,180.5761,281773
2017-07-27,183.1914,183.6787,176.6382,177.8415,472389
2017-07-28,177.3741,179.6016,176.0217,177.6525,404580
2017-07-31,177.9508,185.4139,176.0416,184.7924,582831
2017-08-01,180.1783,180.8545,178.0801,179.6314,276755
2017-08-02,184.0466,184.7576,179.1143,179.6612,380500
2017-08-03,179.6413,179.9894,178.0018,179.174,419564
2017-08-04,180.1783,180.8545,178.0801,179.6314,276755
2017-08-07,179.6215,181.0832,178.3635,179.6215,347891
2017-08-08,179.711,182.2297,179.4422,180.7464,320229
2017-08-09,179.711,179.9997,178.2874,179.721,325038
2017-08-10,178.0186,179.1933,174.3651,174.6339,312238
2017-08-11,175.2312,177.0082,173.3596,174.4447,414171
2017-08-14,176.4358,178.9843,176.4358,177.5906,231556
2017-08-15,178.3073,178.6757,177.0132,178.0983,173342
2017-08-16,179.2929,180.5074,177.277,177.5906,181748
2017-08-17,176.6349,176.8025,172.0455,172.2247,468499
2017-08-18,171.8365,173.4492,170.821,172.0654,267741
2017-08-21,172.0455,172.0455,170.3034,171.279,203498
2017-08-22,172.0555,174.823,171.9758,174.614,223106
2017-08-23,173.5089,174.7633,172.8917,173.4094,258193
2017-08-24,174.1162,174.4746,171.8862,173.947,259807
2017-08-25,174.8131,176.1172,173.2302,174.0963,244209
2017-08-28,175.1117,175.1117,172.3641,173.2103,156372
2017-08-29,170.9903,173.4791,170.4925,173.1008,203183
2017-08-30,173.0908,174.0266,172.5831,173.2601,172627
2017-08-31,174.1461,176.2665,173.5239,175.8982,306332
2017-09-01,176.5154,177.7001,175.7688,176.3163,179818
2017-09-05,175.2411,177.272,172.4885,173.6284,623028
2017-09-06,174.9325,175.2561,172.0356,172.2148,243478
2017-09-07,172.5433,172.8917,168.9992,171.9161,247239
2017-09-08,171.9161,172.8867,170.7912,172.5333,194857
2017-09-11,174.833,177.0928,174.0764,176.4557,204122
2017-09-12,177.4711,178.7951,176.9136,178.0286,150934
2017-09-13,177.4711,177.7299,175.9529,176.4557,231520
2017-09-14,176.4158,177.8295,174.9923,177.7697,327088
2017-09-15,177.6304,179.6463,177.6304,179.0639,385790
2017-09-18,179.2033,181.9609,179.2033,181.7916,401485
2017-09-19,182.0803,182.0803,180.1988,181.5826,287327
2017-09-20,181.9708,182.4885,181.0749,182.3392,293418
2017-09-21,182.5582,184.3651,182.1799,183.3546,271367
2017-09-22,183.3247,184.2406,181.5428,184.1411,277603
2017-09-25,183.8623,186.1918,183.7926,185.9529,186213
2017-09-26,186.1719,186.6597,184.8379,184.9574,232810
2017-09-27,186.0823,189.0092,185.943,187.6055,354255
2017-09-28,187.4362,188.9843,186.6597,188.5413,146917
2017-09-29,187.8643,191.1196,187.4163,188.9793,176650
2017-10-02,189.1684,192.2197,188.0933,191.7369,269790
2017-10-03,191.1396,192.8568,189.1585,192.0057,422424
2017-10-04,192.9215,194.9325,192.3193,194.2058,365543
2017-10-05,194.4646,195.8882,193.7279,194.3451,234492
2017-10-06,194.4049,194.9225,192.2545,193.7478,180973
2017-10-09,194.375,195.1216,192.6727,193.2501,289515
2017-10-10,194.0365,194.6139,192.1351,194.3451,355039
2017-10-11,194.3949,194.7832,193.1306,193.6881,321744
2017-10-12,193.3795,194.8728,191.9161,192.8917,391899
2017-10-13,192.9215,194.9921,191.6274,192.6826,364396
2017-10-16,193.2899,195.0818,193.2899,194.4248,291799
