date,open,high,low,close,volume
2017-06-20,128.4767,129.1022,127.7047,127.7144,549310
2017-06-21,127.7535,127.8464,125.1148,125.3298,879039
2017-06-22,125.1441,125.1539,123.385,123.4827,1190402
2017-06-23,124.2743,124.2743,122.437,122.7009,2733948
2017-06-26,123.1016,124.3623,122.2318,123.3263,880069
2017-06-27,123.9225,124.5675,122.867,122.9354,956715
2017-06-28,124.1277,126.356,124.0984,125.496,906055
2017-06-29,127.5092,128.291,124.333,125.1148,901032
2017-06-30,125.7305,126.1312,124.2548,124.4014,833452
2017-07-03,125.623,128.5061,125.149,127.1867,539430
2017-07-05,127.431,128.682,126.3169,128.1542,895940
2017-07-06,127.9783,128.467,125.9553,126.2192,797389
2017-07-07,126.3364,128.711,126.0433,128.3302,634059
2017-07-10,128.164,130.4705,127.5679,129.8352,696958
2017-07-11,130.1186,130.1968,127.5972,128.4572,784211
2017-07-12,128.6429,130.5975,128.5941,130.2848,992152
2017-07-13,130.6757,131.4282,130.0307,131.1448,669809
2017-07-14,129.4541,132.3957,129.4052,131.6823,805335
2017-07-17,131.4966,132.5521,131.2572,131.6628,715744
2017-07-18,130.8027,131.565,130.0013,131.5162,1278347
2017-07-19,131.8485,133.5294,131.6335,132.9528,1141915
2017-07-20,133.2167,134.2526,132.7085,133.6858,753982
2017-07-21,133.5587,134.2722,132.9919,133.246,840531
2017-07-24,133.1483,134.5751,133.0408,134.4383,697650
2017-07-25,136.2757,136.735,135.0149,135.6893,1060872
2017-07-26,139.276,142.5695,136.8229,141.3674,2653441
2017-07-27,141.9245,141.9245,138.9437,139.2662,1216042
2017-07-28,139.2271,141.6704,138.0348,141.172,1240358
2017-07-31,141.4554,142.0711,140.3217,141.5922,1367015
2017-08-01,145.5203,146.2084,144.8421,145.3139,923142
2017-08-02,142.462,143.8498,141.8072,142.2177,1468057
2017-08-03,142.2472,144.5177,142.2472,143.7511,919998
2017-08-04,145.5203,146.2084,144.8421,145.3139,923142
2017-08-07,145.196,145.9725,144.7438,144.7733,1234536
2017-08-08,144.4883,147.4223,144.1934,146.2575,943496
2017-08-09,145.0682,145.5989,143.928,145.422,964703
2017-08-10,144.39,144.9109,141.0481,141.3331,1427154
2017-08-11,141.9425,142.6207,140.5959,140.9105,1009673
2017-08-14,142.8566,143.8297,142.3652,142.66,723908
2017-08-15,143.7707,144.5079,141.9632,142.4241,730220
2017-08-16,143.24,143.8297,140.6549,140.9105,810886
2017-08-17,140.4387,140.9105,136.1728,136.3694,1568998
2017-08-18,136.2613,137.3032,135.4455,136.4284,1793810
2017-08-21,136.3792,136.3792,134.6296,135.1113,820070
2017-08-22,135.7698,136.8608,135.6224,136.4185,759301
2017-08-23,135.3078,137.5489,134.3937,136.1433,1410964
2017-08-24,136.7232,137.4457,135.9467,136.0352,1066506
2017-08-25,136.8608,137.2049,135.7403,136.2416,1730459
2017-08-28,136.6938,137.0476,134.5903,135.3963,1644360
2017-08-29,133.7843,135.7108,132.5459,135.0326,1508411
2017-08-30,135.0818,135.6912,134.7083,134.8557,763953
2017-08-31,135.5831,136.3989,135.0818,136.1433,863852
2017-09-01,136.3497,137.8438,136.3399,137.4309,706760
2017-09-05,136.2416,137.1312,132.998,133.3518,945343
2017-09-06,134.1087,134.1185,132.0741,132.7916,979629
