date,open,high,low,close,volume
2017-06-20,129.4701,129.9598,127.8245,128.5102,1360863
2017-06-21,128.5004,128.7502,127.6482,127.9323,1641921
2017-06-22,128.3143,128.8432,127.9715,128.187,1273687
2017-06-23,128.2947,129.2252,127.9029,129.1762,1693954
2017-06-26,129.4897,129.8031,128.4122,129.7444,1286119
2017-06-27,131.8405,133.2657,131.243,132.9669,4168813
2017-06-28,132.869,133.4958,131.5172,131.7719,2121636
2017-06-29,130.5965,130.5965,129.1175,130.097,1998731
2017-06-30,130.2047,130.9296,129.4701,129.6072,2480269
2017-07-03,129.9011,130.4398,128.138,128.7159,1252798
2017-07-05,128.5788,129.7933,128.3633,129.5387,1707672
2017-07-06,128.8628,129.4211,128.3143,128.8432,1249176
2017-07-07,129.3721,131.0565,128.6767,130.4104,1254168
2017-07-10,130.9002,130.9198,128.5102,128.52,1272078
2017-07-11,128.4906,129.1175,128.2261,128.2457,1112646
2017-07-12,129.0979,131.4977,128.7649,131.1352,1135419
2017-07-13,131.1352,131.7327,130.8218,131.3899,955545
2017-07-14,132.1637,133.535,132.1147,133.251,1202366
2017-07-17,133.2803,133.6026,131.9776,132.6241,1458882
2017-07-18,132.5457,135.1708,132.3057,133.3881,2272442
2017-07-19,132.82,133.868,131.576,132.6437,2757954
2017-07-20,132.8983,134.6321,132.8885,133.4469,2082084
2017-07-21,133.202,134.2598,132.8396,134.0933,1542668
2017-07-24,134.1619,135.1512,133.3099,134.2598,1367498
2017-07-25,134.8965,134.9063,133.2461,133.8191,1205338
2017-07-26,133.5252,135.161,133.486,135.0434,1337965
2017-07-27,136.2678,136.64,131.2528,132.0952,2933553
2017-07-28,132.3988,135.9446,132.0462,135.5038,1972640
2017-07-31,135.827,136.2776,132.9669,133.535,2386690
2017-08-01,133.2901,135.3079,132.8494,135.1414,2408949
2017-08-02,133.2901,135.3079,132.8494,135.1414,2409047
2017-08-03,135.2295,135.3471,134.0346,134.3382,1661887
2017-08-04,134.681,135.1806,134.3382,134.7496,927911
2017-08-07,134.5635,135.3275,134.1434,135.2393,976609
2017-08-08,134.6712,134.7398,133.3783,133.8289,1333491
2017-08-09,133.5742,135.5528,133.535,135.0239,1319251
2017-08-10,134.4851,135.2785,134.0052,134.0248,1032688
2017-08-11,134.3774,134.9455,133.4958,133.8778,870814
2017-08-14,134.5831,137.1494,134.5831,137.1004,1648458
2017-08-15,136.7967,137.2865,136.0729,136.8261,1386099
2017-08-16,137.1298,138.2366,136.8163,138.1974,1334558
2017-08-17,138.1387,138.6088,136.7869,136.7869,956338
2017-08-18,136.5813,137.502,135.8761,137.1298,1114278
2017-08-21,137.3159,138.5598,137.2522,138.3835,1545942
2017-08-22,138.3835,139.3434,138.0603,139.1769,1030346
2017-08-23,139.079,140.176,138.8047,139.9116,921582
2017-08-24,140.1172,141.3024,139.5883,140.8519,1578994
2017-08-25,141.753,143.0949,141.0282,141.2828,1253977
2017-08-28,141.3318,143.1243,141.3318,142.7913,1577274
2017-08-29,142.1154,143.6238,141.9195,142.899,1178480
2017-08-30,142.6639,144.6131,142.3374,144.4956,1753040
2017-08-31,144.3585,145.6612,143.8687,145.0147,2293248
2017-09-01,145.289,145.289,142.2526,142.7815,1766073
2017-09-05,142.9774,144.1332,142.6835,143.9275,1647240
2017-09-06,143.9863,144.2886,143.0753,143.0753,1380669
2017-09-07,143.3104,144.0156,143.0264,143.9765,1757397
2017-09-08,143.7904,143.7904,141.4787,142.0175,2240630
2017-09-11,143.4182,143.8393,141.6551,143.1831,2202033
2017-09-12,143.1439,143.2957,140.9008,141.8608,2058798
2017-09-13,141.9587,142.0616,140.4503,140.7539,2087636
2017-09-14,141.2449,141.6928,139.5273,139.6356,2211940
2017-09-15,140.127,142.1644,139.9409,142.0371,3210562
2017-09-18,142.0469,143.2321,141.5669,141.802,1531283
2017-09-19,141.8118,142.5954,135.9348,138.0897,5507598
2017-09-20,138.266,138.7166,136.6106,137.5216,2876833
2017-09-21,137.6489,137.9917,136.5421,136.5421,1958422
2017-09-22,135.3765,136.3266,134.3578,134.9553,3140681
2017-09-25,134.9847,135.5332,134.2598,134.5733,1936226
2017-09-26,134.5831,135.1218,131.3605,133.6232,2752279
2017-09-27,133.2314,133.5938,131.7523,131.9776,2646577
2017-09-28,132.1843,134.0053,131.6429,133.9659,1988566
2017-09-29,133.5919,135.029,133.4794,134.5368,1705810
2017-10-02,134.8813,135.4916,133.5328,133.7297,1513396
2017-10-03,133.8675,135.0486,133.7297,134.5171,1886290
2017-10-04,134.7534,137.4602,134.5466,136.6629,1827045
2017-10-05,136.9385,137.7358,136.8204,137.0665,1965858
2017-10-06,136.3381,136.9484,135.2259,136.9287,1377189
2017-10-09,136.8204,136.9287,135.3636,135.777,2116159
2017-10-10,135.9936,136.279,134.7238,134.9404,2174380
2017-10-11,134.8715,136.8106,134.8715,135.7672,2003833
2017-10-12,135.8263,138.1296,135.2258,137.8343,1657947
2017-10-13,138.543,138.7005,137.0862,137.7752,1815697
2017-10-16,137.5193,138.4741,136.6236,137.4012,1590185
2017-10-17,137.4602,138.1394,135.9058,136.9484,1393115
2017-10-18,136.7712,136.9582,135.2554,135.3243,1695804
2017-10-19,135.2652,136.8204,134.901,136.22,2090614
2017-10-20,136.6039,138.0311,136.033,136.8893,1861514
2017-10-23,136.4562,137.0641,135.5802,136.5743,1556942
2017-10-24,136.8204,136.8893,135.0585,135.8656,1875276
