date,open,high,low,close,volume
2017-06-20,45.3147,46.0572,45.0474,45.8295,5489512
2017-06-21,45.7107,46.1562,44.686,44.8989,5060224
2017-06-22,44.9682,45.7078,44.592,44.6415,4792878
2017-06-23,44.7603,45.4731,44.6514,45.0474,5413190
2017-06-26,45.1662,45.2949,44.4336,44.4732,4575500
2017-06-27,44.8989,45.0573,43.2554,43.3643,8645807
2017-06-28,43.4732,43.889,43.0188,43.3544,7134650
2017-06-29,43.6217,45.3642,43.5227,44.7999,8356850
2017-06-30,45.2058,45.5325,44.4874,44.889,5344694
2017-07-03,45.0474,45.7998,45.0177,45.6414,2547926
2017-07-05,45.3543,45.3642,44.1068,44.3642,4126722
2017-07-06,44.4633,44.5623,43.0772,43.1861,7640657
2017-07-07,43.0079,43.1267,42.1564,42.9287,4923852
2017-07-10,42.8396,43.3247,42.6168,43.1564,3487592
2017-07-11,43.1564,43.6772,42.7208,43.2059,4063857
2017-07-12,43.7405,43.9385,42.8297,43.3841,4783207
2017-07-13,43.2455,44.0276,43.1366,44.0078,4482902
2017-07-14,44.186,44.5672,44.0078,44.285,4911791
2017-07-17,44.1662,45.3097,44.1365,44.7702,4900159
2017-07-18,45.0474,45.1959,43.0277,43.3346,5071740
2017-07-19,43.2455,44.5227,43.0871,44.4633,6986454
2017-07-20,44.8296,44.988,43.3572,43.4039,5833314
2017-07-21,43.5722,43.7306,43.0376,43.6217,5891229
2017-07-24,43.7504,44.1613,43.5128,43.7702,5152929
2017-07-25,44.3543,45.9384,44.1464,45.2652,8885515
2017-07-26,45.681,45.9681,44.6514,44.7207,5164592
2017-07-27,45.1167,46.8988,44.6811,46.8493,7007516
2017-07-28,46.78,47.473,45.7602,45.8592,5827119
2017-07-31,45.6612,45.8097,45.0376,45.2157,4135667
2017-08-01,43.8395,44.6316,43.4534,44.2157,4617534
2017-08-02,43.8395,44.6316,43.4534,44.2157,4627146
2017-08-03,44.186,44.2454,43.0376,43.3346,6638964
2017-08-04,43.2851,44.5128,43.2851,44.4435,4610471
2017-08-07,44.0969,44.1464,43.3741,43.9286,3885660
2017-08-08,43.6613,44.6217,43.5524,43.7702,5214235
2017-08-09,43.8791,44.4534,43.2306,43.6613,5206435
2017-08-10,43.8692,44.3246,43.1168,43.2653,4174255
2017-08-11,43.1366,43.6019,42.7505,43.1069,3788050
2017-08-14,43.1861,43.196,42.4584,42.5921,4059278
2017-08-15,42.493,42.8693,42.0871,42.8099,4112144
2017-08-16,42.8396,43.1069,41.9386,42.1069,6167264
2017-08-17,41.8693,42.2554,41.2258,41.305,5738032
2017-08-18,41.206,42.0277,40.81,41.7505,5240568
2017-08-21,41.5525,42.0475,41.2852,41.6317,3677073
2017-08-22,41.7901,41.9584,41.602,41.8495,3548035
2017-08-23,41.7406,43.0029,41.5723,42.5525,3401899
2017-08-24,42.3148,42.4435,42.0475,42.2257,3917628
2017-08-25,42.4138,42.5525,41.8644,41.9386,3053442
2017-08-28,41.8,42.0178,40.3149,40.8595,4321156
2017-08-29,40.5723,40.602,39.5625,40.305,5420160
2017-08-30,39.9288,40.3644,39.6318,40.1169,3042696
2017-08-31,40.4634,40.9189,40.0674,40.5228,4414286
2017-09-01,40.5822,41.2555,40.008,41.0773,3339934
2017-09-05,41.4337,41.7109,40.7011,41.0674,3795492
2017-09-06,41.2852,42.2455,41.2654,41.9287,5457263
2017-09-07,41.8594,41.9782,41.2654,41.7505,3105675
2017-09-08,41.5525,41.5525,40.1367,40.5129,3330178
2017-09-11,40.6912,41.0377,40.2357,40.612,3378194
2017-09-12,40.8895,41.9006,40.7606,41.395,3756249
2017-09-13,41.6528,42.763,41.6528,42.7531,5897421
2017-09-14,43.0207,43.733,42.7531,43.1496,4868263
2017-09-15,43.1595,43.3875,42.9018,43.1694,4328011
2017-09-18,43.0901,43.5659,42.8819,43.3776,2684236
2017-09-19,43.3577,43.7344,43.0306,43.3776,2635744
