date,open,high,low,close,volume
2017-06-20,141.5743,142.1202,140.9699,141.0869,801449
2017-06-21,141.2526,141.974,139.693,139.8587,749914
2017-06-22,139.7028,140.8822,139.5809,140.6093,1008193
2017-06-23,140.9505,141.3696,140.1804,141.2819,4010208
2017-06-26,141.3696,141.8667,140.931,141.2526,1150890
2017-06-27,141.3891,141.8375,140.1999,140.1999,796579
2017-06-28,141.5061,141.584,140.7565,141.1844,870243
2017-06-29,141.4788,141.7437,138.1329,139.1043,892426
2017-06-30,139.3005,141.155,139.222,140.37,938130
2017-07-03,141.0274,142.0184,140.8017,141.5769,411641
2017-07-05,141.4395,141.7713,139.7715,139.9285,719366
2017-07-06,139.6341,140.7429,139.3201,139.4575,533625
2017-07-07,139.7519,141.4199,139.4035,141.3021,708653
2017-07-10,140.841,141.8026,140.3896,140.8017,591096
2017-07-11,140.9195,141.0176,139.5164,140.0855,645770
2017-07-12,140.5564,141.5278,140.4878,141.0274,949426
2017-07-13,141.1942,141.9595,140.5957,141.6554,1005114
2017-07-14,141.9399,143.0389,141.6407,142.8328,1014030
2017-07-17,142.6954,143.3332,142.509,142.8132,1195100
2017-07-18,141.8712,142.7641,141.8712,142.509,757260
2017-07-19,142.4501,143.4608,142.0969,143.4608,1478528
2017-07-20,143.2743,143.5883,142.4011,143.2645,1299852
2017-07-21,143.1468,143.1468,141.9301,142.9015,1226559
2017-07-24,142.5973,142.5973,141.6063,142.2147,1308235
2017-07-25,143.2449,143.7944,142.0086,142.3128,1284716
2017-07-26,142.2343,142.4305,141.1206,141.1942,1108143
2017-07-27,141.3708,141.5867,140.0266,140.9489,1243171
2017-07-28,141.2727,141.4788,139.9383,140.7919,928916
2017-07-31,141.4689,141.5177,139.2122,139.4771,1828792
2017-08-01,144.6382,145.2613,144.2555,144.4518,804503
2017-08-02,145.5507,146.1002,144.2163,145.325,3983730
2017-08-03,145.6783,145.8058,143.9416,144.1574,1860314
2017-08-04,144.6382,145.2613,144.2555,144.4518,804503
2017-08-07,145.1582,145.1582,144.1672,144.5303,866605
2017-08-08,144.442,144.5205,142.8917,143.1075,866114
