date,open,high,low,close,volume
2017-06-20,74.9,75.0684,74.2558,74.2756,1225236
2017-06-21,74.2558,74.3846,73.8792,74.0576,1541783
2017-06-22,74.0576,74.1468,73.5225,73.7009,1037353
2017-06-23,73.8198,74.5234,73.5423,74.4045,1614643
2017-06-26,74.6225,74.9198,73.9982,74.0873,952294
2017-06-27,73.9882,74.0279,73.5621,73.5621,1186366
2017-06-28,74.1369,74.563,73.7108,74.4342,835309
2017-06-29,74.4243,74.4243,72.6008,73.0963,922798
2017-06-30,73.3837,73.5819,72.6801,73.1558,1447223
2017-07-03,73.6216,73.6513,72.4423,72.4423,580332
2017-07-05,72.8783,73.1657,72.3927,73.1063,1177529
2017-07-06,72.1945,72.6157,71.699,71.8279,1455097
2017-07-07,72.2342,72.9972,72.1152,72.7297,958906
2017-07-10,72.4621,73.2549,72.2738,73.1063,1025190
2017-07-11,73.0864,73.3342,72.7099,72.9972,724859
2017-07-12,73.5027,73.9982,73.2351,73.909,1024523
2017-07-13,73.9486,74.2855,73.8009,73.9189,660086
2017-07-14,73.9783,73.9982,73.6612,73.8792,1053416
2017-07-17,73.8991,74.5135,73.6513,74.1666,695235
2017-07-18,73.9486,74.3252,73.7801,74.236,758484
2017-07-19,74.4937,74.9892,74.345,74.9,791494
2017-07-20,74.8009,75.0932,74.4441,74.9792,985585
2017-07-21,74.7711,75.1279,74.563,74.8901,826332
2017-07-24,75.0189,75.1675,74.5937,74.9594,1117635
2017-07-25,75.1973,75.4946,74.7216,75.1576,1606594
2017-07-26,75.5144,76.773,73.3639,74.2657,2286720
2017-07-27,74.2955,75.2468,74.1468,75.1576,2035055
2017-07-28,75.2567,75.5689,74.5531,75.445,1457699
2017-07-31,75.7919,76.1684,75.3856,75.9306,1483690
2017-08-01,77.3676,77.427,76.773,76.9613,1205809
2017-08-02,76.9117,77.2784,76.7333,77.1396,1488844
2017-08-03,77.0405,77.6797,76.8622,77.1297,2098026
2017-08-04,77.3676,77.427,76.773,76.9613,1205809
2017-08-07,76.882,77.3874,76.882,77.2784,1126932
2017-08-08,76.9414,77.6351,76.9414,77.2685,855078
2017-08-09,77.0604,77.873,76.8225,77.7838,1135814
2017-08-10,77.3577,77.655,77.0405,77.0703,1850123
2017-08-11,77.3081,77.4667,77.0108,77.2685,1101411
2017-08-14,77.6649,78.646,77.5658,78.3883,1366820
2017-08-15,78.5171,78.6632,78.2,78.2,1914885
2017-08-16,78.4378,78.9829,78.2991,78.6063,937210
2017-08-17,78.3387,78.7451,78.1802,78.2396,1291072
2017-08-18,78.1306,78.2694,77.655,77.7144,873963
2017-08-21,77.5955,78.0712,77.4171,78.0018,808713
2017-08-22,78.2099,79.0324,78.2099,78.9829,1031422
2017-08-23,78.4775,79.2158,78.1901,78.6856,1010623
2017-08-24,78.7649,78.7847,78.2694,78.6757,698050
2017-08-25,78.6162,79.6072,78.3685,79.4388,785796
2017-08-28,79.2802,79.2802,78.8342,79.0324,734568
2017-08-29,78.6162,79.6072,78.3685,79.4388,785796
2017-08-30,79.3793,79.746,79.2604,79.5874,984157
2017-08-31,79.7757,80.4,79.6072,80.2117,1078636
2017-09-01,80.2514,80.4347,79.5874,80.1424,866930
2017-09-05,79.9739,80.1721,79.1415,79.627,822210
2017-09-06,79.9243,80.0135,79.3198,79.855,814692
2017-09-07,79.9838,80.1077,79.5478,79.7856,692956
2017-09-08,79.5478,80.1721,79.3397,79.7955,709948
2017-09-11,80.291,81.3316,80.2405,81.2027,1023829
2017-09-12,81.2127,81.5595,81.0154,81.3811,757255
2017-09-13,81.3316,81.3811,80.6775,80.9847,792162
2017-09-14,80.7865,81.5496,80.7865,81.4703,782384
2017-09-15,81.6193,82.0464,81.3014,82.0265,1132260
2017-09-18,82.0067,82.4537,81.6789,82.2451,1074646
2017-09-19,82.5133,82.5927,82.1159,82.5133,683432
2017-09-20,82.6722,82.6921,81.8478,82.4338,655906
2017-09-21,82.6424,82.8013,82.2153,82.5828,728443
2017-09-22,82.8113,83.2483,82.2947,82.3841,1618230
2017-09-25,82.3047,82.3593,81.0233,81.371,1329724
2017-09-26,81.5001,81.6094,81.0034,81.073,868281
2017-09-27,81.4405,81.6888,81.1276,81.4206,1135127
2017-09-28,81.1822,81.8378,81.1326,81.7286,812672
2017-09-29,82.9304,84.3012,82.4735,84.0727,1847930
2017-10-02,84.182,84.331,83.8145,84.2019,1533043
2017-10-03,84.4303,84.6091,84.1323,84.4303,988662
2017-10-04,84.4204,85.2995,84.1919,85.1852,1012420
2017-10-05,85.4733,85.7216,85.0958,85.7216,1002664
2017-10-06,85.5528,86.0097,85.4038,85.9997,795172
2017-10-09,86.0196,86.2282,85.7415,85.9699,1023708
2017-10-10,86.0593,86.4964,85.9203,86.4368,773350
2017-10-11,86.4169,86.4269,85.9302,86.1984,689281
2017-10-12,86.1686,87.2016,86.1189,87.1818,717751
2017-10-13,87.3407,87.4102,86.5063,86.6156,2095150
2017-10-16,86.8043,86.8937,86.2282,86.3573,1581094
2017-10-17,86.3971,86.4469,85.8905,86.1189,993881
2017-10-18,86.1885,86.2779,85.6719,86.0395,1043189
2017-10-19,85.7911,85.9054,84.8177,85.523,1594618
2017-10-20,86.0991,86.3573,85.4236,85.9898,1250143
2017-10-23,86.3573,86.3573,85.5925,85.7713,1282585
2017-10-24,86.0693,86.4418,85.7117,86.0693,1075806
2017-10-25,86.9831,87.5989,85.9302,86.6553,1460280
2017-10-26,86.6652,86.6851,84.927,84.927,1808283
2017-10-27,84.927,86.0196,84.8773,86.0196,1259523
2017-10-30,85.8507,85.9799,85.076,85.1852,891315
2017-10-31,85.5428,86.556,85.3839,86.4169,1223997
2017-11-01,86.9632,87.2414,86.1587,86.2878,1197390
2017-11-02,86.4169,87.301,86.3176,87.003,1366012
2017-11-03,87.0328,87.2165,86.1885,86.7447,948715
2017-11-06,86.7149,87.0526,86.5262,86.6553,1143625
2017-11-07,86.5957,87.1122,86.5262,86.7844,919337
2017-11-08,86.7546,87.2612,86.5262,87.152,839975
2017-11-09,86.5957,86.8043,85.5673,86.1388,837091
2017-11-10,86.0991,87.7678,85.9997,87.6188,1359118
2017-11-13,87.4102,88.0261,87.2712,87.887,1054773
2017-11-14,87.6883,88.5624,87.4897,88.3837,1088555
2017-11-15,88.1254,88.2744,87.589,87.8175,1144082
2017-11-16,88.1254,89.0889,87.9992,88.7114,1015894
2017-11-17,88.5128,89.1237,88.3137,88.92,1052363
2017-11-20,89.1286,89.516,88.93,89.2776,825149
2017-11-21,90.1219,90.5292,89.4663,90.2312,1487066
2017-11-22,90.2312,90.3305,89.2776,89.2975,1229311
2017-11-24,89.3869,90.4795,89.2975,90.3007,641972
2017-11-27,90.1617,90.3504,89.7693,89.7743,1198363
2017-11-28,90.1517,90.6384,90.0127,90.4298,1435813
2017-11-29,90.3901,90.6484,88.8515,89.1684,1479545
2017-11-30,89.8239,90.4696,89.4068,89.9829,4591326
2017-12-01,90.0524,90.1319,87.4742,89.1982,1319634
2017-12-04,89.7643,89.9928,87.8473,87.8671,1291437
2017-12-05,87.9069,88.1353,87.3804,87.589,1151311
2017-12-06,87.0328,87.6883,86.8142,87.1917,954319
2017-12-07,87.301,87.6188,87.0626,87.5493,1513951
2017-12-08,88.0757,88.7512,88.0757,88.7412,1606787
2017-12-11,88.483,89.2329,88.3042,88.6419,1027807
2017-12-12,88.6419,89.3472,88.3638,89.069,1355954
2017-12-13,89.0392,89.4068,88.4731,88.9002,882995
2017-12-14,89.0541,89.3273,88.622,88.632,867184
2017-12-15,89.0998,89.2491,88.5623,88.7215,1551224
2017-12-18,89.274,89.4482,88.841,89.0401,936883
2017-12-19,89.2392,89.6572,88.3831,88.393,1249266
2017-12-20,88.3632,88.7414,87.8356,88.2338,997257
2017-12-21,88.0745,88.6618,87.9352,88.0447,1060547
2017-12-22,88.1442,88.612,87.3479,87.7361,693355
2017-12-26,87.6564,87.6564,87.028,87.3877,664544
2017-12-27,87.6863,87.7858,87.2981,87.6863,1148194
2017-12-28,87.8456,88.2437,87.4374,88.194,809358
2017-12-29,88.5921,88.7414,87.1289,87.3976,849164
2018-01-02,88.0646,88.4428,87.1489,87.3976,1227466
2018-01-03,87.1786,88.5523,87.0991,88.5324,1342023
2018-01-04,88.5921,88.8609,88.2238,88.2238,1398304
