date,open,high,low,close,volume
2017-06-20,115.9995,116.0966,113.8521,115.8829,680092
2017-06-21,115.8926,116.0772,115.0667,115.6788,663325
2017-06-22,115.7954,118.1809,115.0278,117.3696,1181512
2017-06-23,117.321,117.8165,116.9323,117.1849,1661088
2017-06-26,117.5736,117.9428,117.0489,117.8457,932004
2017-06-27,117.4764,118.8174,117.3307,118.1566,797245
2017-06-28,118.7046,118.9492,117.7651,117.9511,713358
2017-06-29,117.5009,117.9119,116.0428,116.444,641195
2017-06-30,116.6887,118.4991,116.444,117.8923,787719
2017-07-03,118.411,118.5676,117.1584,118.3621,291739
2017-07-05,118.3621,119.096,117.4813,117.7749,538519
2017-07-06,117.6575,117.9511,115.622,115.622,444551
2017-07-07,115.622,116.1113,115.2012,115.9939,399377
2017-07-10,116.1896,116.7865,114.7021,114.7021,367644
2017-07-11,114.9468,115.7101,113.7137,115.3284,437780
2017-07-12,116.0917,117.2954,115.6905,116.5125,459144
2017-07-13,116.6397,116.9382,116.0624,116.1896,315929
2017-07-14,116.2287,117.5205,116.2287,117.4715,273052
2017-07-17,117.452,118.641,115.9078,118.5382,323331
2017-07-18,118.548,118.685,117.4911,118.1174,387384
2017-07-19,118.3229,119.556,118.0685,119.4777,343614
2017-07-20,119.4679,120.5444,119.3407,119.4581,556098
2017-07-21,119.419,120.2019,117.8826,118.411,742168
2017-07-24,118.4012,118.7437,117.9217,117.9413,788835
2017-07-25,118.2446,118.5872,117.2367,117.5694,435043
2017-07-26,117.7162,118.5333,117.0605,118.2349,327487
2017-07-27,117.8923,118.548,117.0801,118.2642,410903
2017-07-28,118.2446,118.7437,117.589,117.8238,382110
2017-07-31,118.1859,118.685,117.4422,118.6557,467158
2017-08-01,118.3327,119.5951,117.6966,118.0294,353774
2017-08-02,117.9608,118.7144,117.4752,117.9413,312020
2017-08-03,117.7651,119.233,116.9822,118.1957,388709
2017-08-04,118.3327,119.5951,117.6966,118.0294,353774
2017-08-07,118.0783,118.137,116.992,118.0,331698
2017-08-08,117.4226,118.3914,117.1975,118.0391,369829
2017-08-09,118.0098,118.8122,117.8238,118.2446,278758
2017-08-10,118.0196,118.1469,117.0605,117.3248,352880
2017-08-11,117.1192,117.8141,116.5027,116.992,296731
2017-08-14,117.4911,119.4973,117.4911,119.1352,350391
2017-08-15,118.8514,119.0471,118.1566,118.8807,394504
2017-08-16,119.1254,119.556,118.7731,119.2918,375237
2017-08-17,119.2526,120.0257,119.0471,119.0667,350441
2017-08-18,118.7927,118.7927,116.8648,117.4422,565851
2017-08-21,117.7064,118.6067,117.3639,118.4991,595426
2017-08-22,118.4599,118.8905,117.266,117.4911,641118
2017-08-23,117.4618,118.5872,117.129,118.3621,725277
2017-08-24,118.6361,119.7125,118.3914,118.6752,1282083
2017-08-25,119.2918,119.3896,117.9119,117.9119,485042
2017-08-28,118.1174,118.2838,116.3462,116.7474,772196
2017-08-29,116.8061,117.5498,116.0917,116.1113,705736
2017-08-30,116.0232,117.3052,115.348,116.8452,911667
2017-08-31,117.1584,119.2135,116.9725,118.7144,1034344
2017-09-01,118.7731,119.3358,118.1859,118.7046,382582
2017-09-05,118.8416,119.419,117.4324,117.8728,792240
2017-09-06,118.3523,119.2232,117.1095,117.8141,613733
2017-09-07,117.9315,118.6654,117.1486,117.5303,526152
2017-09-08,117.4618,117.8434,115.8666,116.8061,1163919
2017-09-11,117.4422,118.2251,117.2758,117.7847,917930
2017-09-12,117.9902,118.6165,116.8257,117.4324,583308
2017-09-13,117.2073,117.54,116.307,116.8844,876196
2017-09-14,116.8648,118.4697,116.5125,118.2446,663421
2017-09-15,117.9315,118.4991,117.2269,117.9413,2231435
2017-09-18,117.9413,118.4599,117.3248,117.8434,858991
2017-09-19,117.8434,118.0079,116.5517,117.4324,746316
2017-09-20,117.4422,118.1076,116.0428,116.7963,538142
2017-09-21,116.9529,117.4226,116.1798,116.7865,885478
2017-09-22,117.0312,117.5303,115.2403,115.5339,805821
2017-09-25,115.759,116.8697,115.4948,116.2581,860533
2017-09-26,116.3462,116.767,115.896,116.6104,479235
2017-09-27,116.0917,116.6104,114.5357,115.0446,626669
2017-09-28,115.3206,116.0008,114.6108,115.8135,458297
2017-09-29,115.7938,117.3317,115.498,117.2824,771578
2017-10-02,117.4992,118.1104,116.8683,117.0556,591855
