date,open,high,low,close,volume
2017-06-20,26.2003,26.2992,25.9726,26.1409,1404910
2017-06-21,26.1508,26.2151,25.0026,25.062,3174007
2017-06-22,25.062,25.2946,24.8046,25.0422,2829141
2017-06-23,24.9432,25.3886,24.8541,25.2797,5125867
2017-06-26,22.439,24.4087,22.4192,23.7653,20212432
2017-06-27,23.4288,23.6663,21.5333,21.6174,21130980
2017-06-28,21.8253,23.21,21.8055,22.8646,10870101
2017-06-29,22.8151,23.0527,22.5677,22.5875,6027281
2017-06-30,22.5875,22.7062,21.9045,22.4192,7657815
2017-07-03,22.5083,22.9537,22.4588,22.6073,3383312
2017-07-05,22.6567,22.8052,22.439,22.7557,5642918
2017-07-06,22.7161,23.0131,22.5182,22.6864,4444008
2017-07-07,22.6963,23.0824,22.5578,22.8943,3127489
2017-07-10,23.2407,23.9039,23.0131,23.5872,5407644
2017-07-11,23.6762,23.9633,23.4585,23.7752,4333192
2017-07-12,23.9732,24.2008,23.8346,23.9435,2790015
2017-07-13,24.2107,24.2918,23.9137,24.2008,4457539
2017-07-14,24.0227,24.3097,23.8544,24.1415,2624024
2017-07-17,24.1514,24.9729,24.0722,24.6958,4296891
2017-07-18,24.6562,24.7848,24.4299,24.6265,2805772
2017-07-19,24.7452,24.9432,24.5671,24.864,2238810
2017-07-20,24.8046,25.057,24.4879,24.4978,6083709
2017-07-21,24.5275,24.9531,24.4186,24.9531,3798235
2017-07-24,25.5074,25.735,24.5473,24.9135,5687366
2017-07-25,25.2401,25.834,25.1511,25.6559,4657375
2017-07-26,25.6856,25.6856,25.3094,25.3292,3005375
2017-07-27,25.448,25.5371,24.7848,24.864,3346060
2017-07-28,24.7848,25.1263,24.6265,24.6958,1913518
2017-07-31,24.8046,24.8937,24.3493,24.5374,2454750
2017-08-01,24.6859,24.9036,24.2206,24.8442,3242958
2017-08-02,24.7748,24.9633,24.6061,24.6855,5033514
2017-08-03,24.6458,25.1617,24.4581,25.1319,4895936
2017-08-04,25.2212,25.2808,24.874,24.9335,2263093
2017-08-07,24.9335,25.3701,24.874,25.1419,2877887
2017-08-08,25.0228,25.3552,24.7748,24.7946,3577858
2017-08-09,24.7648,24.8343,24.2886,24.4573,2572255
2017-08-10,24.3779,24.4573,23.7826,23.8322,2755688
2017-08-11,23.7429,24.0554,23.7087,23.8024,2300947
2017-08-14,23.981,24.4573,23.8818,24.368,1861267
2017-08-15,24.3977,24.5862,24.2191,24.5565,3086657
2017-08-16,24.7152,24.993,24.5862,24.6458,3525104
2017-08-17,24.4672,24.7748,24.0703,24.0902,1657346
2017-08-18,24.0108,24.3382,23.8322,24.1001,2607525
2017-08-21,24.1298,24.5515,24.11,24.2886,2693949
2017-08-22,24.8045,25.5387,24.6557,25.4891,3544359
2017-08-23,25.3006,25.7074,25.251,25.3701,2017190
2017-08-24,25.499,25.7173,25.2262,25.2708,2280448
2017-08-25,25.3899,25.4494,25.0526,25.0526,1841478
2017-08-28,25.1518,25.2411,24.8789,24.9732,1628917
2017-08-29,24.7549,25.2212,24.3283,25.1518,1683384
2017-08-30,25.1518,25.3006,24.9335,25.2014,1445884
2017-08-31,25.2808,25.499,25.1419,25.2708,3209435
2017-09-01,25.3502,25.5802,25.3006,25.3105,2925061
2017-09-05,25.2808,25.2808,24.0108,24.1993,5201123
2017-09-06,24.3084,24.6061,24.1298,24.1497,4584682
2017-09-07,24.1993,24.2588,23.9215,24.0703,2492215
2017-09-08,24.0405,24.3035,23.8223,24.2291,4176900
2017-09-11,24.3779,24.9831,24.3531,24.7847,3091851
2017-09-12,24.8442,25.0129,24.7748,24.9633,1941261
2017-09-13,24.9633,25.2212,24.7847,25.0526,2281088
2017-09-14,24.9335,25.2411,24.6855,25.1617,2377249
2017-09-15,25.1716,25.3006,24.9534,25.1419,10943546
2017-09-18,25.1816,25.2907,25.0129,25.1419,1900469
2017-09-19,25.1518,25.757,24.9634,25.7372,4252740
2017-09-20,25.7471,25.9951,25.5685,25.9951,3045412
2017-09-21,25.9852,26.6301,25.757,26.5805,3813766
2017-09-22,26.392,26.5408,25.8959,26.0051,3748121
2017-09-25,26.0051,26.2829,25.6578,25.9257,4532809
2017-09-26,26.0646,26.144,25.8761,26.0646,3388438
2017-09-27,26.2432,26.3523,25.8761,26.1737,2927641
2017-09-28,26.1737,26.1737,25.8066,25.8165,1947149
2017-09-29,25.8364,25.8364,24.358,24.6855,8422256
2017-10-02,24.7549,25.7173,24.7351,25.7173,5674539
2017-10-03,25.638,26.3523,25.5387,25.9257,6069192
2017-10-04,25.9455,26.6649,25.9455,26.5607,3888120
2017-10-05,26.4416,26.8881,26.4416,26.6401,3655504
2017-10-06,26.4714,26.9377,26.3325,26.8881,2812159
2017-10-09,26.9576,27.4338,26.898,27.1758,3748759
2017-10-10,27.4239,27.6322,27.0667,27.1758,2550117
2017-10-11,27.0667,27.6265,26.9079,27.1361,6910534
2017-10-12,27.0568,27.4685,26.8683,27.3445,3622173
2017-10-13,27.4536,27.4636,26.8236,26.9476,9037754
2017-10-16,27.027,27.2254,26.7889,26.9576,3416978
2017-10-17,26.7889,27.0171,26.5607,26.6301,2191471
2017-10-18,26.6103,26.7393,26.4615,26.6797,2424606
2017-10-19,26.4416,26.4813,26.1241,26.4714,2878234
2017-10-20,26.7294,27.0965,26.6202,26.9576,4236940
2017-10-23,27.2056,27.3346,24.0604,24.1596,12679496
2017-10-24,24.3283,25.0218,23.7379,24.1398,7952300
2017-10-25,24.1298,24.7748,23.9314,24.6656,3878129
2017-10-26,24.7946,24.8839,24.1001,24.3977,5047048
2017-10-27,24.3184,24.4771,24.1497,24.4176,2927309
2017-10-30,24.2787,24.6359,24.1298,24.5862,2924105
2017-10-31,24.5664,24.9534,24.4424,24.9236,2998716
2017-11-01,25.0526,25.4296,24.8045,24.9236,4199184
2017-11-02,24.8838,25.1822,24.6554,25.1026,3331139
2017-11-03,25.0231,25.4052,24.8814,25.2021,2715017
2017-11-06,25.212,25.6297,25.0927,25.4706,4326708
2017-11-07,25.4408,25.4805,24.7645,24.9435,3789048
2017-11-08,24.8341,24.9534,24.4064,24.6451,4166035
2017-11-09,24.4661,24.4661,23.9987,24.3169,2888827
2017-11-10,24.2572,24.4313,24.0683,24.1081,2386717
2017-11-13,23.9987,24.1578,23.5611,23.6605,2834993
2017-11-14,23.5014,23.6605,23.0041,23.0737,4490122
2017-11-15,22.9743,23.5461,22.6162,23.2328,4249522
2017-11-16,23.3025,23.7799,23.3025,23.6008,2216580
2017-11-17,23.5213,23.939,23.4715,23.7202,1911188
2017-11-20,23.6804,23.7799,23.4815,23.76,2011419
2017-11-21,23.9887,24.118,23.5014,23.6108,3275944
2017-11-22,23.6605,23.8594,23.5809,23.6207,1673791
2017-11-24,23.7202,24.0285,23.7102,23.8594,1945418
2017-11-27,23.7898,23.8694,22.9146,23.4815,4575294
2017-11-28,23.5809,24.1876,23.4517,24.0981,3486117
2017-11-29,24.118,24.3318,23.8992,23.939,3236732
2017-11-30,24.0782,24.4959,23.8694,24.476,3313166
2017-12-01,24.4959,24.6451,23.8793,24.3666,2651161
2017-12-04,24.7346,25.1325,24.5656,24.5954,4075098
2017-12-05,24.5954,24.5954,23.9987,24.0981,2380957
2017-12-06,24.0484,24.2224,23.8793,23.9987,5073298
2017-12-07,23.9589,24.6004,23.8097,24.4562,2143356
2017-12-08,24.5656,24.5854,24.2075,24.3368,1600896
2017-12-11,24.3169,24.4263,24.0086,24.297,2389519
2017-12-12,24.307,24.5357,24.2175,24.5158,2121024
2017-12-13,24.5158,25.401,24.476,25.0429,3949453
2017-12-14,25.1623,25.2021,24.7147,24.854,3069203
2017-12-15,25.0827,25.2617,24.9434,25.1623,6665258
2017-12-18,25.4805,25.58,25.3214,25.4706,2872815
2017-12-19,25.4209,25.5303,25.0131,25.4905,2580353
2017-12-20,25.5999,26.0823,25.5601,25.9878,3205873
2017-12-21,26.1767,26.674,25.938,26.6541,3582473
2017-12-22,26.4055,26.8083,26.2762,26.684,2748156
2017-12-26,26.6541,27.0917,26.5646,26.9227,1988122
2017-12-27,26.9227,27.216,26.8133,27.1912,1873745
2017-12-28,27.1514,27.4995,27.0519,27.4697,2425028
2017-12-29,27.4697,27.5194,27.0818,27.1017,2690411
2018-01-02,27.1613,27.6188,27.1514,27.6089,2996297
2018-01-03,27.4597,27.8476,26.853,27.8277,5596957
2018-01-04,28.0465,29.2897,27.8585,29.1604,6599189
2018-01-05,29.0908,29.4687,28.9416,29.4488,3700696
2018-01-08,29.5184,29.6776,29.2599,29.598,4185923
2018-01-09,29.6378,29.8268,29.2897,29.6477,2393516
2018-01-10,29.409,29.7671,29.2698,29.6278,2073434
2018-01-11,29.7472,30.2743,29.6985,30.2345,3113340
2018-01-12,30.334,30.7318,30.1947,30.6721,3440987
2018-01-16,30.7517,31.0003,29.9262,30.2445,4977510
2018-01-17,30.2445,30.523,30.155,30.3738,3226006
2018-01-18,30.0655,30.4136,29.7969,30.1848,3307378
2018-01-19,30.1351,30.2843,29.6577,30.0555,4542170
2018-01-22,30.0555,30.2644,29.8765,30.2644,3581297
2018-01-23,30.2644,30.2644,29.9411,30.1351,2262464
2018-01-24,30.1749,30.5031,30.0853,30.3141,2536214
2018-01-25,30.4832,30.6324,29.9859,30.3041,1980633
2018-01-26,30.3937,30.692,30.1649,30.6721,2288049
2018-01-29,30.6622,30.7418,30.0008,30.0953,2462723
2018-01-30,29.8566,30.0157,29.2201,29.7571,4431343
2018-01-31,29.8367,30.3439,29.608,29.8964,3403246
2018-02-01,29.6472,30.2839,29.6173,30.006,2808421
2018-02-02,29.6572,29.6572,28.7304,29.0095,7621840
2018-02-05,27.3054,27.6143,25.7507,26.4284,10925986
2018-02-06,26.0995,26.3088,24.9142,25.1927,10017497
2018-02-07,25.0133,25.3721,24.7841,25.0133,5549170
2018-02-08,25.0432,25.103,24.1064,24.3655,7449056
