date,open,high,low,close,volume
2017-06-20,190.5223,191.4177,187.4152,189.1285,829901
2017-06-21,189.022,189.3124,186.1762,188.3251,614677
2017-06-22,189.1575,189.1575,186.9506,187.6378,614529
2017-06-23,187.6862,188.7703,187.3184,187.812,655051
2017-06-26,188.4799,188.7897,187.4249,188.1799,428152
2017-06-27,187.7152,189.2737,186.3892,186.6311,878315
2017-06-28,187.6551,188.0061,186.7287,187.7428,748709
2017-06-29,187.6258,187.8013,185.5195,187.2358,625447
2017-06-30,187.9184,189.3616,186.875,187.3918,617372
2017-07-03,188.0159,189.8296,187.2553,189.4493,637262
2017-07-05,189.6541,191.2532,187.9476,188.9228,634854
2017-07-06,188.4839,188.8009,183.3547,183.5108,844537
2017-07-07,183.9691,185.3538,183.735,184.5932,422514
2017-07-10,184.5541,185.1197,182.048,182.1943,421407
2017-07-11,182.4869,182.6916,180.01,181.6775,445220
2017-07-12,182.9647,184.2811,181.9213,182.3211,523950
2017-07-13,182.1943,183.5595,181.619,182.3016,485214
2017-07-14,183.2962,184.1446,182.6916,183.0427,505059
2017-07-17,182.9842,185.4708,182.3893,185.3148,464155
2017-07-18,185.6755,185.6755,183.618,183.7155,594163
2017-07-19,183.813,185.4903,183.4815,185.4415,453898
2017-07-20,185.6073,187.0115,185.266,185.3928,444954
2017-07-21,185.266,186.6117,184.1982,186.3972,397622
2017-07-24,186.6604,186.6604,184.4566,184.4566,537722
2017-07-25,184.9442,185.0515,181.8043,183.1695,642136
2017-07-26,183.1597,186.7482,182.716,186.3679,429836
2017-07-27,185.7536,186.7823,184.0471,185.8121,666764
2017-07-28,186.1144,187.7818,185.6853,187.7136,458549
2017-07-31,187.7136,188.0841,186.3289,187.5673,578778
2017-08-01,183.0037,184.6809,182.7404,183.1987,513633
2017-08-02,186.8457,187.6063,185.7828,186.5337,520197
2017-08-03,183.3255,186.1046,180.1475,183.1402,1108280
2017-08-04,183.0037,184.6809,182.7404,183.1987,513633
2017-08-07,183.2182,184.4566,182.5356,183.7545,448776
2017-08-08,183.7448,184.993,182.8087,183.8618,726293
2017-08-09,183.6278,184.9247,183.3645,184.5639,610735
2017-08-10,184.1543,185.2367,183.7497,184.3494,427281
2017-08-11,184.6907,184.8272,183.4157,183.8228,397827
2017-08-14,184.4079,187.3138,184.4079,186.8067,736367
2017-08-15,186.6507,187.4112,185.5975,187.2943,633093
2017-08-16,187.7916,188.601,185.6853,186.4459,537520
2017-08-17,186.5434,187.2358,185.578,185.6463,578439
2017-08-18,185.4025,185.4025,183.5985,184.2909,577316
2017-08-21,184.5444,186.0364,183.8228,185.578,604510
2017-08-22,185.6951,186.4459,183.4717,184.3786,594826
2017-08-23,184.3104,185.5683,184.2811,185.0612,624654
2017-08-24,185.2757,186.1729,184.3981,184.6322,706715
2017-08-25,185.0222,185.6073,184.2616,184.2909,599134
2017-08-28,184.3396,184.8369,183.0719,183.6473,839504
2017-08-29,183.7643,185.1685,182.5649,182.6234,538600
2017-08-30,182.5064,182.5064,181.0632,182.2723,627947
2017-08-31,182.6819,183.6473,182.4869,183.0622,997523
