date,open,high,low,close,volume
2017-06-20,236.126,237.7359,234.0233,234.1648,2442934
2017-06-21,237.6676,239.9362,236.048,239.1702,3500225
2017-06-22,239.5508,240.4289,237.1798,238.1165,1866643
2017-06-23,237.6286,240.8778,236.897,239.3068,3498502
2017-06-26,240.0191,241.8828,235.3454,236.8578,3210313
2017-06-27,235.5015,236.1162,229.5203,229.6179,3358160
2017-06-28,230.8473,235.8625,228.808,235.199,2453345
2017-06-29,232.9061,233.1695,224.9735,228.3592,3451310
2017-06-30,230.5351,230.9449,227.2078,227.3932,2653376
2017-07-03,228.8178,229.5301,223.5196,224.1831,2112330
2017-07-05,225.393,226.6907,223.5489,225.9882,2969882
2017-07-06,222.0365,230.0082,221.9779,229.3349,2633380
2017-07-07,229.5886,234.3599,229.5593,233.8037,2473086
2017-07-10,234.6721,236.0674,233.0134,235.9016,2249872
2017-07-11,236.126,236.7114,233.5793,235.0429,2050168
2017-07-12,237.1017,241.1802,235.2088,240.4387,2771047
2017-07-13,241.1217,243.8049,240.5655,241.3071,2040048
2017-07-14,242.595,244.3221,241.834,244.2148,1441720
2017-07-17,244.7026,246.2345,242.8195,242.9756,1874573
2017-07-18,241.2583,244.8392,240.0874,244.7904,1300337
2017-07-19,245.8832,248.3616,244.4684,248.225,2552646
2017-07-20,248.3226,248.8104,246.2248,247.2785,1213544
2017-07-21,245.4247,247.3664,244.3806,246.9663,1550391
2017-07-24,247.1419,247.5225,245.5808,246.8882,1363836
2017-07-25,246.6638,248.2347,244.1074,248.1274,1612323
2017-07-26,248.508,251.923,248.4397,250.7716,1997140
2017-07-27,251.9425,252.2157,242.9073,244.8587,3200980
2017-07-28,242.878,245.0197,241.4925,244.2928,3191860
2017-07-31,244.888,246.3223,239.502,240.6729,1899118
2017-08-01,242.2048,243.9318,240.9656,242.3609,1758194
2017-08-02,248.4201,251.0351,244.9612,247.2102,3697018
2017-08-03,246.6736,246.859,241.229,244.2148,2344651
2017-08-04,244.649,244.8782,242.0974,243.1219,1345423
2017-08-07,243.3366,246.7516,242.8585,246.3126,1873024
2017-08-08,245.8637,248.1177,244.3416,245.2588,2043901
2017-08-09,243.4732,244.2831,241.512,243.1219,2125609
2017-08-10,240.6729,241.0046,234.6234,234.8673,2903345
2017-08-11,234.2233,239.2873,232.9061,238.2433,1697612
2017-08-14,240.868,245.1515,240.0289,244.8197,1673725
2017-08-15,246.0784,247.8932,245.171,247.5322,2094195
2017-08-16,248.1469,248.5567,245.6979,247.2688,1539399
2017-08-17,246.859,248.0786,240.6631,240.9558,2279288
2017-08-18,241.3266,245.3759,240.1557,243.3171,2013172
2017-08-21,245.7759,245.7759,240.2045,243.561,2069348
2017-08-22,245.7174,249.9715,244.9075,248.9958,2691691
