date,open,high,low,close,volume
2017-06-08,81.991,82.2365,81.6471,81.824,604327
2017-06-09,82.0106,82.8753,81.7552,82.6198,482025
2017-06-12,82.5412,83.1209,82.0598,82.9735,456134
2017-06-13,82.9539,84.0838,82.8949,83.9855,562507
2017-06-14,83.8873,84.5062,83.8133,83.956,444309
2017-06-15,83.8185,84.742,83.6711,84.0543,492174
2017-06-16,84.0346,84.2213,83.2781,84.1525,669581
2017-06-19,84.3785,85.2824,84.1918,85.1547,1024901
2017-06-20,86.2256,87.5127,85.9702,86.3828,772010
2017-06-21,86.0979,86.5892,85.5674,86.1962,475061
2017-06-22,86.3141,86.3632,85.8621,86.0193,474908
2017-06-23,86.206,86.6088,85.9309,86.5106,715263
2017-06-26,86.5106,86.7857,86.1274,86.6285,319603
2017-06-27,86.7955,87.1983,86.2649,86.5302,388125
2017-06-28,86.9724,87.945,86.9724,87.2278,431241
2017-06-29,87.2966,87.2966,85.9014,86.599,376024
2017-06-30,87.0411,87.3261,86.8053,86.825,427177
2017-07-03,87.4047,87.7191,87.0706,87.3162,262770
2017-07-05,87.4636,87.7289,87.0903,87.2671,546190
2017-07-06,87.0804,87.837,86.9134,87.6208,941462
2017-07-07,88.1514,89.576,87.9745,89.1928,685074
2017-07-10,89.016,90.0771,89.016,89.8315,598348
2017-07-11,89.9887,90.7157,89.7283,90.1459,648226
2017-07-12,90.6371,92.0225,90.3129,91.5902,691289
2017-07-13,91.8162,92.1584,90.981,91.4526,718723
2017-07-14,91.6786,92.6562,91.3446,92.3762,678852
2017-07-17,92.3762,92.6022,92.0913,92.3369,593734
2017-07-18,92.1109,92.5236,91.4428,91.767,629777
2017-07-19,92.2386,92.4843,91.9144,92.4253,1269002
2017-07-20,92.4351,92.8183,92.0716,92.4155,662801
2017-07-21,92.4744,92.5923,92.0225,92.2485,659775
2017-07-24,92.1306,92.838,92.1306,92.3172,927070
2017-07-25,94.1939,95.0093,88.8293,89.6743,1663710
2017-07-26,89.8511,91.7277,89.409,90.7256,1220235
2017-07-27,90.6666,90.755,89.6055,90.2147,776258
2017-07-28,90.2245,90.5487,89.7627,90.421,586634
2017-07-31,90.8729,91.374,90.5978,91.3053,559277
2017-08-01,91.7081,92.4548,90.6863,92.4351,784901
2017-08-02,91.7081,92.4548,90.6863,92.4351,784922
2017-08-03,92.4351,92.6611,91.4035,91.6393,486741
2017-08-04,91.8849,91.8849,91.0105,91.4232,365020
2017-08-07,91.6491,92.0225,91.2463,91.9046,812187
2017-08-08,91.5804,92.052,91.207,91.767,617730
2017-08-09,91.7081,92.0421,91.0596,91.266,508349
2017-08-10,91.1382,91.374,90.1459,90.3227,476524
2017-08-11,90.3129,92.2976,90.1655,91.3937,502965
2017-08-14,91.8849,92.3467,91.5312,92.0421,360294
2017-08-15,92.386,92.5432,91.7572,91.8849,598290
2017-08-16,92.1502,92.9952,92.1207,92.9952,473024
2017-08-17,92.7889,92.8969,91.5018,91.5312,401284
2017-08-18,91.4428,91.6197,90.9417,91.4133,416462
2017-08-21,91.4133,91.7572,90.7256,91.1873,449585
2017-08-22,91.2463,91.6295,90.421,91.5607,627220
2017-08-23,91.3347,92.3271,91.2168,91.4133,739884
2017-08-24,91.8063,91.8162,90.7943,91.3347,365344
2017-08-25,91.7572,92.219,91.374,92.0323,241443
2017-08-28,92.3565,92.3565,91.6098,91.6688,420139
2017-08-29,91.4723,92.052,91.4232,91.8162,442099
2017-08-30,91.8456,92.4744,91.7769,92.386,412799
2017-08-31,92.5039,93.0934,92.3172,92.612,653322
2017-09-01,93.076,93.7967,93.0563,93.7967,571342
2017-09-05,93.6486,94.2103,93.0661,93.5894,827238
2017-09-06,93.6782,93.925,91.0423,91.9012,1444112
2017-09-07,91.8518,92.0315,90.8054,91.4866,882216
2017-09-08,91.6248,92.4146,91.3977,91.9999,315606
2017-09-11,92.4738,93.0365,91.8518,92.9773,572240
2017-09-12,93.3031,94.3002,92.918,94.0139,524045
2017-09-13,93.9053,94.3791,92.8193,93.7967,590302
2017-09-14,93.7769,94.8826,93.4612,94.5371,587049
2017-09-15,94.7444,95.8699,94.7345,95.5934,903393
2017-09-18,95.781,97.9924,95.781,97.6469,948158
2017-09-19,97.8443,97.9233,96.8077,97.2421,576253
2017-09-20,97.2125,97.9924,97.094,97.6172,760630
2017-09-21,97.6469,98.0319,97.2816,97.558,494237
2017-09-22,97.4297,97.6165,97.2224,97.4988,421511
2017-09-25,97.5185,97.6567,96.7682,97.6271,557770
2017-09-26,97.6172,97.6172,96.9755,97.3507,580916
2017-09-27,97.8048,98.2935,97.1335,98.1306,745198
2017-09-28,97.943,98.8217,97.8641,98.6538,688425
2017-09-29,98.2984,98.3873,96.9854,97.0841,810078
2017-10-02,97.0841,98.3182,97.0841,98.1504,786548
2017-10-03,98.1701,98.3281,97.3211,97.9924,361610
2017-10-04,98.0516,98.5749,97.7752,98.4367,281236
2017-10-05,98.6242,98.7032,98.1701,98.6144,338292
2017-10-06,98.5354,99.6016,98.407,99.0586,374518
2017-10-09,99.2561,100.1939,99.108,99.4239,311414
2017-10-10,99.8089,99.9471,99.1573,99.5029,314841
2017-10-11,99.72,100.1248,99.1475,99.9175,370353
2017-10-12,99.4634,100.2729,99.3449,99.5127,482941
2017-10-13,99.9965,100.7664,99.9076,100.6382,442456
2017-10-16,100.6974,100.9245,99.8385,100.8751,301672
2017-10-17,101.1318,101.2404,99.6411,100.2828,551463
2017-10-18,100.2926,100.4407,99.1475,99.2264,924188
2017-10-19,99.0389,99.2067,97.2865,97.5284,1163552
2017-10-20,97.8838,98.4564,96.8966,98.4367,1024747
2017-10-23,98.7921,99.1672,97.6715,97.7456,522243
2017-10-24,97.9924,98.3675,97.1138,97.6469,981688
2017-10-25,102.4645,103.1655,99.4041,102.7212,866622
2017-10-26,102.1783,104.36,102.0795,103.5209,815215
2017-10-27,103.7085,104.8833,102.6037,104.7549,692252
2017-10-30,104.7944,104.8339,103.4172,103.975,645661
2017-10-31,103.8269,105.1992,103.7578,104.8142,747552
2017-11-01,105.3473,106.0383,104.2218,105.6632,736409
2017-11-02,105.8211,107.1934,105.2584,107.0552,720435
2017-11-03,107.0157,107.5981,106.6307,106.7096,598231
2017-11-06,106.4924,106.8676,105.1399,105.7027,506225
2017-11-07,105.6138,106.4135,105.4855,105.673,367116
2017-11-08,105.8113,106.8873,105.7323,106.374,615369
2017-11-09,105.7915,106.137,103.8171,104.4094,807380
2017-11-10,104.2514,104.4291,103.511,103.8467,585207
2017-11-13,103.5505,106.6208,103.1754,106.5615,735805
2017-11-14,106.1469,107.2822,105.7323,106.7886,480295
2017-11-15,106.7886,107.1341,105.7076,106.3246,500361
2017-11-16,106.5122,107.1934,106.1864,106.8676,667076
2017-11-17,106.4924,107.2526,105.9396,106.9071,600693
2017-11-20,108.5952,109.8885,108.1707,109.2863,946145
2017-11-21,109.7799,110.4019,108.5952,109.0099,805280
2017-11-22,109.1481,109.6812,108.2793,109.6812,628258
2017-11-24,109.7108,110.3229,109.4837,110.2735,282025
2017-11-27,110.2439,110.8461,109.8885,110.4907,558104
2017-11-28,110.6388,110.7416,110.0267,110.5697,510390
2017-11-29,110.5006,110.8165,110.0169,110.4512,604379
2017-11-30,110.8757,113.329,110.4216,112.6626,1313460
2017-12-01,112.5442,112.8699,109.8395,111.1917,748778
2017-12-04,111.9716,112.1196,110.4512,110.5894,782057
2017-12-05,111.1742,112.8692,111.1742,112.215,902626
2017-12-06,111.9573,112.0762,110.4109,110.53,858431
2017-12-07,110.5795,111.5311,110.5795,111.3626,638605
2017-12-08,111.3725,112.8395,110.9661,112.7304,874416
2017-12-11,112.8494,114.2966,112.5124,113.9695,810220
2017-12-12,113.9893,114.5444,112.6511,113.454,535852
2017-12-13,113.3351,113.6315,112.9287,113.3648,522023
2017-12-14,113.4243,114.019,113.0873,113.2756,640904
2017-12-15,114.6831,115.1094,114.138,114.8913,1076620
2017-12-18,115.5058,115.823,114.5543,115.0994,694210
2017-12-19,115.7239,116.5962,115.2977,116.0708,863825
2017-12-20,115.9717,116.8836,115.5058,115.6545,767562
2017-12-21,115.4761,115.9717,112.8494,113.0179,531280
2017-12-22,113.1567,113.4739,112.334,113.1666,568938
2017-12-26,113.1269,113.8307,112.889,113.8109,271782
2017-12-27,113.8604,114.4745,113.6027,114.1281,374456
2017-12-28,114.6633,114.6633,113.9348,114.5543,276252
2017-12-29,114.5642,114.8051,113.8505,113.8505,351984
2018-01-02,114.138,114.6633,113.7415,114.6633,401841
2018-01-03,114.812,115.149,114.3659,114.9904,640632
2018-01-04,115.3968,116.0907,115.1936,115.7536,534027
2018-01-05,116.051,117.4783,115.7933,117.1215,437081
2018-01-08,117.1017,118.1672,116.9976,117.5576,664478
2018-01-09,117.6766,118.2416,117.4486,117.8649,481834
