date,open,high,low,close,volume
2017-06-08,77.4948,77.7202,76.5249,77.0931,1023470
2017-06-09,77.0246,77.6908,76.8006,77.6516,530804
2017-06-12,77.6712,78.6215,77.632,78.0827,801591
2017-06-13,78.0435,78.6901,77.9651,78.5529,645893
2017-06-14,79.1897,80.0519,78.9056,79.6698,758448
2017-06-15,79.4542,80.4731,79.4542,80.3948,818121
2017-06-16,80.4829,81.2126,80.1694,80.9532,1664882
2017-06-19,81.061,81.1099,79.4934,79.6796,794857
2017-06-20,79.7873,79.8755,79.3073,79.6404,478152
2017-06-21,79.4738,79.5816,78.6313,79.0722,558233
2017-06-22,79.1113,79.709,78.6323,79.4542,582397
2017-06-23,79.2975,79.9098,79.2583,79.4836,1010744
2017-06-26,79.4836,80.336,79.3661,79.562,869919
2017-06-27,79.2877,79.4738,78.1806,78.4451,792246
2017-06-28,78.7978,78.935,77.9847,78.0337,771857
2017-06-29,77.5928,77.7398,76.1526,76.5151,1454657
2017-06-30,76.5151,77.1764,76.2748,76.3682,992953
2017-07-03,76.6621,76.9462,76.2898,76.4857,381774
2017-07-05,76.4857,76.6523,75.9273,76.329,606181
2017-07-06,76.1624,76.5249,75.7999,76.0253,577879
2017-07-07,76.2114,76.6425,75.9567,76.182,659043
2017-07-10,76.4367,76.667,76.2016,76.2898,623027
2017-07-11,76.3682,76.4759,75.7901,76.1722,486956
2017-07-12,76.858,77.5144,76.7601,76.9266,785715
2017-07-13,76.956,77.0246,76.1134,76.182,672010
2017-07-14,76.7405,77.3773,76.5386,77.0442,767985
2017-07-17,77.0442,77.7398,76.7796,77.7104,695878
2017-07-18,77.73,78.308,77.6124,78.0533,692759
2017-07-19,78.21,78.5137,77.9357,78.3962,418333
2017-07-20,78.7293,79.6012,78.5235,79.3563,702677
2017-07-21,79.4347,80.2576,79.2289,80.2576,585156
2017-07-24,80.0323,80.0323,79.2691,79.2877,521048
2017-07-25,79.2877,79.4738,78.837,79.1211,468445
2017-07-26,78.9252,79.8069,78.8076,79.6992,307807
2017-07-27,79.6992,79.7239,78.5627,79.1603,623250
2017-07-28,79.2289,79.5032,78.8664,79.4053,495843
2017-07-31,79.3955,79.709,78.9154,79.4542,776805
2017-08-01,79.0134,79.7286,79.0036,79.4347,772482
2017-08-02,79.4249,80.4437,79.1995,80.336,870789
2017-08-03,79.6012,79.8902,78.1512,79.0134,1203928
2017-08-04,79.0134,79.7286,79.0036,79.4347,772482
2017-08-07,79.6759,80.444,79.4494,80.1486,716737
2017-08-08,79.9319,80.3455,79.7448,80.0698,585675
2017-08-09,80.0402,80.6311,79.7744,80.4341,891377
2017-08-10,80.2273,80.5326,79.9024,80.119,595549
2017-08-11,79.9713,80.0141,79.0259,79.4888,497234
2017-08-14,79.5774,80.1633,79.2081,80.0895,763553
2017-08-15,79.8137,80.6212,79.6759,80.5129,609066
2017-08-16,80.3751,80.9265,80.2667,80.3455,689919
2017-08-17,80.3455,80.7493,80.0205,80.0895,604662
2017-08-18,79.9615,80.7296,79.7399,80.1978,730332
2017-08-21,80.3652,80.8773,80.2766,80.828,526780
