date,open,high,low,close,volume
2017-06-08,59.0321,59.3539,58.8638,59.1608,4531127
2017-06-09,59.2697,59.4578,57.9828,58.3194,3070255
2017-06-12,58.1016,58.191,56.2552,56.577,5791010
2017-06-13,56.8047,57.567,56.6661,57.2997,3731763
2017-06-14,57.5274,58.2006,57.1027,57.3987,2427655
2017-06-15,56.973,57.5175,56.7453,57.3492,3264853
2017-06-16,57.4977,57.765,57.1611,57.3492,6522815
2017-06-19,57.6363,59.1211,57.6363,58.9529,4703699
2017-06-20,59.0816,59.5172,59.0816,59.2796,3074915
2017-06-21,59.4281,59.8637,59.3291,59.4479,2410977
2017-06-22,59.3984,60.3785,59.3093,60.0716,3070521
2017-06-23,60.0716,60.8933,59.8439,60.7646,3900607
2017-06-26,60.7646,60.9032,60.3488,60.3686,1911293
2017-06-27,60.3092,60.4577,59.9825,60.0815,2547013
2017-06-28,60.329,60.631,60.1607,60.2597,2152472
2017-06-29,60.2003,60.2003,59.1311,59.5568,2062070
2017-06-30,59.8043,60.1508,59.6608,59.933,2428594
2017-07-03,60.1706,60.2696,59.5568,59.636,1354628
2017-07-05,59.8043,60.2498,59.6162,60.1013,1782850
2017-07-06,59.834,60.0617,59.4034,59.5568,3123112
2017-07-07,59.7746,60.2201,59.6271,60.1112,2561763
2017-07-10,60.0122,60.1112,59.6558,59.9429,1542585
2017-07-11,60.725,60.7745,59.7449,60.0221,2593155
2017-07-12,60.1805,60.824,60.1211,60.6656,1505472
2017-07-13,60.7448,60.8042,60.1805,60.6854,1736190
2017-07-14,60.6656,61.6259,60.5963,61.4873,1951282
2017-07-17,61.4774,61.7546,61.2843,61.5764,2729993
2017-07-18,61.7546,61.8635,61.3388,61.517,2239547
2017-07-19,61.715,61.8833,61.4873,61.8239,3049260
2017-07-20,61.8833,62.4476,61.6358,62.408,2394372
2017-07-21,62.2595,62.507,61.9674,62.0417,2798820
2017-07-24,62.1902,62.2496,61.8437,62.1011,1669175
2017-07-25,62.3486,62.3783,61.0616,61.4675,3074388
2017-07-26,60.4379,61.1012,59.5271,60.6062,4118951
2017-07-27,61.022,61.022,59.2796,59.7746,3414619
2017-07-28,59.7944,60.23,59.5469,60.1211,2054427
2017-07-31,60.1706,60.428,59.7548,59.8736,2042553
2017-08-01,59.1608,59.537,58.8539,59.2796,1594201
2017-08-02,60.0815,60.0815,58.6759,58.9034,3537302
2017-08-03,58.5075,59.1905,58.2204,58.9925,2017949
2017-08-04,59.1608,59.537,58.8539,59.2796,1594211
2017-08-07,59.24,59.3093,58.8886,59.1311,1858594
2017-08-08,59.0618,59.3935,58.7649,59.1212,1969647
2017-08-09,59.1212,59.4974,58.9034,59.4182,2196822
2017-08-10,59.0618,59.3786,58.8292,59.1113,2939189
2017-08-11,59.0222,59.7664,59.0222,59.24,2213852
2017-08-14,59.4677,59.9726,59.4578,59.6261,1976379
2017-08-15,59.5865,60.3389,59.5271,60.1904,2161235
2017-08-16,60.3884,60.9131,60.2003,60.7448,2965533
2017-08-17,60.4181,60.8636,60.1607,60.2102,2608655
2017-08-18,60.1112,60.6557,60.0122,60.2597,2308236
2017-08-21,60.1805,60.5369,59.9231,60.4973,1677830
2017-08-22,60.4082,61.5863,60.4082,61.5269,1789698
2017-08-23,61.3784,61.4477,60.7002,60.8339,2734197
2017-08-24,61.0715,61.2101,60.8439,60.8933,2286060
2017-08-25,61.1705,61.1705,60.8339,60.8933,2389377
2017-08-28,61.022,61.1903,60.923,61.022,2386411
2017-08-29,60.8042,61.0022,60.5864,60.7943,1562198
2017-08-30,60.8439,61.2508,60.834,61.0226,1918743
2017-08-31,61.3203,61.6677,61.1516,61.5784,3532667
2017-09-01,61.6479,62.035,61.4692,61.767,2214954
2017-09-05,61.5288,61.9754,61.37,61.7174,1772902
2017-09-06,61.8365,62.2136,61.7174,62.0647,1498231
2017-09-07,62.1739,62.5312,61.8861,62.3724,1724599
2017-09-08,62.4618,63.9208,62.2633,62.8092,2582962
2017-09-11,63.1566,63.8414,63.097,63.8017,2711586
2017-09-12,63.9208,64.0796,63.3551,63.6727,1840816
2017-09-13,63.6727,64.2682,63.5635,64.1293,2482463
2017-09-14,63.8811,64.2583,63.7025,63.8414,1864464
2017-09-15,63.633,63.8514,63.4047,63.4841,4525594
2017-09-18,63.5933,63.8315,63.4543,63.8315,1547262
2017-09-19,63.8017,63.8712,63.4444,63.5437,1825497
2017-09-20,63.6727,64.0251,63.5834,63.8017,1680051
2017-09-21,63.7322,63.8397,62.8786,62.9084,1595016
2017-09-22,63.0077,63.2757,62.8687,63.0375,2352331
2017-09-25,63.0375,63.0759,62.1044,62.293,1678990
2017-09-26,62.3923,62.4121,61.9605,62.0548,1302183
2017-09-27,62.1541,62.3923,61.4791,61.9953,2310889
2017-09-28,61.8166,62.0647,61.3997,61.8762,1529146
2017-09-29,61.8265,62.298,61.6876,62.2831,1579139
2017-10-02,62.4518,62.9283,62.432,62.6901,1811629
2017-10-03,62.5015,62.6494,61.9853,62.1541,1649398
2017-10-04,62.2732,62.5412,62.1442,62.432,1902900
2017-10-05,62.2732,62.4221,62.0846,62.2434,1792311
2017-10-06,62.1541,62.6206,61.9556,62.4419,2513096
2017-10-09,62.5809,62.5809,60.6553,60.9928,2610212
2017-10-10,60.9134,61.3005,60.3278,61.2508,2264863
2017-10-11,61.2707,61.6975,61.1615,61.5486,2280863
2017-10-12,61.5486,62.1144,61.4097,62.0647,1459995
2017-10-13,62.1243,62.4022,61.8265,62.3526,2837203
2017-10-16,62.432,63.236,62.432,63.1764,2715212
2017-10-17,63.1169,63.7025,62.8588,63.4444,2484361
2017-10-18,63.4246,63.6314,63.0672,63.365,1340081
2017-10-19,63.4643,63.5834,62.3427,62.9978,3306696
2017-10-20,63.236,63.4345,62.9283,63.1169,2738550
2017-10-23,63.2757,64.1888,63.236,63.6429,1798895
2017-10-24,63.6628,63.9109,63.0275,63.8712,4001527
2017-10-25,62.7695,64.5164,62.0557,63.901,2476435
2017-10-26,64.0499,64.9382,63.7322,64.4469,2265084
2017-10-27,64.4568,65.2112,64.27,65.1913,2460524
2017-10-30,64.8836,64.9332,63.762,64.0896,2891495
2017-10-31,64.3377,64.4667,63.7223,63.9903,2679341
2017-11-01,64.1193,64.3774,63.7124,63.7223,1848713
2017-11-02,63.5635,63.9308,63.2856,63.5933,1775002
2017-11-03,63.4047,64.6156,63.3054,64.4171,1629260
2017-11-06,64.6156,64.6851,63.8414,63.8811,2179597
2017-11-07,63.9605,64.4767,63.7223,63.8414,2234157
2017-11-08,63.7719,64.6653,63.6131,64.5263,1887408
2017-11-09,64.4568,64.9184,64.2186,64.9035,1626692
2017-11-10,63.5337,63.7322,63.2856,63.4047,2527670
2017-11-13,63.2161,64.1342,62.8687,63.9308,1658095
2017-11-14,63.5834,64.0995,63.1367,63.9804,2304808
2017-11-15,63.9308,64.3278,63.6628,63.9407,2508135
2017-11-16,64.0896,64.8042,63.8514,64.5064,2557634
2017-11-17,64.1789,64.3873,62.5511,63.4047,4883430
2017-11-20,63.5337,63.7322,63.2856,63.4047,2582436
2017-11-21,63.7322,64.0896,63.5238,63.7719,2952948
2017-11-22,63.8315,64.1293,63.3451,63.5635,1553441
2017-11-24,63.6032,63.8414,63.3849,63.6429,692491
2017-11-27,63.762,64.298,63.5337,64.2583,2563101
2017-11-28,64.3774,65.6876,63.8216,65.5586,5399742
2017-11-29,65.5089,65.5089,64.1789,64.695,4770114
2017-11-30,64.8642,65.5209,64.307,65.2025,4236413
2017-12-01,65.1129,65.5905,64.1975,65.1627,2598411
2017-12-04,65.2721,65.3915,63.9189,63.9289,2945918
2017-12-05,63.8194,64.4761,63.5757,63.7,2562419
2017-12-06,63.6801,63.6801,63.0757,63.4015,2387066
2017-12-07,63.2523,63.4015,62.8941,63.2025,2794419
2017-12-08,63.4015,63.7597,63.3319,63.7299,1723883
2017-12-11,63.5806,64.0284,63.4015,63.8194,1805376
