date,open,high,low,close,volume
2017-06-20,43.0247,43.0539,42.6842,42.7523,3359923
2017-06-21,42.762,42.8107,42.3535,42.4605,2628602
2017-06-22,42.334,42.441,42.0325,42.1589,3216858
2017-06-23,42.3632,42.5578,41.8282,41.9936,4055490
2017-06-26,42.0909,42.5967,41.9352,42.2659,3283179
2017-06-27,42.5383,43.0441,42.3535,42.6259,3116557
2017-06-28,42.9566,43.6083,42.942,43.5597,4462059
2017-06-29,44.5714,45.2328,43.764,44.3671,5906797
2017-06-30,44.6005,44.6735,43.9293,44.1725,3806816
2017-07-03,44.4741,45.0188,44.4157,44.8632,2771224
2017-07-05,44.941,45.0286,44.5714,44.8826,3587088
2017-07-06,44.8826,44.9702,44.2795,44.2893,3914050
2017-07-07,44.4449,44.4644,43.9926,44.2309,4054433
2017-07-10,44.1142,44.3282,43.9391,44.1142,2493747
2017-07-11,44.192,44.3136,43.9683,44.1434,2803761
2017-07-12,44.0072,44.3184,43.871,44.192,2548698
2017-07-13,44.2406,44.3282,44.0072,44.3184,2293832
2017-07-14,43.8029,43.9293,43.3749,43.5889,6048133
2017-07-17,43.55,43.9002,43.3457,43.6862,2344605
2017-07-18,43.3943,43.6181,43.1949,43.3943,3142841
2017-07-19,43.55,43.7445,43.1511,43.5402,3374501
2017-07-20,44.0266,45.262,43.7932,44.9994,6200820
2017-07-21,44.9021,45.8554,44.9021,45.0188,5931961
2017-07-24,44.9896,45.4371,44.9896,45.3204,4245317
2017-07-25,46.1375,46.3515,45.8748,45.9235,6146321
2017-07-26,45.9235,46.0791,45.3982,45.476,5645966
2017-07-27,45.4663,45.9478,45.3107,45.6025,6262527
2017-07-28,45.5344,45.8068,45.3885,45.6025,3667873
2017-07-31,45.7095,46.2688,45.7095,46.0305,3973583
2017-08-01,46.9935,47.0811,46.799,46.8379,2959354
2017-08-02,46.4293,46.6822,46.3126,46.6239,3371129
2017-08-03,46.5071,46.6822,46.3418,46.5363,2861420
2017-08-04,46.8865,47.3048,46.7503,47.0421,4518130
2017-08-07,46.9935,47.0811,46.799,46.8476,3223687
2017-08-08,46.7017,47.5674,46.7017,46.9351,3312782
2017-08-09,46.6805,46.847,46.4748,46.7099,4355587
2017-08-10,46.3181,46.4748,45.701,45.7206,5226431
2017-08-11,45.9165,46.0634,45.2113,45.3582,4575041
2017-08-14,45.7696,46.1712,45.75,45.8969,3209662
2017-08-15,46.3181,46.5042,45.9753,46.0242,3315812
2017-08-16,46.0732,46.2887,45.7402,45.8577,3612848
2017-08-17,45.7696,45.8969,45.1819,45.2113,4648582
2017-08-18,45.0056,45.5149,44.9468,45.1721,4394869
2017-08-21,45.1917,45.1917,44.9371,44.9371,5089862
2017-08-22,45.1231,45.2554,45.035,45.1819,3875049
2017-08-23,44.8783,45.4268,44.7901,45.2015,3294738
2017-08-24,45.2113,45.3778,45.0742,45.2015,3775094
2017-08-25,45.3778,45.4757,45.2015,45.2015,3530190
2017-08-28,45.368,45.3778,45.1036,45.1917,3320504
2017-08-29,44.7412,45.2522,44.5649,45.1231,5024094
2017-08-30,45.1525,45.5345,45.0448,45.3484,4387524
2017-08-31,45.6325,45.6325,45.1134,45.1427,4276801
2017-09-01,45.0938,45.559,45.084,45.3386,3076398
2017-09-05,45.1036,45.2113,44.3494,44.4473,5577943
2017-09-06,44.7314,44.751,43.9674,44.1437,3991546
2017-09-07,44.1143,44.1241,42.6843,42.7627,5292980
2017-09-08,42.7431,43.4189,42.6647,43.0663,6016664
2017-09-11,43.5756,43.8988,43.3601,43.7617,4031371
2017-09-12,43.8695,44.2221,42.1456,43.8695,5956249
2017-09-13,43.6834,44.0017,43.6834,43.7911,4703745
2017-09-14,43.7323,43.8156,43.0369,43.1643,4434681
2017-09-15,43.1349,43.3797,42.9782,43.2328,7616071
2017-09-18,43.3014,43.5854,43.2328,43.3308,4485479
2017-09-19,43.3308,43.889,43.272,43.7323,5940526
2017-09-20,43.7911,44.1241,43.3895,43.938,4183466
2017-09-21,43.987,44.4571,43.8792,44.3102,3360373
2017-09-22,44.1633,44.3298,43.7323,44.2906,2953007
2017-09-25,44.2123,44.5649,44.1045,44.3984,3237459
2017-09-26,44.3984,44.5159,44.2123,44.2612,2815987
2017-09-27,44.9664,45.4953,44.6824,45.1329,4779344
2017-09-28,45.1721,45.368,44.9371,45.3484,3075449
2017-09-29,45.368,46.2201,45.2897,45.9753,4126272
2017-10-02,45.9949,46.2103,45.701,46.1907,2737693
2017-10-03,46.1026,46.2691,45.7402,45.9165,2046779
2017-10-04,45.7892,45.8969,45.3386,45.417,2791896
2017-10-05,45.7794,46.749,45.5051,46.6413,4513672
2017-10-06,46.7686,47.1114,46.465,46.7099,3154339
2017-10-09,46.8176,46.8176,46.367,46.5042,2009500
2017-10-10,46.5238,46.847,46.465,46.7294,1928764
2017-10-11,46.5531,46.6119,46.2495,46.3768,2568402
2017-10-12,46.465,46.6413,45.8039,45.8871,2602845
2017-10-13,45.8088,46.2103,45.4072,45.7402,2842139
2017-10-16,45.8479,46.1026,45.7745,46.0634,2537891
2017-10-17,46.2201,46.2201,45.5345,45.5639,3007873
2017-10-18,45.799,45.8871,45.5345,45.5835,4247060
2017-10-19,43.7029,45.9998,43.7029,45.7794,5188136
2017-10-20,46.3279,46.9645,46.2593,46.5238,5140316
2017-10-23,46.4552,46.6119,46.2593,46.4356,3911046
2017-10-24,46.7294,46.9449,46.514,46.6021,4044522
2017-10-25,46.8176,46.8666,46.3768,46.7931,4251063
2017-10-26,47.0135,47.7089,46.9253,47.6207,4109701
2017-10-27,47.3563,47.9195,47.2877,47.7383,3630589
2017-10-30,47.8264,48.3553,47.6795,48.1007,7080032
2017-10-31,48.0713,48.5022,48.0027,48.228,5214212
2017-11-01,48.3357,48.8842,48.3357,48.5316,7689784
2017-11-02,48.4337,48.7177,47.895,48.5708,6312437
