date,open,high,low,close,volume
2017-06-20,54.5625,54.6992,53.5568,53.6349,2352834
2017-06-21,53.8106,54.1719,53.4786,53.8692,2029455
2017-06-22,53.8302,54.3574,53.3615,53.918,2178409
2017-06-23,53.6935,54.1524,53.5372,53.879,4088402
2017-06-26,54.3574,55.2069,54.3086,54.9628,4116978
2017-06-27,55.0507,55.7732,54.7578,54.8554,2455340
2017-06-28,55.1874,55.9978,55.0626,55.4315,2434681
2017-06-29,55.5194,55.9783,55.0312,55.9099,3980310
2017-06-30,56.2419,56.7008,55.9685,55.9783,2981517
2017-07-03,56.5055,57.9653,56.486,57.8237,2795698
2017-07-05,57.7261,58.2826,56.7008,56.7789,3588547
2017-07-06,56.6325,56.7789,55.9685,56.0662,1895444
2017-07-07,56.1638,56.7106,55.988,56.5055,2509550
2017-07-10,53.879,54.1989,51.848,52.9514,11380236
2017-07-11,53.0393,53.3712,51.7797,52.4241,5179032
2017-07-12,52.8244,52.8928,51.7601,52.0433,3989718
2017-07-13,52.4241,53.6056,52.3362,53.3712,4392854
2017-07-14,53.7325,55.1386,53.7032,53.9571,3585854
2017-07-17,53.8302,55.0116,53.7716,54.6796,2895415
2017-07-18,54.6699,55.1971,54.3769,54.4746,2285354
2017-07-19,54.8066,55.1776,54.6503,54.8456,2094719
2017-07-20,54.7187,54.8554,51.7211,52.6877,8002039
2017-07-21,51.9847,53.215,51.9053,52.8635,4666534
2017-07-24,52.7268,53.9669,52.7268,53.5079,3322804
2017-07-25,53.9473,54.6015,53.6739,54.0157,3468286
2017-07-26,54.1426,54.5527,53.7227,54.2598,2128807
2017-07-27,54.0938,55.7928,53.9278,55.7049,3249307
2017-07-28,55.8123,56.4274,55.7049,56.281,2519800
2017-07-31,56.32,57.3941,56.32,56.9645,3040346
2017-08-01,58.4682,59.0345,58.3803,58.8587,2006892
2017-08-02,58.1069,58.683,56.8864,57.9799,3763410
2017-08-03,58.0092,59.0833,57.9159,58.2826,2213424
2017-08-04,58.4682,59.0345,58.3803,58.8587,2006992
2017-08-07,59.0638,60.3267,58.9271,60.3038,3529149
2017-08-08,60.3624,60.8868,59.9328,60.0304,2467902
2017-08-09,59.7668,60.4308,59.2796,59.6301,2573066
2017-08-10,59.2688,59.2688,58.351,58.3705,2760155
2017-08-11,58.3608,59.1269,58.3608,58.6537,2186249
2017-08-14,59.1517,59.4543,58.888,59.2786,2284106
2017-08-15,59.1419,59.22,57.5406,57.5796,3282519
2017-08-16,58.3608,59.4739,57.7847,59.2395,2821193
2017-08-17,58.9661,59.4251,58.722,58.7318,2253401
2017-08-18,58.6537,58.7416,57.9799,58.0678,3133468
2017-08-21,58.0678,59.2395,58.019,59.0247,3077446
2017-08-22,59.5813,60.3722,59.5227,60.3331,2890384
2017-08-23,60.0793,60.8702,59.9276,60.6358,4123201
2017-08-24,61.1826,61.8271,59.8351,60.3429,3628298
2017-08-25,60.3917,60.9092,60.0304,60.4112,2252557
2017-08-28,60.9776,61.3193,60.1974,60.9971,5878297
2017-08-29,56.7985,57.4624,53.4591,53.7227,34926055
2017-08-30,54.0352,54.0938,52.1898,52.9123,14220881
2017-08-31,53.1174,53.176,52.4046,52.9807,8395717
2017-09-01,53.1564,53.5768,52.6194,53.1955,5804821
2017-09-05,53.0197,53.9864,52.9621,53.9571,5397396
2017-09-06,53.8985,54.4355,53.4103,54.3477,5012623
2017-09-07,54.3477,54.8163,54.0254,54.6894,5303254
2017-09-08,54.7089,54.809,53.9473,54.1914,4250814
2017-09-11,54.4941,54.6699,54.0352,54.6406,3535311
2017-09-12,54.7968,55.7439,54.6894,55.451,3532378
2017-09-13,55.451,57.2574,55.3045,57.2183,5695652
2017-09-14,56.9156,57.15,56.3493,57.0035,3714288
