date,open,high,low,close,volume
2017-06-20,49.2616,49.4385,48.9865,48.9865,3855386
2017-06-21,49.1241,49.1241,48.6721,48.7212,3285692
2017-06-22,48.6328,48.8686,48.4265,48.6819,2636468
2017-06-23,48.8391,48.8391,48.1514,48.3086,5800657
2017-06-26,48.4854,48.7704,48.3184,48.6819,3301575
2017-06-27,48.957,49.1339,48.7605,48.8097,3653977
2017-06-28,49.1142,49.8806,49.0848,49.7135,4606691
2017-06-29,50.6371,50.6862,49.6644,50.1164,5053290
2017-06-30,50.529,50.529,49.9493,50.1262,3461715
2017-07-03,50.4111,51.1529,50.362,50.922,2583968
2017-07-05,51.1185,51.4231,50.7157,51.3543,3957736
2017-07-06,51.2855,51.315,50.303,50.3325,5161174
2017-07-07,50.5192,50.9417,50.3325,50.8434,3130383
2017-07-10,50.7648,51.1676,50.7059,50.9711,2310538
2017-07-11,50.9711,51.0399,50.5487,50.5683,3141981
2017-07-12,50.3129,50.5585,50.2441,50.5487,3053699
2017-07-13,50.6469,51.1676,50.529,51.148,2784774
2017-07-14,50.7845,51.5803,50.696,51.4427,3938380
2017-07-17,51.9536,52.5971,51.4673,52.4154,6866558
2017-07-18,51.9831,52.602,51.8947,52.5922,6322990
2017-07-19,52.3662,52.6806,51.6982,52.1305,9438452
2017-07-20,52.6217,53.6336,52.3269,52.9656,7372939
2017-07-21,52.8084,53.0835,52.2877,52.4252,5665977
2017-07-24,52.4154,52.6512,52.3564,52.5333,3947216
2017-07-25,53.2407,53.4568,52.7298,52.7887,3639077
2017-07-26,52.7887,53.1228,52.3024,52.4547,3498320
2017-07-27,52.4448,52.5333,51.4673,51.934,3618072
2017-07-28,52.0326,52.2695,51.6625,51.9734,2255222
2017-07-31,52.2103,52.4866,52.1708,52.3386,3620892
2017-08-01,53.2367,53.5772,53.1676,53.3157,3150929
2017-08-02,52.9209,53.2269,52.8617,53.2071,4388080
2017-08-03,53.1183,53.2466,52.9703,53.1183,2849092
2017-08-04,53.2367,53.5772,53.1676,53.3157,3150929
2017-08-07,53.3157,53.3256,52.9012,53.0097,3025905
2017-08-08,52.911,53.3848,52.8716,53.0887,3007865
2017-08-09,52.8814,53.3897,52.7827,53.3354,4394208
2017-08-10,52.8321,52.9999,51.2332,51.2727,8383067
2017-08-11,51.3714,51.9932,51.3615,51.5095,5932583
2017-08-14,52.0129,52.4422,51.9734,52.1412,5113992
2017-08-15,52.6051,52.8419,52.2646,52.457,3827640
2017-08-16,52.684,52.7334,51.9882,52.1906,4273378
2017-08-17,52.003,52.1017,51.095,51.1246,5241576
2017-08-18,50.8878,51.7908,50.7397,51.4207,5424014
2017-08-21,51.3615,51.6823,51.2184,51.5095,3968483
2017-08-22,51.5984,52.1017,51.5984,51.9734,4142293
