date,open,high,low,close,volume
2017-06-20,41.3339,41.6705,41.136,41.3636,2185964
2017-06-21,41.3339,41.7892,41.1756,41.3537,1799117
2017-06-22,41.3537,41.5517,41.2449,41.2449,2212397
2017-06-23,41.3141,41.8684,41.0964,41.6408,5109925
2017-06-26,41.6606,42.0268,41.621,41.8585,1865079
2017-06-27,41.8486,41.9872,41.4725,41.6606,2346682
2017-06-28,41.7793,42.294,41.72,42.0862,2543633
2017-06-29,42.1159,42.1555,41.3834,41.6012,1632154
2017-06-30,41.6705,41.9773,41.6705,41.7793,1695457
2017-07-03,42.007,42.3237,41.9377,42.0367,931003
2017-07-05,42.0763,42.4326,41.9674,42.1456,2580489
2017-07-06,41.9971,42.1555,41.5517,41.5913,2025909
2017-07-07,41.7002,41.9476,41.5814,41.8684,1826210
2017-07-10,41.6903,41.9476,41.6012,41.7299,2096804
2017-07-11,41.7694,41.7694,41.1558,41.235,3314342
2017-07-12,41.4131,41.6408,41.2251,41.5319,1930691
2017-07-13,41.6012,41.6606,41.2251,41.2943,1303081
2017-07-14,41.4428,41.8684,41.4428,41.6705,2168719
2017-07-17,41.6408,42.007,41.5016,41.9971,1802377
2017-07-18,41.9476,42.0466,41.8288,41.9872,1287825
2017-07-19,42.0664,42.1852,41.8288,42.0961,1223430
2017-07-20,42.0664,42.2149,41.7595,41.9872,1435907
2017-07-21,41.8981,42.5167,41.8387,42.4821,1477708
2017-07-24,42.4227,42.5415,42.1456,42.2445,1372665
2017-07-25,42.5118,42.6207,42.007,42.0763,1690309
2017-07-26,42.1159,42.2346,41.908,41.9773,1335037
2017-07-27,41.9971,42.0169,41.5863,41.8585,1692838
2017-07-28,41.8684,41.9377,41.3943,41.4626,1659901
2017-07-31,41.5715,41.5913,41.0766,41.4725,2683184
2017-08-01,40.1561,40.3887,39.7206,40.1462,2918937
2017-08-02,41.423,41.611,41.1558,41.4527,2376979
2017-08-03,41.3735,41.6606,39.7503,40.1957,4254534
2017-08-04,40.1561,40.3887,39.7206,40.1462,2918937
2017-08-07,40.2847,41.0073,40.2847,40.75,3441928
2017-08-08,40.6312,40.839,40.5223,40.6708,3614112
2017-08-09,40.4728,40.8687,39.6909,39.869,3598641
2017-08-10,39.8096,40.0373,39.582,39.6414,2081476
2017-08-11,39.4929,39.9284,39.4929,39.7503,1659275
2017-08-14,40.067,40.4332,40.067,40.2254,1395892
2017-08-15,40.0868,40.1858,39.7997,39.9086,1938911
2017-08-16,40.1264,40.4629,40.0967,40.4035,1226983
2017-08-17,40.1858,40.3837,39.78,39.8591,3943525
2017-08-18,39.78,39.9037,39.5028,39.7107,2245830
2017-08-21,39.6612,39.7503,39.0722,39.1861,2373907
2017-08-22,39.2158,39.4682,39.2158,39.3543,1350518
2017-08-23,39.1762,39.2851,38.8693,38.9881,1783524
2017-08-24,39.1267,39.1465,38.5427,38.81,1653095
2017-08-25,38.9881,38.998,38.6466,38.899,1598992
2017-08-28,38.9287,38.9584,38.6219,38.6813,1666361
2017-08-29,38.5526,38.6813,38.3942,38.6615,1843668
2017-08-30,38.6119,39.2966,38.592,39.2073,1640681
2017-08-31,39.4157,40.1301,39.4157,39.6836,2097198
2017-09-01,39.9019,40.0309,39.7183,39.8424,1535429
2017-09-05,39.8126,39.9317,39.4752,39.6836,3402970
2017-09-06,39.7828,39.8672,39.3164,39.6935,2168295
2017-09-07,39.7233,39.9515,39.237,39.9515,2257596
2017-09-08,39.9416,40.0507,39.7729,39.9714,1970140
2017-09-11,40.2393,40.8446,40.1053,40.6263,2671595
2017-09-12,40.6362,40.7553,40.3782,40.408,1443622
2017-09-13,40.3484,40.4179,39.9416,40.0507,1648667
2017-09-14,39.9614,40.2393,39.7927,40.1004,1976327
2017-09-15,40.021,40.2294,39.9614,40.2194,2115281
2017-09-18,40.4179,40.537,40.2988,40.4675,1538903
2017-09-19,40.7553,40.7553,40.0061,40.2988,1560625
2017-09-20,40.3484,40.6213,40.2987,40.4675,1543872
2017-09-21,40.3981,40.5816,40.2591,40.4874,1254731
2017-09-22,40.4775,40.8248,40.3683,40.6858,1748024
2017-09-25,40.7454,40.7454,40.279,40.4973,2465968
2017-09-26,40.5965,40.7255,40.4278,40.6561,1713490
2017-09-27,40.6759,40.9042,40.3782,40.6759,3171633
2017-09-28,40.537,41.1721,40.537,41.1026,1949885
2017-09-29,41.053,41.0828,40.6958,40.9835,3090377
2017-10-02,41.0332,41.1175,40.6759,41.0431,2417396
