date,open,high,low,close,volume
2017-06-20,53.8564,54.9672,53.6908,54.2364,7461055
2017-06-21,54.3241,55.1329,54.178,54.6359,8783585
2017-06-22,54.8308,56.4191,54.7139,55.8637,8289648
2017-06-23,55.8053,55.8929,54.8016,55.1914,20794767
2017-06-26,55.2693,55.8053,54.9088,55.4642,5596327
2017-06-27,55.3473,55.4057,54.424,54.4703,5477476
2017-06-28,54.7139,54.938,54.3436,54.4411,5126889
2017-06-29,54.48,54.6944,54.0708,54.3923,5037800
2017-06-30,54.558,54.6359,54.2559,54.2949,4679652
2017-07-03,54.8308,55.4252,54.7431,54.8308,6257560
2017-07-05,55.2135,55.3313,54.507,55.292,5887394
2017-07-06,55.0467,55.1546,54.1636,54.2421,5546105
2017-07-07,54.4678,54.9437,54.0409,54.8603,5487495
2017-07-10,55.0467,55.2626,54.772,54.8799,4050817
2017-07-11,54.7621,55.0467,54.0606,54.2912,4630317
2017-07-12,54.5953,55.1841,53.8202,54.0066,9080986
2017-07-13,54.0262,54.144,53.202,53.6436,8130932
2017-07-14,53.7809,54.4079,53.4767,54.1145,6042860
2017-07-17,54.2421,54.4874,53.5552,53.7613,3719657
2017-07-18,53.7417,53.7907,53.4007,53.7122,3702019
2017-07-19,53.7417,54.1587,53.5847,54.036,3321722
2017-07-20,54.2421,54.6738,54.144,54.3991,3862419
2017-07-21,54.3697,54.7229,54.3402,54.6052,5009128
2017-07-24,54.6052,54.8897,54.1145,54.5561,6700926
2017-07-25,54.8112,55.1252,54.7229,54.8995,7312939
2017-07-26,54.8995,55.0909,54.458,54.929,8049264
2017-07-27,52.3287,53.4179,51.0826,53.2216,21645111
2017-07-28,53.2216,54.5463,52.9273,54.2323,9099647
2017-07-31,54.5463,56.1261,54.458,55.8317,10824270
2017-08-01,56.077,56.0966,54.6199,55.0565,11075279
2017-08-02,55.2331,55.3901,54.0655,54.193,6294198
2017-08-03,54.0655,54.8308,54.0459,54.458,5484412
2017-08-04,54.5168,55.1645,54.478,54.8995,4161468
2017-08-07,54.9486,55.292,54.5267,55.243,5126033
2017-08-08,55.292,56.4891,55.2454,55.8415,7887217
2017-08-09,55.7237,56.4793,55.449,56.3223,7675555
2017-08-10,56.1751,56.1751,55.4883,55.5275,5134568
2017-08-11,55.5471,55.9396,55.3509,55.6649,4060530
2017-08-14,55.8906,56.6755,55.6354,56.5382,5654336
2017-08-15,56.5774,56.906,56.4204,56.7835,5843318
2017-08-16,56.2536,56.6069,55.8709,56.4204,7881340
2017-08-17,56.4008,56.4499,55.6649,55.7041,4393721
2017-08-18,55.6158,55.8709,55.3509,55.3607,4809885
