date,open,high,low,close,volume
2017-06-20,74.8656,75.0787,74.5012,74.511,282257
2017-06-21,74.777,75.0571,74.4125,74.777,461912
2017-06-22,74.8459,75.1906,74.117,75.0626,386590
2017-06-23,75.2103,75.8604,75.1315,75.2891,478700
2017-06-26,75.4566,75.6388,75.0429,75.3778,247964
2017-06-27,75.1118,75.2103,74.4322,74.4421,319970
2017-06-28,74.7179,75.1414,74.2943,74.8755,287942
2017-06-29,74.8065,75.0035,73.3192,73.9496,413056
2017-06-30,74.1958,74.9247,73.9989,74.4224,361283
2017-07-03,74.5997,75.0084,73.9693,74.0776,191633
2017-07-05,74.1466,75.1611,74.117,74.4815,319432
2017-07-06,74.0776,74.1564,73.2503,73.3685,434597
2017-07-07,73.3685,74.2451,73.1813,74.0973,310334
2017-07-10,73.9792,74.2943,73.5458,73.6443,487656
2017-07-11,73.6344,73.6344,72.7972,73.398,345004
2017-07-12,73.9693,74.5406,73.9693,74.186,291117
2017-07-13,74.3337,74.4815,73.5359,73.6935,330060
2017-07-14,73.8708,74.3928,73.8708,74.0776,269969
2017-07-17,74.1466,74.3042,73.3488,73.6738,319626
2017-07-18,73.4867,73.861,73.1616,73.4867,316948
2017-07-19,73.8511,74.4224,73.3212,74.3928,343656
2017-07-20,74.4913,74.5898,73.9989,74.117,294309
2017-07-21,73.8019,74.2943,73.7034,74.1269,336358
2017-07-24,74.1466,74.9247,73.9693,74.8459,335619
2017-07-25,74.9444,75.7127,74.7179,75.5058,649646
2017-07-26,75.496,75.7127,74.9149,74.9345,284561
2017-07-27,75.23,75.2891,73.8905,74.3633,444733
2017-07-28,74.4125,74.6095,74.1367,74.3239,376100
2017-07-31,74.5406,74.9444,74.0678,74.7179,355047
2017-08-01,75.3088,75.3088,74.1663,74.5209,328502
2017-08-02,75.1512,75.1512,74.3633,74.5701,322012
2017-08-03,74.5603,75.1906,74.314,75.1906,363079
2017-08-04,75.3088,75.3088,74.1663,74.5209,328502
2017-08-07,74.6095,74.9542,74.09,74.4618,322701
2017-08-08,74.3239,74.4618,73.664,73.9299,360747
2017-08-09,73.6541,74.0579,73.2404,73.5261,659757
2017-08-10,71.8615,72.5411,70.5023,71.1918,1124962
2017-08-11,70.7584,73.2503,70.7584,73.1518,785625
2017-08-14,73.9496,74.6785,73.2404,74.5898,443653
2017-08-15,74.6686,75.2103,74.4224,74.9345,331170
2017-08-16,74.9542,76.2544,74.7474,75.9293,428761
2017-08-17,75.9293,76.4661,75.2596,75.3088,584849
2017-08-18,75.1611,75.7816,74.7474,75.1512,614791
2017-08-21,75.0527,75.6831,74.9136,75.2497,455844
2017-08-22,75.4664,75.7816,75.0626,75.7324,442680
2017-08-23,75.496,76.2051,75.1217,75.8013,473413
2017-08-24,76.0672,76.1263,75.3975,75.4369,493001
2017-08-25,75.7225,75.9983,75.3482,75.7127,550510
2017-08-28,75.8899,76.0574,75.4664,75.7521,320409
2017-08-29,75.496,75.9884,75.299,75.624,403854
2017-08-30,75.5748,75.7422,75.1414,75.6043,336727
2017-08-31,75.7619,77.062,75.5551,76.9537,664344
2017-09-01,76.9635,77.0718,76.3085,76.8355,299088
2017-09-05,76.5794,77.259,76.4021,77.1211,689072
2017-09-06,77.328,77.4856,76.6779,77.3575,455070
2017-09-07,77.5447,78.2932,77.5447,77.8795,435160
2017-09-08,77.7515,78.175,77.3575,77.8894,420424
2017-09-11,78.3228,78.9531,77.8598,78.9531,495815
2017-09-12,79.1009,79.2683,78.1258,79.2683,383407
2017-09-13,78.9925,79.1797,78.0174,78.3523,483727
2017-09-14,78.3176,78.5353,77.7042,78.4661,409248
2017-09-15,78.3869,78.6937,78.0505,78.3275,820749
2017-09-18,78.476,78.664,77.9713,77.9911,369509
2017-09-19,78.1395,78.3671,77.6151,78.2781,487796
2017-09-20,78.3374,78.9113,78.3176,78.852,261442
2017-09-21,78.8025,79.04,78.4364,79.0301,346292
2017-09-22,78.9311,80.0789,78.8322,80.0789,340427
2017-09-25,80.0492,80.8705,79.8909,80.7023,488213
2017-09-26,81.0189,81.1525,80.4648,80.4846,352275
2017-09-27,80.7815,80.9893,80.168,80.3263,529291
2017-09-28,80.3065,80.5341,79.4556,79.7722,376156
2017-09-29,79.7524,80.445,79.7188,79.9701,396121
2017-10-02,79.9107,80.3362,79.8513,80.2471,420801
2017-10-03,80.356,81.2366,79.881,80.8507,709737
2017-10-04,81.009,81.009,80.539,80.8507,396296
2017-10-05,80.7419,80.9695,80.6034,80.8309,611663
2017-10-06,80.7914,80.9497,80.4351,80.821,351341
2017-10-09,80.8705,81.4642,80.8359,81.2465,333778
2017-10-10,81.5335,81.6744,80.8705,81.0882,378988
2017-10-11,81.1377,81.4048,80.8507,81.1377,401040
2017-10-12,81.1377,81.8996,80.9398,81.3455,417515
2017-10-13,81.6225,81.9293,81.5731,81.7215,237214
2017-10-16,81.8699,82.2261,81.7413,82.2261,346033
2017-10-17,82.2261,82.3943,81.6621,82.1173,256502
2017-10-18,82.3152,82.8495,82.2657,82.7307,365843
2017-10-19,82.3745,82.9682,82.246,82.7901,241908
2017-10-20,83.3541,83.6905,83.1562,83.4729,287845
2017-10-23,83.4729,83.7004,83.3541,83.4432,185964
2017-10-24,83.4729,83.8093,83.1859,83.4926,274440
2017-10-25,83.5124,83.6708,82.9286,83.364,253778
2017-10-26,83.6905,84.3931,83.6609,84.1853,278096
2017-10-27,84.68,85.0659,83.9181,85.0461,374022
2017-10-30,85.056,85.056,84.304,84.7394,287022
2017-10-31,84.7889,85.3133,84.6207,85.0165,412505
2017-11-01,85.2341,85.808,84.9769,85.5112,401886
2017-11-02,85.3034,85.6398,85.1649,85.3529,339020
2017-11-03,85.5904,86.184,85.3826,85.9268,266783
2017-11-06,85.9268,86.7876,85.9268,86.2434,463275
2017-11-07,86.3226,86.5798,85.9268,86.4512,383714
2017-11-08,87.1933,90.7851,87.1933,89.5285,1142530
2017-11-09,89.7957,89.7957,86.4314,86.9064,966707
2017-11-10,86.7678,87.8266,86.5798,87.5198,638455
2017-11-13,87.411,87.7474,86.5304,86.659,813740
2017-11-14,86.5106,88.8062,85.8872,88.7666,833128
2017-11-15,88.6182,88.9051,87.5001,87.787,427268
2017-11-16,88.0641,88.3114,87.51,87.7276,786444
2017-11-17,87.5594,88.3609,87.4803,88.3114,569956
2017-11-20,88.7765,89.0041,88.3708,88.8754,681708
2017-11-21,89.4296,90.0925,88.7963,89.7462,576554
2017-11-22,89.7462,90.0331,87.4704,87.8167,679789
2017-11-24,87.975,88.5588,87.8761,88.4005,255065
2017-11-27,88.4895,88.5984,88.0146,88.1036,465971
2017-11-28,88.4599,89.2811,88.45,89.2613,559386
2017-11-29,89.5186,89.6472,87.886,88.1828,593288
2017-11-30,88.5588,89.5137,88.2125,89.3108,1555625
2017-12-01,89.1624,89.6472,87.8464,89.1822,498340
2017-12-04,89.855,90.1222,88.9249,89.2218,503500
2017-12-05,88.9447,89.1129,87.1884,87.6287,695294
2017-12-06,87.3417,88.4401,87.2032,87.7177,434674
2017-12-07,87.8167,88.4203,87.5891,88.3312,452422
2017-12-08,88.8655,89.202,88.4005,88.5885,427161
2017-12-11,88.3708,88.9843,88.3708,88.8557,470426
2017-12-12,88.727,88.9744,88.3115,88.4401,465595
2017-12-13,88.4104,89.5681,88.2818,88.539,465261
2017-12-14,88.8278,89.106,87.9635,88.2615,415146
