date,open,high,low,close,volume
2017-06-08,101.461,103.0151,101.2753,102.6437,4649344
2017-06-09,102.7219,104.6084,102.6633,103.5332,3881020
2017-06-12,103.2693,103.9524,102.5362,103.6798,4167423
2017-06-13,103.7873,104.2565,103.1276,103.367,3522709
2017-06-14,103.4159,103.6016,101.6467,102.3505,4100230
2017-06-15,101.461,104.237,101.461,104.0024,5974059
2017-06-16,104.3543,105.4784,104.0024,105.1753,7350440
2017-06-19,105.5175,105.6054,104.2663,105.0678,4347630
2017-06-20,105.625,105.7423,104.5058,104.628,5314140
2017-06-21,104.2272,104.3543,100.8256,101.1384,6274065
2017-06-22,101.2362,102.3016,101.158,101.5001,3652480
2017-06-23,100.1903,101.9204,99.9994,101.764,12089818
2017-06-26,102.3016,103.2497,101.1091,101.9008,2857661
2017-06-27,102.1452,102.8588,101.3535,101.588,3380676
2017-06-28,102.4873,104.2272,102.3993,104.0513,4118284
2017-06-29,104.0513,104.5595,102.4482,103.2595,3550032
2017-06-30,103.7091,105.6054,103.4452,105.0385,4702148
2017-07-03,104.1099,105.4099,104.0806,104.5595,2404896
2017-07-05,104.5889,105.449,104.2468,105.0678,3483617
2017-07-06,104.8137,105.4588,103.9046,104.1099,2921670
2017-07-07,104.2077,105.1558,103.4648,104.5107,2767868
2017-07-10,104.3249,106.0453,103.846,105.4099,2951468
2017-07-11,105.4784,106.0257,104.6377,105.8009,2559920
2017-07-12,106.4656,107.5213,106.3874,106.5047,3611614
2017-07-13,106.4363,106.7882,105.537,106.0257,3051071
2017-07-14,106.1039,106.8957,105.6152,106.319,4480218
2017-07-17,105.5663,106.9152,105.5468,106.3874,2969519
2017-07-18,106.5449,106.5449,104.9204,105.4127,3984361
2017-07-19,105.6391,106.3283,105.4816,106.1806,2857917
2017-07-20,106.2101,106.476,105.4028,105.6588,3759740
2017-07-21,105.0582,105.2945,103.483,104.9401,4258115
2017-07-24,106.1904,106.8205,105.6293,106.5055,5980369
2017-07-25,111.4872,113.1116,110.0695,112.767,14264596
2017-07-26,112.4815,112.767,111.3296,111.7628,5741249
2017-07-27,111.9597,112.6194,111.497,112.5997,5583481
2017-07-28,112.6784,113.1215,111.7235,112.3339,4704478
2017-07-31,112.7277,112.8852,111.9302,112.1862,4486013
2017-08-01,112.5012,112.6588,110.7783,111.3493,3683681
2017-08-02,111.3986,111.8219,110.355,111.3395,2830626
2017-08-03,111.1032,111.9597,111.1032,111.8022,2438868
2017-08-04,112.1173,112.8655,111.6949,112.58,2631896
2017-08-07,112.708,113.2101,112.5308,112.9344,2269385
2017-08-08,112.8163,113.4661,112.4225,112.6391,2601217
2017-08-09,112.6194,113.6728,112.3437,112.5701,3170051
2017-08-10,112.1271,112.3634,111.1131,111.3986,3186723
2017-08-11,111.3198,111.9105,111.0048,111.1032,2130558
2017-08-14,111.7038,112.5997,111.5167,111.9499,1968916
2017-08-15,112.2354,112.4618,111.5659,111.8908,2826822
2017-08-16,112.0483,112.7326,111.8711,112.3535,2268555
2017-08-17,112.2354,112.5997,111.3887,111.3887,2905050
2017-08-18,111.241,112.8655,110.9457,112.1566,3875693
2017-08-21,111.9893,112.324,111.5167,111.8416,3137367
2017-08-22,112.4422,114.0666,112.2354,114.0272,3881054
2017-08-23,113.2199,113.594,112.9738,112.9738,2447632
2017-08-24,113.2199,113.2692,112.6194,113.0033,1861155
2017-08-25,113.6827,114.8345,113.3676,113.5645,3282217
2017-08-28,113.9682,114.2635,112.8845,113.2888,2011033
2017-08-29,112.6095,114.7952,112.5308,114.2143,4355661
2017-08-30,114.3226,115.8683,114.0838,115.7305,3401022
2017-08-31,116.1243,116.9906,115.5336,115.6714,3357695
2017-09-01,115.6714,116.9808,115.5828,116.4492,2992226
2017-09-05,116.3113,117.286,115.9963,116.4688,3830667
2017-09-06,116.9119,117.3401,115.1693,115.1693,4292595
2017-09-07,115.5631,116.1046,114.6977,115.9471,3270114
2017-09-08,115.4154,117.0103,115.189,115.9963,2786971
2017-09-11,116.9808,117.0792,115.6517,117.03,3527473
2017-09-12,117.3451,119.511,117.2171,119.068,5554631
2017-09-13,118.6348,119.1271,117.5617,117.7783,2532234
2017-09-14,117.9358,118.9203,117.3648,118.6151,2904856
2017-09-15,119.1369,119.6882,118.4477,119.4913,4610125
2017-09-18,121.7065,122.504,120.9484,121.9132,4349014
2017-09-19,122.0412,122.9962,121.8443,122.8092,3050029
2017-09-20,123.0356,123.3373,122.2578,122.9175,3151576
2017-09-21,122.5926,123.1045,121.9044,122.8584,2615367
2017-09-22,122.6516,123.4786,122.4252,122.504,2616709
2017-09-25,122.4449,122.8485,121.736,122.3957,3268466
2017-09-26,122.7698,123.1341,122.3957,122.5827,2302141
2017-09-27,123.2719,123.4786,122.4154,122.5926,2140644
2017-09-28,121.992,123.3408,121.7065,123.2916,2067779
2017-09-29,123.4097,123.6066,122.5871,122.7796,2273463
2017-10-02,122.4744,122.8977,122.0314,122.7895,2502628
2017-10-03,123.0454,123.5869,122.4252,123.5672,2166124
2017-10-04,123.7445,125.1228,123.6559,124.7782,2792495
2017-10-05,124.8373,124.9456,124.0595,124.4435,2496551
2017-10-06,124.1678,125.0243,124.0278,124.9653,2697410
2017-10-09,124.9554,124.9653,123.9906,124.916,1979639
2017-10-10,125.5461,126.3042,125.3,126.2058,4414772
2017-10-11,126.1861,126.8555,125.6938,126.6094,2177836
2017-10-12,126.4125,128.1453,126.3928,127.9779,3372320
2017-10-13,128.9723,129.3759,127.2042,128.6868,3478191
2017-10-16,129.2184,130.0749,128.9132,129.435,2914192
2017-10-17,129.1101,129.435,128.3029,128.5194,2380342
2017-10-18,128.48,129.6122,128.48,129.2578,2511437
2017-10-19,128.9723,129.5925,127.397,129.5138,4837581
2017-10-20,130.0782,130.6428,129.2265,130.098,3086775
2017-10-23,130.6824,131.0724,129.9,130.415,5549532
2017-10-24,138.7145,139.0898,135.3174,136.9119,18886700
2017-10-25,135.8918,136.5059,133.4952,135.5254,6816946
2017-10-26,135.565,136.9119,135.5353,135.6244,5745354
2017-10-27,135.6046,137.0704,135.5848,136.4861,4064593
2017-10-30,135.981,136.4861,135.1689,135.1788,3044543
2017-10-31,135.1887,135.3075,133.7824,134.4954,3988311
2017-11-01,134.3666,135.981,134.1289,134.9807,3629020
2017-11-02,135.1094,135.674,134.3864,135.159,2722613
2017-11-03,135.1689,135.6343,135.05,135.3174,2105357
2017-11-06,135.4858,137.1199,135.4759,136.387,2780869
2017-11-07,136.4762,137.5656,135.3471,137.4765,3222106
2017-11-08,137.0704,137.417,135.8621,135.9711,1933255
2017-11-09,135.1292,135.4363,133.3564,134.0398,2940557
2017-11-10,133.7922,135.5749,133.7724,135.1689,2017641
2017-11-13,134.228,135.2382,133.5743,135.2184,1894148
2017-11-14,136.6743,136.7931,135.159,136.2187,3041283
2017-11-15,135.1689,135.4462,132.5245,132.8117,3746182
2017-11-16,134.1686,136.0899,133.8021,135.05,2813638
2017-11-17,134.4954,135.05,133.7229,134.8222,2312700
2017-11-20,135.1292,136.4861,134.9411,135.5947,2124623
2017-11-21,136.4465,136.6743,135.8522,136.2781,2221427
2017-11-22,136.8921,137.0902,135.8819,136.6842,4887659
2017-11-24,136.7733,137.0902,136.0206,136.0701,944517
2017-11-27,136.1493,136.9415,135.5749,135.872,2585375
2017-11-28,136.189,137.6646,135.9513,137.6547,2592701
2017-11-29,137.6646,137.8726,135.8829,136.7337,3098231
2017-11-30,137.5656,139.9723,135.7928,139.794,7507820
2017-12-01,140.2397,141.032,137.0457,140.1604,5481644
2017-12-04,142.8642,143.7952,140.0812,140.1406,4922287
2017-12-05,140.3882,140.824,138.3876,138.7937,3884080
2017-12-06,138.8036,139.7841,138.1598,138.9918,2881368
2017-12-07,138.4322,141.6262,137.8512,141.5173,2977117
2017-12-08,142.4879,142.9335,141.5569,142.478,2490056
2017-12-11,143.2406,143.3198,142.1016,142.3888,1913470
2017-12-12,142.1115,143.4089,141.8342,142.0422,3397071
2017-12-13,142.7949,147.6181,142.6859,147.1427,6486536
2017-12-14,147.529,147.5686,144.4786,144.8747,4616889
2017-12-15,146.0335,146.4197,144.0923,145.2808,7931739
2017-12-18,145.9146,148.3708,145.3897,148.3312,3534846
2017-12-19,148.3906,149.6385,147.1032,149.4602,3554140
2017-12-20,150.2476,151.134,149.2522,151.0548,3076024
2017-12-21,151.238,153.61,150.3516,153.1544,4017431
2017-12-22,153.0752,154.3033,152.471,154.2537,2486378
2017-12-26,154.5409,155.4718,154.1646,154.9371,1870565
2017-12-27,155.4323,156.1751,154.8084,156.0067,2520486
2017-12-28,156.4227,157.1259,155.7195,156.8981,4064049
2017-12-29,156.5316,156.9771,155.9968,156.0662,2616142
2018-01-02,156.7792,157.8588,154.531,155.5313,5108362
2018-01-03,155.5313,155.977,153.9071,155.769,4146054
2018-01-04,156.3732,158.0469,155.5115,157.9083,4865769
2018-01-05,158.7204,160.4932,158.1064,160.4041,3945401
