date,open,high,low,close,volume
2017-06-20,144.1959,144.4017,143.9214,144.0194,1392470
2017-06-21,144.2155,144.4997,143.5489,143.7156,1205814
2017-06-22,143.7156,143.7156,142.6668,142.6668,1245538
2017-06-23,142.6472,143.2892,141.6376,141.9806,1967514
2017-06-26,141.961,142.6276,141.4611,142.5197,1249670
2017-06-27,142.3825,142.8138,141.863,141.912,1179880
2017-06-28,142.7296,143.5866,142.7296,143.4487,1160272
2017-06-29,143.823,143.8328,142.1583,142.7986,1345771
2017-06-30,143.5373,143.6949,142.4932,143.2024,1374821
2017-07-03,143.6161,145.1922,143.3354,144.1579,672702
2017-07-05,144.4435,144.6208,143.2024,143.7836,1001300
2017-07-06,143.8624,144.2859,143.1729,143.2615,1212547
2017-07-07,143.7639,144.5913,143.4487,144.3253,1043634
2017-07-10,143.7934,143.9707,143.0941,143.1039,1073310
2017-07-11,143.3009,143.4388,142.0007,142.2863,1127179
2017-07-12,142.6114,142.9462,142.1386,142.2765,1165297
2017-07-13,142.4439,143.163,142.2174,142.6803,987564
2017-07-14,142.306,143.4093,141.7052,143.0054,755582
2017-07-17,143.0054,143.4782,142.5621,143.36,1081441
2017-07-18,143.3305,143.6161,142.5326,143.5176,995833
2017-07-19,143.8525,144.3647,143.3797,144.3549,1028795
2017-07-20,144.6208,144.7981,143.7146,144.4238,1381398
2017-07-21,144.0889,145.2463,144.0889,144.7981,1454697
2017-07-24,144.9754,144.9754,144.3943,144.6898,1117624
2017-07-25,145.3793,146.1575,144.6996,145.1528,2189355
2017-07-26,145.3498,145.7635,141.5377,141.7446,2864649
2017-07-27,141.4491,142.8183,140.5133,140.8384,2491423
2017-07-28,141.2225,143.2369,141.2225,143.1729,2213105
2017-07-31,143.5176,144.542,143.1827,144.2662,1382794
2017-08-01,147.6941,148.029,146.9258,147.5562,843700
2017-08-02,145.9999,146.9947,145.6256,146.6894,1824202
2017-08-03,146.7583,147.8419,146.4431,147.6252,1760098
2017-08-04,147.6941,148.029,146.9258,147.5562,843700
2017-08-07,147.2705,147.7237,146.9849,147.0735,886502
2017-08-08,146.9061,147.2607,146.1476,146.3151,964979
2017-08-09,146.2363,147.1031,145.793,147.0538,872933
2017-08-10,146.4037,146.7977,146.0048,146.1082,1101485
2017-08-11,146.5022,146.5909,144.1086,144.2465,2126617
2017-08-14,144.6307,145.7438,144.5519,145.1922,1300669
2017-08-15,145.596,146.5219,145.5172,145.7536,847534
2017-08-16,146.187,146.7091,145.665,145.8029,904889
2017-08-17,145.5862,145.8029,143.7048,143.7639,910363
2017-08-18,143.0744,144.148,143.0744,143.2615,1054117
2017-08-21,143.3994,143.6024,142.5917,143.1532,1289348
2017-08-22,143.2418,143.3797,142.6803,143.1335,1054599
2017-08-23,142.6311,143.0941,141.784,142.0795,1024521
2017-08-24,138.4842,140.2178,138.4842,139.7647,1242597
2017-08-25,140.6611,141.9908,140.5133,141.4786,1312740
2017-08-28,141.1437,141.1437,138.4842,139.6563,1541145
2017-08-29,138.4842,140.2178,138.4842,139.7647,1242597
2017-08-30,140.3951,140.3951,139.0062,139.0456,1223837
2017-08-31,139.479,139.6169,138.4349,139.3017,1858489
2017-09-01,139.351,140.1488,138.2084,138.3857,1397324
2017-09-05,137.2135,137.8931,134.4948,134.8002,2436722
2017-09-06,135.0464,137.0657,134.2387,135.6473,2861606
2017-09-07,135.3912,135.598,131.8156,132.8597,2786252
2017-09-08,132.4164,140.6118,132.0323,138.7403,4374312
