date,open,high,low,close,volume
2017-06-20,88.692,88.9098,87.7119,88.0683,997099
2017-06-21,88.1772,88.2564,87.7812,87.9297,609585
2017-06-22,87.9297,88.0485,87.5536,87.6822,598548
2017-06-23,87.8208,88.3653,87.702,87.8802,850248
2017-06-26,87.9099,88.7514,87.9099,88.7217,704468
2017-06-27,88.7217,89.1573,88.494,89.1078,847445
2017-06-28,89.1573,89.8503,88.8009,89.6424,772774
2017-06-29,90.3255,90.3849,89.1474,90.0879,751072
2017-06-30,90.1968,90.8799,90.0879,90.4839,909964
2017-07-03,90.9096,91.365,90.6225,90.9888,538080
2017-07-05,91.2858,92.6123,91.2363,92.0975,1392067
2017-07-06,92.0282,92.4737,91.2066,91.2561,919201
2017-07-07,91.3947,92.3549,90.4839,92.048,1044782
2017-07-10,92.0777,92.2658,91.6917,91.761,751099
2017-07-11,91.6521,92.1074,91.1274,91.8599,618716
2017-07-12,91.5927,91.7807,90.7215,91.0185,801162
2017-07-13,91.4244,91.7511,90.2067,91.6125,710621
2017-07-14,91.4838,91.5531,90.9096,91.0581,474008
2017-07-17,91.068,91.6125,91.0383,91.0977,669925
2017-07-18,91.0185,92.246,90.8997,92.1866,720890
2017-07-19,92.2064,92.4242,91.4244,91.9787,529670
2017-07-20,91.9292,92.3153,91.6125,92.2163,503591
2017-07-21,92.3351,93.4241,92.3351,92.9984,792695
2017-07-24,92.8697,93.5429,92.8202,92.9093,711962
2017-07-25,93.3449,93.3746,92.3747,92.4638,748296
2017-07-26,92.6618,93.6419,92.4539,93.0974,834678
2017-07-27,93.0974,93.1568,91.6917,92.3549,640961
2017-07-28,92.2856,93.2063,92.1866,92.5529,551149
2017-07-31,92.84,93.7508,92.5678,93.5825,811244
2017-08-01,93.8597,94.2953,93.1865,94.2557,839371
2017-08-02,93.9785,94.2557,93.1073,93.8399,693350
2017-08-03,93.8399,94.2953,93.4043,94.0379,756154
2017-08-04,94.8101,94.9883,91.2759,92.5628,1228860
2017-08-07,92.6618,94.3943,91.4352,93.6914,1151735
2017-08-08,93.3251,94.6022,93.0776,94.5032,871143
2017-08-09,94.5527,95.9783,93.9587,95.8298,759090
2017-08-10,95.6813,96.2653,95.3843,95.7011,806762
2017-08-11,96.008,96.295,94.8497,95.2655,540038
2017-08-14,95.4932,97.0375,95.2754,96.097,909570
2017-08-15,96.3049,97.0771,95.8892,96.5623,1029453
2017-08-16,96.8098,97.5622,96.5227,96.8494,667439
2017-08-17,96.889,97.0573,96.1564,96.2158,797320
2017-08-18,95.9585,96.3445,95.2754,95.3348,1240866
2017-08-21,95.2457,96.4138,94.7507,96.1168,924756
2017-08-22,96.2257,98.2453,96.0575,98.1166,1048420
2017-08-23,97.8196,98.4037,97.384,97.4137,865003
2017-08-24,98.0077,98.0473,97.2058,97.4731,738548
2017-08-25,97.9087,98.9877,97.5622,98.77,787535
2017-08-28,98.9977,99.4333,98.176,99.1462,720810
2017-08-29,98.9977,99.3739,98.6611,99.3343,634092
2017-08-30,99.6718,99.8306,98.9074,99.5328,728417
2017-08-31,99.9001,100.6049,99.5924,100.1483,987395
2017-09-01,99.8703,100.4163,99.781,100.1979,649371
2017-09-05,99.7909,101.5677,99.7909,101.4486,1603220
2017-09-06,101.8159,103.3347,101.7067,102.9674,1355885
2017-09-07,103.2453,103.553,102.4313,102.9177,966959
2017-09-08,102.9972,105.1314,102.9376,103.97,1126133
2017-09-11,104.5854,105.1176,103.0964,103.6126,1296653
2017-09-12,103.96,104.7144,103.5133,103.96,1132370
2017-09-13,103.96,104.8236,103.2552,104.5953,1698216
2017-09-14,104.228,105.7467,104.228,105.0718,1966366
2017-09-15,105.0718,105.6277,103.8707,103.9005,6221349
2017-09-18,103.8806,105.0321,103.8806,104.7144,1577320
2017-09-19,104.7641,105.4788,104.4861,104.6549,1514186
2017-09-20,104.8832,106.2729,104.6549,105.6178,919634
2017-09-21,105.8163,106.1885,104.7839,105.4788,973621
2017-09-22,105.4192,105.9354,105.0321,105.8163,733778
2017-09-25,105.9354,106.2034,104.7988,105.5284,784980
2017-09-26,105.5284,105.9155,103.8955,103.9402,846367
