date,open,high,low,close,volume
2017-06-08,68.12,68.42,67.56,68.11,1188792
2017-06-09,68.01,68.16,66.05,66.28,2163532
2017-06-12,67.37,67.37,64.79,65.79,2853823
2017-06-13,65.82,66.64,65.7,66.47,1438327
2017-06-14,66.53,66.98,65.46,65.95,1141780
2017-06-15,65.55,66.07,65.15,65.93,1630987
2017-06-16,65.89,66.29,65.53,66.04,2866990
2017-06-19,66.17,67.4,65.89,67.34,1222844
2017-06-20,67.32,67.4601,66.8,66.85,1067075
2017-06-21,67.0,67.52,66.86,67.15,921529
2017-06-22,66.89,67.72,66.77,67.34,961698
2017-06-23,67.57,68.41,67.15,68.32,2342393
2017-06-26,68.33,68.71,67.15,67.31,1384456
2017-06-27,67.21,67.385,66.28,66.34,1273865
2017-06-28,66.56,67.29,65.93,67.15,1015302
2017-06-29,67.06,67.14,65.36,66.13,1954430
2017-06-30,66.52,66.83,66.16,66.47,1355059
2017-07-03,66.77,66.98,65.13,65.5,1249336
2017-07-05,65.67,66.89,65.34,66.58,1125402
2017-07-06,66.18,66.57,64.95,65.03,1495895
2017-07-07,65.29,66.04,65.18,65.74,2035063
2017-07-10,65.48,65.645,64.62,65.34,2626666
2017-07-11,65.18,65.46,64.8352,65.31,1393491
2017-07-12,66.16,66.499,65.565,65.71,1202788
2017-07-13,65.94,65.95,64.785,65.22,930449
2017-07-14,65.35,65.99,65.31,65.83,1022358
2017-07-17,65.85,66.45,65.56,66.23,2333011
2017-07-18,66.17,66.22,65.48,66.16,1033729
2017-07-19,66.34,66.34,65.46,65.57,979123
2017-07-20,65.71,65.93,65.26,65.46,1043792
2017-07-21,65.21,65.83,65.12,65.38,1050851
2017-07-24,65.25,65.77,65.0,65.74,969453
2017-07-25,65.82,65.97,65.31,65.55,1340205
2017-07-26,65.57,65.9,64.43,64.62,1521124
2017-07-27,63.43,64.08,62.57,63.52,3185510
2017-07-28,64.6,65.61,64.17,64.6,2793112
2017-07-31,64.48,65.4,64.04,64.37,1670574
2017-08-01,64.48,64.97,64.15,64.81,1660506
2017-08-02,64.81,64.85,63.88,64.08,1654132
2017-08-03,63.9,64.29,63.25,63.58,1753596
2017-08-04,63.56,63.97,62.9,63.08,1282182
2017-08-07,63.14,63.65,62.74,63.38,1529973
2017-08-08,63.18,63.49,62.86,63.16,1200429
