date,open,high,low,close,volume
2017-06-08,52.3572,52.3769,51.6298,51.9247,1374875
2017-06-09,51.8657,52.141,51.6986,52.1016,1233974
2017-06-12,52.0132,52.485,51.8362,52.0033,1399986
2017-06-13,51.8854,52.0132,51.6101,51.905,850002
2017-06-14,52.1311,52.3965,52.0426,52.2786,1467085
2017-06-15,52.082,52.8488,52.0426,52.6423,1212499
2017-06-16,52.4752,52.7406,51.8165,52.2982,3879836
2017-06-19,52.3671,52.8782,52.023,52.8389,1056239
2017-06-20,52.9274,53.2615,52.603,52.6226,1454723
2017-06-21,52.6423,52.7996,52.1016,52.1213,1257214
2017-06-22,52.0918,52.1704,51.846,51.9443,1643395
2017-06-23,51.9935,52.3867,51.9935,52.141,1339908
2017-06-26,52.2982,52.3376,52.082,52.1901,821747
2017-06-27,52.082,52.3474,51.7871,51.7871,1300686
2017-06-28,52.0623,52.1704,51.6691,51.6888,1076493
2017-06-29,51.5315,51.5708,50.745,50.9318,1141787
2017-06-30,50.922,51.1972,50.922,51.0006,1229116
2017-07-03,51.0694,51.3742,50.9711,51.1382,397971
2017-07-05,51.1874,51.2759,50.8335,50.9023,1479429
2017-07-06,50.9023,51.1726,50.6664,51.0694,1272091
2017-07-07,51.2857,51.6494,51.0891,51.1186,1163188
2017-07-10,51.1677,51.6101,51.1579,51.4233,1233099
2017-07-11,51.4332,51.5118,51.1186,51.2955,1345705
2017-07-12,51.4233,51.6052,50.9613,51.0203,1787479
2017-07-13,51.0301,51.1677,50.7745,51.1186,865111
2017-07-14,51.325,51.7526,51.2906,51.7281,1066789
2017-07-17,51.6298,52.4359,51.1972,52.426,2017949
2017-07-18,52.4555,52.7996,52.3179,52.721,1227636
2017-07-19,52.7799,52.7799,52.0132,52.0525,1189902
2017-07-20,52.1213,52.4408,52.0181,52.0918,1619982
2017-07-21,51.7871,52.3769,51.6494,52.3572,1312040
2017-07-24,52.2982,52.2982,51.7576,51.905,1388955
2017-07-25,52.1115,52.426,51.8952,52.426,895327
2017-07-26,52.5833,52.8488,52.4113,52.7603,933595
2017-07-27,52.7308,53.0847,52.5538,52.8881,1285601
2017-07-28,52.8881,52.8881,52.1518,52.3965,1051559
2017-07-31,52.4752,52.6718,52.3818,52.4457,1047343
2017-08-01,52.5342,52.544,52.0132,52.1115,1233120
2017-08-02,51.9935,51.9935,51.3349,51.8362,2008076
