date,open,high,low,close,volume
2017-06-08,344.9,345.24,333.38,337.45,1990826
2017-06-09,338.51,340.125,329.97,332.84,1442806
2017-06-12,330.9,339.24,329.0418,338.65,1395664
2017-06-13,335.99,344.22,335.99,341.81,1106276
2017-06-14,342.83,344.17,336.13,338.33,1276585
2017-06-15,336.81,340.57,333.5,338.34,1318677
2017-06-16,337.18,340.99,331.08,340.22,2406080
2017-06-19,342.0,345.19,339.97,340.26,1883721
2017-06-20,337.95,339.93,329.43,333.61,2161121
2017-06-21,333.85,335.505,332.25,333.88,1045865
2017-06-22,333.93,340.235,333.54,334.13,1116002
2017-06-23,334.79,335.43,326.4,330.8,3100580
2017-06-26,331.68,333.64,330.17,332.65,941893
2017-06-27,330.75,332.2939,327.14,329.87,1448187
2017-06-28,330.56,340.95,329.24,340.3,1513322
2017-06-29,339.38,340.185,332.13,335.74,2025164
2017-06-30,338.29,338.41,332.4,336.85,1394645
2017-07-03,338.26,339.45,328.65,328.67,793720
2017-07-05,329.23,335.24,328.8,335.11,1341912
2017-07-06,334.01,335.52,331.06,332.18,1251939
2017-07-07,332.08,334.43,330.58,332.43,870484
2017-07-10,333.13,338.4,332.1,336.6,1015974
2017-07-11,337.12,339.85,334.44,337.85,953620
2017-07-12,340.79,344.83,339.045,342.65,1071590
2017-07-13,343.07,343.23,338.0,339.04,930153
2017-07-14,340.8,344.51,335.79,342.8,1085969
2017-07-17,342.09,345.28,341.95,342.31,967082
2017-07-18,340.98,345.42,338.4,344.63,895173
2017-07-19,345.02,347.26,342.97,346.61,1256276
2017-07-20,346.47,349.67,344.315,345.3,1244759
2017-07-21,345.3,351.87,345.3,350.07,1340981
2017-07-24,349.79,350.43,345.2501,348.08,1473727
2017-07-25,349.47,350.885,346.5757,348.0,881657
2017-07-26,348.8,351.68,346.03,348.77,2265786
2017-07-27,354.0,370.96,353.02,366.9,3552388
2017-07-28,365.39,372.3655,361.0,370.26,1600282
2017-07-31,399.42,399.95,385.36,391.91,6272653
2017-08-01,392.84,392.965,383.726,387.42,2274005
2017-08-02,386.39,388.25,381.7,385.54,1370412
2017-08-03,384.54,387.41,383.29,384.3,1006645
2017-08-04,385.0,386.0,380.56,384.63,698514
2017-08-07,384.65,386.45,380.77,381.02,1309008
2017-08-08,380.02,393.24,378.2569,389.75,1913093
2017-08-09,387.89,408.83,386.38,400.9,3978134
2017-08-10,398.69,404.06,396.72,398.68,2069989
2017-08-11,400.08,402.45,392.6,394.49,2399848
2017-08-14,398.78,405.33,397.0,401.08,2439869
2017-08-15,401.05,403.36,395.92,397.73,2258066
2017-08-16,399.35,402.49,397.1801,400.78,1727324
2017-08-17,401.0,401.65,393.17,393.36,1595960
2017-08-18,391.53,396.27,390.71,392.97,1304255
2017-08-21,392.75,396.9,391.38,396.45,970803
2017-08-22,398.15,399.99,395.0,397.05,994184
2017-08-23,396.29,396.29,390.26,390.33,1280580
2017-08-24,390.09,391.53,384.24,389.23,1401056
2017-08-25,391.42,392.53,387.51,388.79,758648
2017-08-28,390.88,391.2,385.94,389.23,988045
2017-08-29,386.6,390.17,385.56,388.82,1118780
2017-08-30,388.22,395.16,388.22,393.37,953889
2017-08-31,394.54,398.8811,392.66,398.54,1921821
2017-09-01,398.93,399.34,391.87,392.48,1240566
2017-09-05,392.26,395.68,388.01,393.32,1189306
2017-09-06,393.58,403.65,389.295,402.5,1664541
2017-09-07,404.04,404.72,387.89,395.64,2802025
2017-09-08,394.63,395.6,387.0,392.9,2141667
2017-09-11,394.93,397.39,380.69,381.01,2090660
2017-09-12,380.92,386.16,374.7,381.57,2719881
2017-09-13,381.48,386.0,379.48,385.13,1616688
2017-09-14,382.17,384.76,375.76,376.0,2338034
2017-09-15,375.91,377.41,367.69,369.47,5270018
2017-09-18,370.2,371.51,365.9,368.17,1870865
2017-09-19,368.39,369.84,360.43,364.02,3302164
2017-09-20,365.99,371.5,363.5,367.01,2156826
2017-09-21,365.88,366.4,359.093,361.08,2374202
