date,open,high,low,close,volume
2017-06-20,73.3495,73.3692,72.0682,72.2259,1806821
2017-06-21,72.5314,72.6595,70.9199,71.2797,1858550
2017-06-22,71.2797,71.3585,70.1166,70.3926,2143247
2017-06-23,70.846,70.9248,69.4563,69.8308,2141193
2017-06-26,70.0082,70.7179,69.4464,70.0476,1377972
2017-06-27,70.6686,71.7232,70.2251,70.7671,1472738
2017-06-28,71.4275,71.9006,70.8854,70.9051,2826797
2017-06-29,72.7187,73.8915,71.0924,71.7429,2187117
2017-06-30,72.0484,72.6102,71.4176,72.1864,1415464
2017-07-03,72.8468,73.8521,72.5905,73.3199,650630
2017-07-05,73.5367,73.6353,72.5807,73.3593,1277596
2017-07-06,73.4776,73.9704,72.9059,73.0636,1140915
2017-07-07,73.7634,73.9014,72.6989,73.5959,991647
2017-07-10,73.31,74.3548,73.1425,74.0492,1259989
2017-07-11,74.1084,74.6308,73.655,74.1478,1550168
2017-07-12,73.8423,74.2562,73.5269,73.8127,1295685
2017-07-13,74.0295,74.2069,73.6156,74.0197,1872650
2017-07-14,73.0636,73.5564,72.1371,73.1918,1606745
2017-07-17,73.0833,73.5909,72.5807,73.448,2020056
2017-07-18,71.9499,73.0341,71.3487,71.9992,2364686
2017-07-19,72.3441,72.5018,70.8657,71.4472,2439782
2017-07-20,71.5458,72.2259,71.1121,71.3881,1946970
2017-07-21,71.0727,71.8612,70.6883,71.4176,1931752
2017-07-24,71.4571,72.4525,71.4571,72.2259,1613091
2017-07-25,73.6649,74.1182,72.7088,73.0636,1932998
2017-07-26,73.448,73.5318,71.3388,71.4866,1626295
2017-07-27,71.6148,71.6148,70.0871,70.9741,1774375
2017-07-28,70.984,71.3684,70.1561,70.9446,985884
2017-07-31,70.984,71.9792,70.984,71.2698,1673386
2017-08-01,72.5117,73.6944,72.3983,72.7975,1080889
2017-08-02,71.1712,71.6838,71.0135,71.4472,1539834
2017-08-03,71.5359,72.285,71.4472,71.7922,2095228
2017-08-04,72.5117,73.6944,72.3983,72.7975,1109142
2017-08-07,72.8369,73.1622,72.2751,72.3737,710010
2017-08-08,72.2456,73.6846,72.0682,72.4033,1437251
2017-08-09,71.7823,72.2406,70.8066,71.4275,1097166
2017-08-10,70.9446,71.0727,69.3479,69.7914,1812896
2017-08-11,69.7224,70.2053,68.8551,69.2,1382877
2017-08-14,70.1166,70.8706,69.9294,70.639,1254125
2017-08-15,71.4571,72.2259,70.846,70.9051,987179
2017-08-16,71.2698,71.733,70.3926,70.6292,1295737
2017-08-17,70.3236,70.7277,68.3918,68.4805,1176432
2017-08-18,68.1651,69.0916,67.8891,68.3721,1523539
2017-08-21,68.4115,68.5101,67.4629,67.7807,1230398
2017-08-22,68.175,68.9832,68.0961,68.8452,1367129
2017-08-23,68.313,69.6238,68.0666,69.1015,702513
2017-08-24,69.3774,69.8407,69.131,69.3577,880948
2017-08-25,69.5548,69.9294,69.269,69.3084,724670
2017-08-28,69.5253,69.5745,67.9976,68.244,1521028
2017-08-29,67.2781,67.9384,66.6966,67.6033,1707961
2017-08-30,67.7413,68.1848,67.554,67.6625,1790849
2017-08-31,68.0666,68.0715,67.1204,67.2682,1906330
2017-09-01,67.485,68.7565,67.3471,68.3031,1720131
2017-09-05,67.6132,67.6132,65.5828,65.7799,2407202
2017-09-06,66.184,66.4403,65.6814,65.9179,1494525
2017-09-07,65.7504,65.8124,63.1188,63.5327,2036010
2017-09-08,63.4243,64.2424,63.375,63.789,1703665
2017-09-11,64.745,66.0756,64.6465,65.7898,2615787
2017-09-12,67.0612,68.8255,66.8641,68.2045,2569986
2017-09-13,67.9581,68.0764,67.1696,67.7906,2894479
