date,open,high,low,close,volume
2017-06-08,117.8669,120.3526,117.5624,120.1463,2041717
2017-06-09,119.7926,122.2586,119.4684,122.2095,1823186
2017-06-12,122.2389,123.7323,122.18,123.3884,2344092
2017-06-13,123.5947,124.2333,123.3786,123.86,2221568
2017-06-14,123.3491,125.4221,122.9168,125.0881,1587512
2017-06-15,124.2825,124.6754,123.9288,124.5576,1381640
2017-06-16,124.3611,124.9309,121.2368,123.9681,1585243
2017-06-19,123.9975,125.5007,123.9975,125.206,795221
2017-06-20,125.2158,125.2158,123.5849,123.86,1330759
2017-06-21,124.4888,124.4888,122.3028,122.7105,1595016
2017-06-22,122.3175,122.6712,121.7084,121.8852,871471
2017-06-23,122.1996,122.5926,121.6691,121.9442,1085568
2017-06-26,121.9933,122.4292,120.9421,121.4824,865919
2017-06-27,121.8066,122.7891,121.2073,122.4354,1208353
2017-06-28,123.133,124.8719,122.8579,124.5477,989365
2017-06-29,125.4614,125.7169,122.1898,122.8481,1106577
2017-06-30,123.241,123.4375,122.5435,123.0446,1053775
2017-07-03,123.133,125.1274,123.133,124.086,611441
2017-07-05,123.9877,124.3611,122.8775,123.7421,1025590
2017-07-06,123.7421,124.3512,121.5021,121.5217,1426754
2017-07-07,122.2095,123.0249,120.7456,122.6417,1150582
2017-07-10,122.3175,122.9365,121.8852,121.9344,958862
2017-07-11,121.9344,122.4944,120.8143,121.001,941523
2017-07-12,121.6789,122.013,120.9322,121.227,1223322
2017-07-13,121.3056,121.8263,121.1189,121.227,1570318
2017-07-14,120.5589,120.9912,117.6606,118.4564,2560169
2017-07-17,118.3778,119.2915,118.2796,118.5252,2123474
2017-07-18,117.9652,118.7489,117.4739,118.4466,915227
2017-07-19,118.6627,118.8494,117.7589,118.0634,1630510
2017-07-20,118.0733,118.6824,117.2087,118.4466,1294077
2017-07-21,118.3778,120.2249,118.3778,118.8789,1648929
2017-07-24,118.7806,118.9869,118.0143,118.309,1143003
2017-07-25,119.2129,120.107,118.5743,119.7533,1319146
2017-07-26,119.6157,120.9715,119.2915,119.6943,1343070
2017-07-27,119.7042,120.1561,118.4073,119.2326,1349589
2017-07-28,119.1245,119.6452,118.4073,119.154,1401620
2017-07-31,119.6452,120.9715,119.2424,120.4705,1636044
2017-08-01,121.4824,121.8852,118.2108,121.62,1903289
2017-08-02,121.1189,122.0621,121.0305,121.9835,1331406
2017-08-03,122.1603,122.9856,121.8361,122.7989,1360538
2017-08-04,123.5751,123.8796,122.514,123.6242,1222844
2017-08-07,123.9484,124.5639,122.7302,122.7793,979179
2017-08-08,122.5926,123.3196,122.2819,122.573,776851
2017-08-09,122.1407,124.2137,121.8263,123.9779,1416530
2017-08-10,123.5063,123.8649,121.8951,122.013,1075734
2017-08-11,122.681,122.8088,120.8929,121.0993,650816
2017-08-14,121.8361,122.7891,121.5561,122.4944,726242
2017-08-15,123.0151,124.2137,122.5347,123.7126,1047643
2017-08-16,124.1253,125.1176,123.8502,124.0074,895102
2017-08-17,124.2137,124.587,123.0446,123.1624,1008752
2017-08-18,122.7302,123.9681,122.5121,123.1919,1048291
2017-08-21,123.1428,123.467,121.7084,123.0838,728889
2017-08-22,123.3786,124.474,122.9168,124.1547,1137538
2017-08-23,123.7421,124.3414,123.2607,123.7421,1499576
2017-08-24,123.86,124.4004,123.4474,123.7126,1326509
2017-08-25,124.0761,125.4614,123.8404,124.8719,1578881
2017-08-28,125.3927,125.5302,124.2923,124.7049,669780
2017-08-29,124.0467,124.3807,123.3982,124.1646,955898
2017-08-30,124.194,124.7639,123.7274,123.8502,1202331
2017-08-31,124.3905,124.3905,123.5456,123.5947,1034748
2017-09-01,123.4277,124.3512,123.3884,124.0368,842950
2017-09-05,123.7716,124.086,122.3273,123.2607,1540804
2017-09-06,123.6242,127.0432,123.2803,126.1688,1887317
2017-09-07,126.4255,127.0072,123.3641,124.1739,1131749
2017-09-08,124.2924,127.4822,123.9567,126.4453,1034854
2017-09-11,127.5118,128.134,126.9094,127.1958,1056608
2017-09-12,127.3736,128.529,127.0082,128.4401,795285
2017-09-13,128.4697,129.2598,128.0945,129.24,1036401
2017-09-14,129.5462,130.5238,129.1906,130.4745,1591942
2017-09-15,130.3362,130.6917,129.2894,129.6548,1670615
2017-09-18,129.2301,130.3066,128.7413,129.6647,1495044
2017-09-19,129.872,131.2447,129.635,130.1683,1635724
2017-09-20,130.3559,132.5679,130.3164,132.1335,1443260
2017-09-21,131.7681,132.489,131.4027,132.1335,766639
2017-09-22,131.2744,132.6866,131.2052,132.4989,770681
2017-09-25,132.6075,132.9532,130.9396,132.6273,735917
2017-09-26,132.5384,132.7063,131.1657,131.4324,927559
2017-09-27,131.7681,133.2988,131.5805,132.8544,1221219
2017-09-28,132.8643,134.3259,132.2619,134.1679,1222931
2017-09-29,134.1777,134.5629,133.4865,133.9901,1071265
2017-10-02,134.0395,134.8196,133.5655,134.7011,822074
2017-10-03,134.6715,135.7381,133.1112,135.6196,1364064
2017-10-04,135.3134,135.5801,134.6913,135.1752,1010418
2017-10-05,135.5307,136.612,134.5431,136.301,988996
2017-10-06,136.4096,136.6664,134.0395,135.4912,1575659
2017-10-09,135.3233,136.6664,134.6715,136.2713,814167
2017-10-10,136.7552,136.7602,134.553,135.5208,1114838
2017-10-11,135.1258,135.985,134.7011,135.4813,1058875
2017-10-12,135.4912,136.1825,134.8493,135.9948,967275
2017-10-13,135.8566,136.5479,135.106,135.5998,1737442
2017-10-16,135.8961,136.2713,135.264,135.8072,763336
2017-10-17,135.7973,135.7973,134.3358,134.4938,1259574
2017-10-18,134.6616,135.0468,133.8321,134.6715,1002059
2017-10-19,134.1679,134.1679,132.6964,133.2692,1140992
2017-10-20,133.8519,133.9439,133.0223,133.447,1180139
2017-10-23,133.3186,133.6543,132.6929,132.9334,1038946
2017-10-24,133.1211,133.2198,131.9755,132.4002,1498072
2017-10-25,132.331,132.6866,130.6818,132.1829,1829100
2017-10-26,132.9236,135.2937,131.1164,134.8987,1782944
2017-10-27,134.1975,136.143,132.4199,135.8368,1921527
2017-10-30,135.1752,135.7479,134.395,134.4148,1244195
2017-10-31,134.5135,135.9059,134.1777,135.4616,1186867
2017-11-01,136.2713,136.5676,133.921,134.4444,1002578
2017-11-02,134.4543,138.8192,134.316,138.5526,1553803
2017-11-03,137.7922,139.313,137.6738,138.3156,1720387
2017-11-06,137.9403,138.1576,135.9553,136.4392,1080027
2017-11-07,136.6664,137.7033,135.1455,135.8368,755780
2017-11-08,135.8467,136.4244,135.5307,135.8862,796976
2017-11-09,135.6294,136.4392,134.6518,136.3207,764048
2017-11-10,136.459,137.2688,135.8467,136.1627,750198
2017-11-13,136.0047,138.6019,135.7973,138.4044,1142153
2017-11-14,137.9403,139.2834,137.1996,138.4538,1267451
2017-11-15,137.9798,139.6784,137.7724,137.9304,1017253
2017-11-16,138.6316,138.8587,137.5206,138.3452,740851
2017-11-17,137.8317,138.3847,137.3083,137.7527,924322
2017-11-20,138.3649,140.8634,138.0094,140.1326,1138074
2017-11-21,140.9424,142.1966,139.8759,140.8042,1078017
2017-11-22,141.5053,141.5053,138.76,140.103,1040699
2017-11-24,140.5178,141.1696,139.8759,140.0931,312282
2017-11-27,140.5079,141.6337,140.2215,140.3005,1060125
2017-11-28,140.6758,143.4014,139.945,143.3125,1371694
2017-11-29,144.0334,147.4306,143.9446,145.9888,2558008
2017-11-30,146.4134,149.9587,145.9987,147.6775,2434813
2017-12-01,149.5736,150.2451,146.5517,148.9119,2808015
2017-12-04,151.5882,152.1116,149.0996,151.4993,2446333
2017-12-05,151.6079,153.3559,149.6921,150.2155,2130064
2017-12-06,150.4821,151.2919,147.8256,150.8475,1432423
2017-12-07,151.2542,152.2361,149.0622,150.8277,1489570
2017-12-08,151.4228,151.7699,149.7764,151.5716,1494394
2017-12-11,151.9485,152.4246,150.9765,151.4625,1019937
2017-12-12,151.3137,152.3948,150.9566,151.7799,1327015
2017-12-13,151.8493,152.2956,150.1136,150.3715,1285927
2017-12-14,151.0161,151.3534,148.8143,149.1912,2215350
2017-12-15,149.459,150.5599,148.7756,149.8359,2241281
2017-12-18,151.036,151.4228,149.5681,150.0442,1400313
2017-12-19,150.7186,150.8575,148.844,148.9333,1176227
2017-12-20,149.5383,149.6772,146.91,148.2192,1523649
2017-12-21,148.7944,149.9846,148.3283,149.6474,1758988
2017-12-22,149.8855,150.0744,147.515,147.7629,1164041
2017-12-26,147.4158,148.0754,146.6422,147.7233,1545216
2017-12-27,144.5395,145.6305,143.6556,144.7577,1267612
2017-12-28,145.2635,145.2834,144.361,145.1148,848542
2017-12-29,145.2734,146.8604,144.8172,144.8569,879897
2018-01-02,144.9263,145.4619,143.2402,143.6072,1081742
2018-01-03,143.1609,146.1066,142.5015,145.9082,1341263
2018-01-04,147.0786,149.1118,146.4141,147.4654,1551464
2018-01-05,147.2769,148.5465,147.0349,148.4275,953983
2018-01-08,149.4986,151.4625,149.0325,150.4905,1118233
2018-01-09,150.2624,151.9088,150.0838,151.3831,944763
2018-01-10,151.7104,153.0792,150.6591,151.6509,1182925
2018-01-11,151.8394,152.0923,150.2772,151.5617,1056143
2018-01-12,151.7699,152.0675,150.6888,151.4823,1108894
2018-01-16,152.8808,153.8776,150.1632,150.9566,1304125
2018-01-17,151.9881,152.7221,150.0243,150.2128,1469996
2018-01-18,150.7979,151.5269,150.4806,150.9666,1140937
2018-01-19,151.76,153.1783,151.2542,153.0196,1558779
2018-01-22,152.8014,154.1801,152.4543,154.1801,910714
2018-01-23,154.428,154.7454,152.5783,152.9899,842694
2018-01-24,153.0395,154.5867,151.9187,153.7238,1048429
2018-01-25,153.7238,153.9211,152.0247,152.9105,1228140
2018-01-26,153.2974,154.2694,152.4543,153.8925,1131286
2018-01-29,154.0115,155.2116,152.127,152.1964,1223368
2018-01-30,151.7501,153.2577,150.9864,152.0774,1506052
2018-01-31,151.6608,154.0512,151.6608,152.2262,2947732
2018-02-01,154.1305,157.7904,152.6031,157.6118,2357252
2018-02-02,158.8119,161.6684,157.6515,157.8102,3012924
2018-02-05,157.6912,159.4765,152.6229,152.7023,3687657
2018-02-06,151.9485,156.4712,148.1587,156.3621,4348375
2018-02-07,157.3738,160.6766,155.5687,158.6235,2725560
2018-02-08,158.9409,159.5558,151.6807,151.7898,2739621
2018-02-09,152.9998,156.6299,151.2552,155.5687,2623757
2018-02-12,156.0447,159.9724,155.9654,158.8219,1991376
2018-02-13,157.7011,159.8534,156.868,158.8516,1238334
2018-02-14,157.7705,161.2211,157.473,160.8254,1790133
2018-02-15,161.4403,163.8604,160.2898,163.7612,1595421
2018-02-16,163.3347,163.9992,160.4584,161.0535,1448953
2018-02-20,160.4088,163.3149,160.2032,162.0156,1435398
2018-02-21,161.7775,163.4636,160.4088,160.4584,1120472
2018-02-22,161.1328,162.0443,158.7227,159.2186,1224299
2018-02-23,159.8831,162.7396,159.8335,162.6801,972314
2018-02-26,163.176,165.5861,162.2635,165.5366,1214739
2018-02-27,165.8738,168.1351,165.1398,165.3283,1583557
2018-02-28,165.4175,167.4409,164.2721,164.8026,1619973
2018-03-01,165.0109,165.6258,159.9625,160.9345,1415414
2018-03-02,160.2402,165.0258,160.2402,164.9018,1605000
2018-03-05,163.9992,168.7402,163.5529,167.1136,1945960
2018-03-06,167.6888,168.9088,165.1001,168.2046,1610330
2018-03-07,166.6474,167.4508,164.6836,167.2028,1358081
2018-03-08,168.0095,168.5473,166.2566,167.7605,1559957
2018-03-09,169.0752,171.0127,168.124,170.7285,1949082
2018-03-12,170.4397,170.9576,167.1729,168.4975,1774813
2018-03-13,168.378,169.1748,163.5675,164.1452,2303991
2018-03-14,164.9818,165.3203,161.7349,162.2927,2255192
2018-03-15,162.3524,166.7048,160.1713,164.7228,2200402
2018-03-16,164.7328,166.2267,162.95,164.4539,7742237
2018-03-19,164.4041,164.9021,161.4361,162.8803,1381309
2018-03-20,163.6273,165.1511,163.3139,163.5177,964324
2018-03-21,163.6472,166.2935,162.97,163.8364,1186081
2018-03-22,162.8404,164.8423,159.0856,159.5139,1562884
2018-03-23,159.8426,160.9879,157.3427,157.4821,2120385
2018-03-26,159.235,161.9242,158.9263,161.0577,1936846
2018-03-27,161.1174,163.189,156.9642,158.3586,1835617
2018-03-28,158.3586,166.6849,155.799,158.1992,2043845
2018-03-29,157.8805,161.3465,156.048,161.0875,3926343
2018-04-02,160.968,160.968,154.7731,157.0638,1795380
2018-04-03,156.6256,160.3206,156.0978,159.9223,1932012
2018-04-04,157.3825,160.3904,156.4044,159.8426,1519830
2018-04-05,161.2569,163.448,160.1115,162.3325,1810133
2018-04-06,161.1772,161.3728,156.536,157.6216,1313788
2018-04-09,158.0797,161.7748,157.4722,158.5379,1449756
2018-04-10,160.3704,163.9161,160.2808,162.9301,1977605
2018-04-11,161.3664,161.8744,159.8426,160.6095,1301205
2018-04-12,161.7947,165.4997,161.3664,163.5476,1796644
2018-04-13,164.7129,164.7876,161.6453,162.7608,1025635
2018-04-16,164.2746,165.2606,163.3085,163.3583,1022357
2018-04-17,164.1352,165.9777,163.8963,164.0954,1589981
2018-04-18,164.2746,165.2208,163.0496,164.5336,1026414
2018-04-19,164.9519,165.8781,163.2488,163.8065,1336645
2018-04-20,164.5535,165.2407,162.3524,164.4141,1598099
2018-04-23,164.2946,164.6531,162.5317,163.5376,1342577
2018-04-24,164.3145,164.7427,159.6235,160.9481,1534560
2018-04-25,161.0975,161.456,159.2052,160.4302,1447492
2018-04-26,159.245,161.6254,154.9723,158.8068,3048841
2018-04-27,157.273,158.6663,155.0321,156.7252,1590707
2018-04-30,157.7311,159.9223,157.034,157.0439,1412935
2018-05-01,156.9244,157.7013,153.7772,155.8687,1962605
2018-05-02,155.8189,157.5618,155.0221,155.7492,1700543
2018-05-03,155.0719,157.761,153.2792,156.3866,2096993
2018-05-04,156.1774,159.6533,155.1217,158.5179,1406083
2018-05-07,158.7669,159.4341,157.7112,158.5777,1232005
2018-05-08,158.4184,159.0608,157.014,157.8208,1299063
2018-05-09,158.0996,161.1871,156.765,160.8186,1307283
2018-05-10,159.7928,160.3406,158.498,159.3147,1532538
2018-05-11,159.1852,159.3546,157.8606,158.6474,1194930
2018-05-14,159.2948,160.5497,157.8606,160.3804,1336084
2018-05-15,160.0816,160.719,158.6275,159.8027,1232121
2018-05-16,159.9521,160.3704,158.7221,160.0219,911163
2018-05-17,159.6832,160.2609,158.757,160.0517,1090938
2018-05-18,159.9721,160.231,158.6574,159.1354,1923827
2018-05-21,159.504,161.217,159.3645,160.729,982520
2018-05-22,160.6194,160.8087,158.1694,160.2111,1387525
2018-05-23,159.1852,159.5438,157.5021,159.4641,1026696
2018-05-24,158.0399,159.4741,156.5758,159.3645,1473301
2018-05-25,158.757,159.3446,157.8606,158.9562,1106706
2018-05-29,157.8307,158.8964,156.7152,158.0399,1862221
2018-05-30,158.9562,165.4697,158.0598,164.8224,2422471
2018-05-31,164.3742,165.1112,161.8445,162.2429,3657488
2018-06-01,163.7468,167.1231,163.1094,166.8542,1690453
2018-06-04,166.9936,169.7923,166.8442,169.613,1984823
2018-06-05,168.3979,170.101,168.3979,169.7724,2619253
2018-06-06,170.5193,173.6566,170.0313,172.8399,2257347
2018-06-07,173.49,173.76,170.803,171.74,1926915
