date,open,high,low,close,volume
2017-06-20,27.5809,27.6578,27.1676,27.3118,4119900
2017-06-21,27.2829,27.3694,26.8311,26.8984,2372673
2017-06-22,26.9176,27.1676,26.8599,27.0041,3050186
2017-06-23,26.9849,27.0907,26.8599,26.9657,2529327
2017-06-26,26.9849,27.2829,26.9561,27.2829,2761280
2017-06-27,27.1387,27.3406,26.9945,27.0907,3478197
2017-06-28,27.206,27.2252,26.7061,26.7542,2927448
2017-06-29,26.61,26.6484,26.2927,26.3985,3909777
2017-06-30,26.4081,26.5475,26.3168,26.3216,3194143
2017-07-03,26.4081,26.7734,26.3985,26.5138,2749688
2017-07-05,26.5619,26.6388,26.3312,26.3889,2501147
2017-07-06,26.312,26.3552,26.1582,26.2254,2649678
2017-07-07,26.2254,26.336,26.0716,26.2639,2063783
2017-07-10,26.2639,26.3216,26.187,26.2158,2413648
2017-07-11,26.2543,26.2639,25.9322,26.1101,2463327
2017-07-12,26.3408,26.5619,26.2927,26.4177,3148262
2017-07-13,26.3793,26.4658,26.163,26.3024,2517721
2017-07-14,26.4754,26.5908,26.3696,26.5523,2482428
2017-07-17,26.5523,26.7109,26.4369,26.6965,2796651
2017-07-18,26.7253,26.783,26.5908,26.7061,2654226
2017-07-19,26.7542,26.7542,26.4946,26.5619,3416068
2017-07-20,26.7061,27.0474,26.5283,26.9657,3752622
2017-07-21,26.9465,27.081,26.8695,27.0618,2173833
2017-07-24,27.0618,27.2445,26.9465,27.081,2890028
2017-07-25,27.1291,27.1964,26.783,26.8407,1657816
2017-07-26,26.8311,27.0234,26.783,26.9945,1795863
2017-07-27,26.9465,27.1195,26.9441,27.0426,2772719
2017-07-28,27.0426,27.1483,27.0041,27.0522,1833298
2017-07-31,27.1099,27.1339,26.9945,27.1003,3870430
2017-08-01,27.0618,27.206,26.7638,27.081,5069063
2017-08-02,27.0618,27.206,26.7638,27.081,5069163
2017-08-03,26.5715,27.4367,26.5427,27.3694,2869462
2017-08-04,27.3214,27.504,27.1916,27.4367,2701124
2017-08-07,27.4752,27.7299,27.4559,27.629,2867678
2017-08-08,27.5713,28.0135,27.5521,27.927,4919298
2017-08-09,28.0039,28.3116,27.903,27.9366,3691350
2017-08-10,27.9366,28.1722,27.8008,28.0039,3019540
2017-08-11,27.8886,27.9751,27.6386,27.7059,2026145
2017-08-14,28.014,28.2372,27.7714,27.9461,3577827
2017-08-15,27.849,28.0043,27.7908,27.9849,2497921
2017-08-16,27.9849,28.1256,27.917,28.0916,2789295
2017-08-17,28.0722,28.179,27.9073,27.917,2514593
2017-08-18,27.8782,28.373,27.849,28.1499,3520555
2017-08-21,28.1887,28.5089,28.1887,28.4119,2397037
2017-08-22,28.4507,28.6447,28.373,28.635,2408447
2017-08-23,28.6253,28.8631,28.5283,28.8485,1606076
2017-08-24,28.8194,28.8388,28.6447,28.7612,2072665
2017-08-25,28.9067,28.9844,28.7757,28.8485,1495872
2017-08-28,28.9164,29.062,28.7806,29.0426,1949806
2017-08-29,29.1105,29.2221,28.9067,29.0038,3252086
2017-08-30,28.9261,29.0038,28.6933,28.7806,2518580
2017-08-31,28.8097,28.8291,28.6835,28.7418,3481165
2017-09-01,28.8194,28.8534,28.635,28.7515,1941378
2017-09-05,28.8388,28.8485,28.6641,28.7418,2641070
2017-09-06,28.9261,28.9261,28.4895,28.5671,3406756
2017-09-07,28.6059,29.0862,28.5962,29.0717,3179439
2017-09-08,28.9747,29.1396,28.8485,29.1202,3076260
2017-09-11,29.1396,29.5472,29.0911,29.5472,2638729
2017-09-12,29.5181,29.5375,28.9747,29.0911,2970137
2017-09-13,29.0717,29.2755,29.0329,29.0523,3681105
2017-09-14,29.0329,29.29,28.897,29.2464,3753091
2017-09-15,29.2949,29.3968,29.2075,29.3725,5332092
2017-09-18,29.3919,29.4404,28.9358,29.0911,2239161
2017-09-19,29.159,29.1784,28.9747,29.0814,3556693
2017-09-20,29.159,29.2269,28.7321,28.8194,2274545
2017-09-21,28.8,28.9504,28.5477,28.6156,2836700
2017-09-22,28.703,28.703,28.3051,28.3342,2626025
2017-09-25,28.3536,28.8097,28.3051,28.7806,2800362
2017-09-26,28.6933,28.8485,28.4798,28.7612,3296386
2017-09-27,28.6253,28.7612,28.111,28.2178,3461730
2017-09-28,28.2081,28.3682,28.0431,28.2857,2937079
2017-09-29,28.3051,28.4021,28.2081,28.3439,2771613
2017-10-02,28.3827,28.4119,28.0334,28.1013,3035316
2017-10-03,28.1207,28.1207,27.752,27.9267,2140057
2017-10-04,27.9267,28.1499,27.8199,28.1304,2432971
2017-10-05,28.1304,28.2469,27.9558,28.1984,3087970
2017-10-06,28.0625,28.1304,27.9558,28.0237,2363410
2017-10-09,28.0528,28.1207,27.8393,27.8782,2737775
2017-10-10,27.9752,28.2711,27.8782,28.2566,2294411
2017-10-11,28.2857,28.6108,28.2857,28.441,2266639
2017-10-12,28.441,28.8873,28.3633,28.8388,4504450
2017-10-13,28.9552,29.0765,28.4798,28.4895,2650610
2017-10-16,28.3924,28.6835,28.3342,28.5865,2816525
2017-10-17,28.5574,28.6738,28.4021,28.6544,2240865
2017-10-18,28.635,28.9164,28.6059,28.703,2165872
2017-10-19,28.7321,28.8679,28.5962,28.8679,1874449
2017-10-20,28.8097,28.8679,28.6447,28.8194,1545326
2017-10-23,28.8194,28.8437,28.635,28.7903,2624026
2017-10-24,28.8,28.897,28.5865,28.7127,3425954
2017-10-25,28.5768,28.6156,28.2065,28.504,1601085
2017-10-26,28.635,28.8873,28.572,28.6156,2390736
2017-10-27,28.5089,28.8679,28.4216,28.8679,1603681
2017-10-30,28.8194,28.8582,28.5477,28.5962,2565527
2017-10-31,28.5477,28.766,28.4798,28.703,2495225
2017-11-01,28.8291,28.8873,28.5768,28.8291,3733316
2017-11-02,28.8291,28.9261,28.5671,28.8582,3326501
2017-11-03,27.7229,28.9747,27.3639,28.7127,3003782
2017-11-06,28.7224,28.9844,28.6108,28.8388,2011014
2017-11-07,28.8194,29.1008,28.8097,29.062,2565911
2017-11-08,29.0329,29.1493,28.9067,29.062,2137752
