date,open,high,low,close,volume
2017-06-20,242.751,245.8303,242.4411,242.731,256990
2017-06-21,243.1809,245.1504,242.3111,243.8007,268893
2017-06-22,243.9807,247.7398,243.2959,245.0005,499108
2017-06-23,245.6003,246.74,244.7605,246.1302,405469
2017-06-26,246.4901,248.4396,245.4703,246.7,266276
2017-06-27,245.6203,246.6301,243.1709,243.1909,396098
2017-06-28,244.8905,245.2404,241.5013,242.2911,495907
2017-06-29,240.9714,242.626,235.6877,237.0624,949143
2017-06-30,238.2121,241.1914,236.9602,239.3618,490142
2017-07-03,239.3618,239.8617,235.9627,236.3226,189349
2017-07-05,236.4225,238.492,234.493,237.9722,465427
2017-07-06,237.3923,239.1869,235.2278,236.1326,294007
2017-07-07,237.1224,243.2109,236.6925,242.671,586572
2017-07-10,242.2511,244.6055,240.8415,244.0807,710505
2017-07-11,244.2806,244.9505,242.5211,244.4706,438955
2017-07-12,245.3504,248.7695,244.5906,247.8498,511718
2017-07-13,248.3896,248.8895,243.8507,246.3901,494093
2017-07-14,246.9,251.9888,245.3904,250.2992,549153
2017-07-17,251.3789,252.7886,250.6591,251.9188,518284
2017-07-18,251.7788,253.2584,248.9895,253.1385,449785
2017-07-19,254.6782,256.358,254.2582,254.8681,355653
2017-07-20,254.8581,255.838,253.7683,253.9683,228796
2017-07-21,250.8686,251.7085,246.1692,248.3789,370535
2017-07-24,248.299,250.7287,247.4621,250.5887,252549
2017-07-25,250.7287,251.5286,247.959,250.7986,364672
2017-07-26,250.4587,250.5287,246.1292,246.9791,287679
2017-07-27,247.3491,247.589,243.6195,246.6092,295074
2017-07-28,246.0092,246.9591,244.3994,246.5692,216275
2017-07-31,246.9691,247.1491,242.9696,243.8395,455148
2017-08-01,244.8694,245.5893,242.7896,243.6895,140596
2017-08-02,245.4093,246.3192,241.1299,244.2395,296305
2017-08-03,244.0395,245.1594,243.1396,244.7494,260677
2017-08-04,244.8694,245.5893,242.7896,243.6895,140596
2017-08-07,243.9195,245.0094,242.7097,244.5994,262855
2017-08-08,244.5994,245.3393,243.0096,243.5596,148817
2017-08-09,242.9496,244.4794,242.3497,242.6797,237995
2017-08-10,241.2598,243.0796,239.1501,239.96,334091
2017-08-11,241.2598,242.1397,239.4701,240.8899,286217
2017-08-14,243.8395,243.9795,242.2397,243.2496,430727
2017-08-15,243.6895,244.1495,241.4598,242.8896,412995
2017-08-16,243.0496,245.1694,242.4797,244.5394,303595
2017-08-17,244.2795,246.6192,243.2396,245.1494,360857
2017-08-18,245.7193,246.8891,244.4694,245.0194,896479
2017-08-21,245.1594,247.869,244.8294,247.669,298810
2017-08-22,247.3191,250.3387,246.9491,249.0889,513826
2017-08-23,248.129,250.1187,246.0642,246.3292,233262
2017-08-24,246.9991,247.5441,245.3893,245.6293,158349
2017-08-25,246.5792,248.7589,246.0992,246.2992,259818
2017-08-28,247.2191,248.189,245.9792,247.599,288490
2017-08-29,247.1191,247.859,244.1445,246.1192,567392
2017-08-30,246.5192,248.279,245.4393,246.0792,443610
2017-08-31,245.8793,251.4386,245.8793,250.7986,594524
2017-09-01,244.9694,244.9694,234.5907,236.1505,1026728
2017-09-05,236.2205,240.0,235.6705,239.88,650265
2017-09-06,240.4399,241.7898,237.5903,241.1099,544650
2017-09-07,241.4698,245.0194,240.35,244.7794,487717
2017-09-08,244.7894,252.0185,244.3095,251.4486,577385
2017-09-11,252.7784,253.9583,251.3786,253.3583,418758
2017-09-12,253.3583,254.4482,246.5292,249.9987,992297
2017-09-13,249.6188,249.6188,246.3392,246.5692,319958
2017-09-14,246.2292,247.0181,244.2245,247.0091,423908
2017-09-15,247.739,247.979,244.7294,245.1793,862709
2017-09-18,245.6493,249.7188,243.6595,249.0789,501191
2017-09-19,248.7989,248.7989,235.6455,235.9605,1168332
2017-09-20,236.4704,239.3701,232.7709,236.0805,736244
2017-09-21,235.9705,235.9705,231.4811,232.3809,636793
2017-09-22,232.9309,240.6499,230.6612,239.74,1196838
2017-09-25,238.9501,241.1249,237.3103,239.82,519586
2017-09-26,239.1601,240.5999,235.3206,235.8205,380244
2017-09-27,235.8205,236.5854,233.6308,235.3906,414208
2017-09-28,235.6205,235.8305,231.2611,231.5711,436533
2017-09-29,231.1311,237.2703,230.7425,237.0804,484079
2017-10-02,237.8703,240.6099,236.2105,240.5299,434613
2017-10-03,239.99,241.9797,238.3002,240.09,423165
2017-10-04,239.78,242.2197,239.78,240.9999,433443
2017-10-05,241.3198,242.0697,239.2101,241.6398,241890
2017-10-06,241.2798,242.5897,240.02,241.2998,305294
2017-10-09,240.5899,240.9699,235.4806,236.5904,399944
2017-10-10,236.5504,236.5504,233.4708,233.9408,344697
2017-10-11,233.3408,237.5603,233.3408,237.4903,357060
2017-10-12,237.3503,238.8351,236.7504,237.6403,481972
2017-10-13,236.8204,236.8204,235.0706,235.9705,310793
2017-10-16,235.8505,237.7203,235.8505,236.9204,399569
2017-10-17,237.7703,238.1601,235.4906,235.9505,551549
2017-10-18,236.5204,237.2903,235.0606,235.7505,723547
