date,open,high,low,close,volume
2017-06-08,42.3649,42.9427,42.1299,42.1788,9179469
2017-06-09,42.2082,44.0101,42.1788,43.8926,10412891
2017-06-12,44.3137,45.0874,44.3137,44.774,13550427
2017-06-13,44.774,45.6945,44.6614,45.4693,8600990
2017-06-14,45.1069,45.1559,44.255,44.4802,7069584
2017-06-15,44.4214,44.9013,43.971,44.4508,9672482
2017-06-16,44.8719,45.7043,44.6663,45.5672,11639633
2017-06-19,45.577,45.7484,45.2636,45.4007,6029930
2017-06-20,44.4704,45.0874,44.3627,44.8719,7739608
2017-06-21,44.8719,45.2636,43.7359,44.0199,10790296
2017-06-22,44.0591,44.4459,43.6674,43.8828,8881258
2017-06-23,43.8632,44.3742,43.5498,43.9024,8483067
2017-06-26,44.0003,44.0297,43.1483,43.3148,9047467
2017-06-27,43.5988,43.7065,43.0455,43.0602,8697137
2017-06-28,43.1385,43.4176,42.8154,43.0504,6983467
2017-06-29,43.1483,43.7359,43.07,43.1679,8252374
2017-06-30,43.4715,43.6576,42.7958,43.0504,9126700
2017-07-03,43.2952,44.8817,43.2756,44.7152,5742946
2017-07-05,44.3333,44.5096,42.8545,43.2463,7725531
2017-07-06,43.2365,43.3932,42.3257,42.4139,7155511
2017-07-07,42.2278,42.3845,41.6206,42.1103,8494201
2017-07-10,41.9438,42.5754,41.886,42.3453,5631887
2017-07-11,42.3551,42.7566,42.0319,42.453,5782632
2017-07-12,42.9133,43.0896,42.0417,42.3453,7907945
2017-07-13,42.3257,42.5705,42.0123,42.3551,7014058
2017-07-14,42.4236,42.8741,42.3747,42.551,5467315
2017-07-17,42.4139,42.6195,42.2026,42.2963,7014739
2017-07-18,42.551,42.551,41.9144,42.1788,6835544
2017-07-19,42.0613,42.8447,42.0515,42.7566,8822991
2017-07-20,43.136,43.1882,42.466,42.5941,7662952
2017-07-21,42.328,42.5251,41.9438,42.0226,6480573
2017-07-24,42.1014,42.328,41.9142,41.9832,6094053
2017-07-25,42.7123,43.3133,42.5941,43.0079,8641099
2017-07-26,43.264,43.7271,42.9389,43.0571,7124499
2017-07-27,43.6877,44.003,43.1733,44.003,9803115
2017-07-28,44.072,45.2642,43.9636,44.5942,10794866
2017-07-31,44.6632,45.1903,44.5351,44.7026,8368364
2017-08-01,44.6632,44.6632,43.9636,44.0917,6685144
2017-08-02,43.737,44.9538,43.6188,44.939,9562266
2017-08-03,44.9686,45.274,44.0178,44.2493,9204093
2017-08-04,44.2789,44.9193,44.2001,44.8898,6105578
2017-08-07,44.604,44.811,44.1705,44.5055,6370292
2017-08-08,44.4858,45.4317,44.338,44.9587,8032084
2017-08-09,45.1164,45.3233,44.7026,44.9785,7451119
2017-08-10,45.008,45.274,44.269,44.3085,6441371
2017-08-11,44.2986,44.7124,44.0129,44.1311,4206885
2017-08-14,44.141,44.4267,43.7468,43.8848,5063053
2017-08-15,43.7863,44.0424,43.402,43.8454,8179287
2017-08-16,43.934,44.003,42.8699,43.0473,5795806
2017-08-17,42.8601,43.2148,42.328,42.3674,6422495
2017-08-18,42.328,42.9192,41.8883,42.4758,7310360
