date,open,high,low,close,volume
2017-06-20,163.5683,163.5683,160.5342,160.9987,7337590
2017-06-21,161.5818,161.8585,160.8504,161.2458,3421726
2017-06-22,161.2655,161.394,157.1541,157.925,8043063
2017-06-23,157.5395,157.9349,154.7327,155.296,9506672
2017-06-26,156.3041,159.111,156.2547,158.3302,6473925
2017-06-27,158.7848,159.6644,157.3419,157.4012,5533814
2017-06-28,157.7273,158.6267,157.6384,158.3006,3234405
2017-06-29,158.3401,158.5971,155.9582,156.8279,3664213
2017-06-30,157.7372,158.6652,156.9367,158.0634,4755064
2017-07-03,158.3401,158.6564,156.8378,156.9663,1995074
2017-07-05,157.075,157.6384,156.0175,156.1756,3770401
2017-07-06,159.2296,159.4668,155.217,155.2565,6963416
2017-07-07,155.5234,155.7111,152.2915,152.3113,7688368
2017-07-10,151.7183,151.8072,149.198,149.2376,8999843
2017-07-11,149.6823,151.3032,149.1684,149.3463,6275636
2017-07-12,149.6922,151.1154,149.6527,149.9788,5112183
2017-07-13,151.4416,152.1314,150.8387,151.8072,5673513
2017-07-14,152.4595,152.4694,151.1154,151.2142,4368387
2017-07-17,151.2142,151.6491,150.7398,151.0561,3096922
2017-07-18,150.8288,151.0561,149.1743,149.7317,3256881
2017-07-19,150.0381,150.384,149.1388,149.4748,4099995
2017-07-20,149.7021,150.4137,149.119,149.2277,3207388
2017-07-21,149.1783,149.4649,148.2493,148.6841,4078020
2017-07-24,148.694,149.7021,148.358,149.2376,3655550
2017-07-25,149.6428,151.906,149.6329,151.3823,4605705
2017-07-26,151.6195,151.7084,149.7812,150.3149,3017166
2017-07-27,150.2358,151.1994,149.6724,150.7398,3637864
2017-07-28,150.8881,151.5107,150.3346,151.1055,2779452
2017-07-31,151.2933,156.8082,151.2439,156.6599,6937092
2017-08-01,154.6734,155.7408,153.5269,155.1181,2612545
2017-08-02,157.2727,159.6644,156.5907,159.3976,5486333
2017-08-03,159.7237,160.4551,155.2269,156.0669,5562577
2017-08-04,156.4919,156.5898,154.0112,154.6141,3117944
2017-08-07,154.6734,155.7408,153.5269,155.1181,2629519
2017-08-08,155.2664,157.5791,155.1972,155.9088,2569248
2017-08-09,155.3059,155.7309,154.3769,155.0292,2157557
2017-08-10,154.3472,155.7309,153.5566,154.8118,2764579
2017-08-11,154.6833,155.9582,154.5844,154.8216,1886996
2017-08-14,155.7507,156.3535,154.7129,156.0669,2028894
2017-08-15,156.1559,156.5344,154.957,155.049,1869104
2017-08-16,155.9413,158.5191,155.7727,158.4002,3381849
2017-08-17,157.1311,158.5885,156.2977,157.2203,2649982
2017-08-18,156.6353,157.3393,155.5843,155.743,2747925
2017-08-21,155.852,156.8237,154.6275,155.7331,1857308
2017-08-22,156.1891,158.0928,156.1891,157.3492,2204553
2017-08-23,157.2699,158.0829,156.437,158.0135,1731439
2017-08-24,158.6381,159.2925,149.804,150.0419,10301697
2017-08-25,151.0731,151.6382,148.7827,151.1524,5703470
2017-08-28,150.6071,151.9753,149.913,151.2515,3776438
2017-08-29,151.083,152.6793,150.1708,152.2529,2446201
2017-08-30,152.4017,153.4229,151.5787,153.1254,2493492
2017-08-31,154.8903,155.9214,152.6396,155.4059,4567709
2017-09-01,156.2486,157.2005,155.862,156.8931,2833724
2017-09-05,156.6155,158.3605,156.1297,157.7854,3414549
2017-09-06,157.835,158.5786,156.7444,157.5078,2873710
2017-09-07,157.6169,158.2415,156.2298,157.9242,2479292
2017-09-08,157.022,157.1509,153.7104,155.971,3364570
