date,open,high,low,close,volume
2017-06-08,18.3067,18.4231,17.8799,17.9381,6031432
2017-06-09,18.0642,18.2291,17.9284,18.1806,4075049
2017-06-12,18.2,19.0731,18.1903,18.7239,5651045
2017-06-13,18.7239,18.7724,18.4037,18.7627,3712077
2017-06-14,18.8403,18.8985,18.6075,18.6366,5050222
2017-06-15,18.6075,18.7239,18.3649,18.4328,3654751
2017-06-16,18.4328,18.5299,18.2631,18.4813,4211945
2017-06-19,18.5202,18.8403,18.4813,18.7336,5472868
2017-06-20,18.6948,18.7918,18.4619,18.491,4936340
2017-06-21,18.5396,18.5541,18.2582,18.4134,3578829
2017-06-22,18.4231,18.6414,18.1806,18.5104,2748569
2017-06-23,18.5104,18.656,18.3948,18.5687,6348987
2017-06-26,18.5687,18.6657,18.5202,18.6269,1996630
2017-06-27,18.5687,18.6075,18.2582,18.2582,3759282
2017-06-28,18.3843,18.5202,18.2388,18.2485,2918617
2017-06-29,18.2679,18.3552,17.9866,18.3358,4761059
2017-06-30,18.4037,18.5109,18.1612,18.2,4057738
2017-07-03,18.2485,18.6754,18.2,18.5687,1524636
2017-07-05,18.5299,18.6657,18.1903,18.297,2589599
2017-07-06,18.2291,18.3116,18.0739,18.2291,5870441
2017-07-07,18.3067,18.4619,18.1854,18.2291,5807380
2017-07-10,18.2582,18.3213,17.8022,17.8799,3569325
2017-07-11,17.8508,17.8799,17.5791,17.6761,5823938
2017-07-12,17.8022,17.8508,17.5015,17.6082,3253658
2017-07-13,17.5985,17.7925,17.5306,17.7149,2163151
2017-07-14,17.7828,17.8605,17.7343,17.8313,3766793
2017-07-17,17.8119,18.006,17.7004,17.8896,3279799
2017-07-18,17.8702,18.0836,17.8313,17.9478,2720734
2017-07-19,17.9284,18.1612,17.9284,18.1418,2170681
2017-07-20,18.2291,18.394,18.0934,18.3261,3046194
2017-07-21,18.2873,18.3843,18.2388,18.3552,2223695
2017-07-24,18.3843,18.6366,18.2873,18.6075,4870649
2017-07-25,18.6463,19.2284,18.6075,18.947,4167704
