date,open,high,low,close,volume
2017-06-08,55.6996,55.7772,54.9233,54.9815,1236787
2017-06-09,55.03,55.1076,54.7292,54.865,1302962
2017-06-12,54.8165,55.4084,54.7195,55.2047,1305098
2017-06-13,55.2241,55.3599,54.7098,55.2823,734166
2017-06-14,55.5637,55.7675,55.1756,55.3017,1107747
2017-06-15,55.2144,55.3696,54.9136,55.2726,1008527
2017-06-16,55.0009,55.0009,53.2736,53.4192,2618182
2017-06-19,53.6812,53.6812,52.8758,53.196,2248909
2017-06-20,53.1766,53.4289,52.8564,53.0504,1739183
2017-06-21,53.1281,53.1669,52.3518,52.4973,1659216
2017-06-22,52.7108,52.9049,52.3032,52.3518,1661873
2017-06-23,52.3809,52.5555,51.9345,51.9927,2576769
2017-06-26,52.1771,52.5361,52.0034,52.1965,951951
2017-06-27,51.9151,52.1286,51.1776,51.3135,1684226
2017-06-28,51.6725,51.9054,51.129,51.3232,1365677
2017-06-29,51.2164,51.7404,50.1102,50.4498,2844475
2017-06-30,50.5566,51.0903,50.4692,50.6051,1787888
2017-07-03,50.7506,51.0903,50.6148,50.6439,1066221
2017-07-05,50.5857,50.935,50.314,50.4595,2127699
2017-07-06,50.2655,50.6924,50.0908,50.149,2150851
2017-07-07,50.2557,50.5469,50.023,50.052,1475597
2017-07-10,50.1587,50.2363,49.4309,49.4503,1906664
2017-07-11,49.8119,50.105,49.4601,49.9389,2252273
2017-07-12,50.2027,50.6766,50.0863,50.2125,1705019
2017-07-13,50.2125,50.5056,50.0464,50.1734,1161227
2017-07-14,50.3492,50.6033,50.3004,50.5447,1236336
2017-07-17,50.574,50.7129,50.4812,50.6033,1162106
2017-07-18,50.5056,50.6619,49.8021,49.8216,2067302
2017-07-19,50.1245,51.5804,50.0561,51.3654,2677355
2017-07-20,51.1602,51.1895,50.4079,50.7303,1613747
2017-07-21,50.6228,50.828,50.3981,50.8085,1078292
2017-07-24,50.8182,50.9941,50.4763,50.8182,1125880
2017-07-25,50.9648,51.4338,50.8476,51.3263,1474327
2017-07-26,51.4143,51.5218,51.17,51.4045,1222224
2017-07-27,51.3654,51.854,51.2775,51.854,987433
2017-07-28,51.7856,51.854,51.4827,51.639,854883
2017-07-31,51.5022,51.6879,51.1993,51.6195,1049567
2017-08-01,51.297,51.7465,50.8769,51.5022,1498212
2017-08-02,51.297,51.7465,50.8769,51.5022,1498271
2017-08-03,51.5413,52.0494,51.4143,51.7953,1468098
2017-08-04,51.7758,52.1715,51.7758,51.9614,1324317
2017-08-07,51.8637,52.2253,51.7758,52.0201,1323008
2017-08-08,51.8149,52.1471,51.5999,52.0298,1411141
2017-08-09,52.0103,52.3718,51.8637,51.9908,1667464
2017-08-10,51.8344,52.1862,51.6683,52.0298,1290232
2017-08-11,52.0005,52.6161,51.9419,52.3816,1480518
2017-08-14,52.5965,52.8994,52.4011,52.6161,850172
2017-08-15,52.6259,52.7333,52.3816,52.4988,608146
2017-08-16,52.4988,52.7724,52.4988,52.7529,626835
2017-08-17,52.5281,53.0261,52.4171,52.7236,856035
2017-08-18,52.6356,52.7138,52.1569,52.4598,1523034
2017-08-21,52.6063,52.831,52.4011,52.5868,1247510
2017-08-22,52.5575,52.8115,52.3327,52.7627,1228769
2017-08-23,52.704,53.1242,52.5682,52.9483,1984017
2017-08-24,52.7138,52.7187,51.1114,51.2775,2586962
2017-08-25,51.4631,51.4973,50.2222,50.2222,3719945
2017-08-28,50.3395,50.4079,49.1777,49.5774,3410673
2017-08-29,49.6457,49.9584,49.5285,49.6457,2419918
2017-08-30,49.5774,49.8314,49.0302,49.0986,4388555
2017-08-31,45.9133,47.2714,45.1414,45.1414,8726938
2017-09-01,45.3661,45.4736,44.2571,44.3597,5639465
2017-09-05,44.3109,45.6104,44.2727,45.6006,4799312
2017-09-06,45.669,46.4604,45.3954,46.4409,3741812
2017-09-07,46.48,46.8317,45.9133,46.3041,3733304
2017-09-08,46.2455,47.1688,46.0403,46.822,2871376
2017-09-11,46.8415,47.2812,46.6168,46.6363,2184343
2017-09-12,46.6656,47.0174,46.2113,46.2943,2571356
2017-09-13,46.2943,46.822,46.1771,46.5972,1540084
2017-09-14,46.607,46.7829,46.4409,46.6559,1454268
2017-09-15,46.6656,47.6232,46.6656,47.6134,3905234
2017-09-18,47.5059,47.6134,46.9099,46.9685,2311919
