date,open,high,low,close,volume
2017-06-20,129.9574,129.9574,128.4044,128.6616,319263
2017-06-21,128.5825,128.7848,127.5043,128.2066,298711
2017-06-22,128.3253,128.3253,127.6724,127.7615,306916
2017-06-23,127.9098,128.8792,127.6329,128.0087,373760
2017-06-26,128.6023,129.0672,127.7318,128.0978,190028
2017-06-27,126.614,127.4647,124.3785,124.4576,629865
2017-06-28,125.4567,126.1392,124.4477,125.3874,334939
2017-06-29,125.1303,125.1303,122.2913,123.0035,454722
2017-06-30,123.9433,125.1599,123.7306,124.6752,468392
2017-07-03,125.3973,125.7337,124.5763,124.6258,276153
2017-07-05,124.7247,126.8712,124.1015,124.7544,730568
2017-07-06,124.0521,124.1213,122.0836,122.3903,610287
2017-07-07,122.6969,125.2588,122.6969,124.7643,511566
2017-07-10,124.4378,125.615,124.1114,125.1698,546127
2017-07-11,124.6555,125.0907,123.4939,124.4675,337308
2017-07-12,125.5754,126.0601,125.0313,125.7831,309057
2017-07-13,125.9711,126.497,124.4279,125.1006,284487
2017-07-14,125.3677,125.5556,124.9027,125.061,430604
2017-07-17,125.0116,125.2193,124.2375,124.8236,390181
2017-07-18,124.8038,124.9423,123.9828,124.062,339188
2017-07-19,124.2598,124.7939,123.696,124.7148,485065
2017-07-20,125.1797,125.5754,124.0026,125.4072,496475
2017-07-21,129.8189,137.8807,129.7101,136.9311,2341315
2017-07-24,136.8915,137.7422,135.0111,136.6937,1116244
2017-07-25,137.1982,137.1982,135.2297,135.8133,823512
2017-07-26,135.7243,136.4711,135.2099,135.6254,523236
2017-07-27,135.5561,135.5561,133.7361,134.3493,629696
2017-07-28,134.3691,134.8439,133.6371,134.1416,570165
2017-07-31,134.2306,134.4285,133.0832,133.3898,640657
2017-08-01,136.209,138.2269,132.8953,134.0526,592007
2017-08-02,133.647,134.1218,132.3215,133.5382,660381
2017-08-03,133.5679,134.1218,132.2127,132.6875,484713
2017-08-04,133.1821,133.8152,132.0347,133.5382,355769
2017-08-07,133.38,133.8943,132.7024,132.9942,443268
2017-08-08,132.9447,133.4888,131.6291,131.9457,762798
2017-08-09,131.8171,132.282,131.095,131.8566,552776
2017-08-10,131.4313,131.6489,129.265,129.3936,704440
2017-08-11,129.8981,130.3036,128.6814,128.9188,474633
2017-08-14,129.9772,131.8962,129.7794,131.5104,400564
