date,open,high,low,close,volume
2017-06-20,115.16,117.06,112.73,115.93,1670765
2017-06-21,114.83,116.67,113.18,114.79,1240638
2017-06-22,114.91,116.25,113.59,113.88,1011183
2017-06-23,113.62,116.62,113.62,116.48,1476700
2017-06-26,116.83,118.0,115.68,115.91,976222
2017-06-27,116.49,118.7499,116.39,117.01,1444741
2017-06-28,117.12,119.22,116.62,118.11,1108165
2017-06-29,118.27,121.64,118.27,120.64,1494037
2017-06-30,120.64,122.59,119.42,121.53,1673694
2017-07-03,122.51,124.58,122.0,124.24,723577
2017-07-05,122.96,123.17,121.085,122.19,1414744
2017-07-06,122.76,124.22,121.6,121.77,1840107
2017-07-07,120.98,121.3,118.23,120.75,1114316
2017-07-10,120.02,122.37,120.01,121.57,1259130
2017-07-11,121.67,123.81,120.63,123.57,898781
2017-07-12,125.0,126.09,122.6314,123.04,934121
2017-07-13,122.79,123.835,122.27,123.66,657660
2017-07-14,123.93,125.22,123.82,124.79,752021
2017-07-17,124.25,126.48,124.06,126.02,1202618
2017-07-18,127.16,127.31,123.66,124.38,842514
2017-07-19,124.07,127.89,124.07,127.64,956503
2017-07-20,128.35,129.21,126.13,126.47,927177
2017-07-21,126.46,127.29,125.4841,127.2,1128900
2017-07-24,127.34,128.96,127.045,128.38,1191463
2017-07-25,129.82,133.82,129.82,131.7,1592693
2017-07-26,132.62,134.03,131.46,132.06,870367
2017-07-27,132.0,133.15,131.2,132.1,974997
2017-07-28,132.14,132.985,129.96,130.56,1321122
2017-07-31,130.5,131.092,129.2,130.26,1133193
2017-08-01,129.98,131.16,129.06,130.76,1126788
2017-08-02,129.05,131.28,125.69,128.66,1782094
2017-08-03,125.98,125.98,114.611,117.46,5816706
2017-08-04,117.46,121.6,116.23,118.73,2829060
2017-08-07,118.51,118.51,114.87,116.16,1797936
2017-08-08,115.51,118.74,115.43,117.92,2098848
2017-08-09,118.82,119.91,118.05,118.82,1683446
2017-08-10,119.06,120.34,115.99,116.09,1510780
2017-08-11,116.35,117.04,114.11,115.41,1088076
2017-08-14,115.7,115.89,113.02,113.11,1356061
2017-08-15,112.87,113.16,110.05,111.08,1832425
2017-08-16,111.25,112.26,109.98,110.55,1419973
2017-08-17,109.88,111.4,107.84,108.05,1087813
2017-08-18,108.2,110.57,107.95,108.52,995142
2017-08-21,108.16,108.88,107.73,108.5,1206500
2017-08-22,108.98,110.145,108.51,109.42,657549
2017-08-23,109.12,110.99,108.69,110.04,608445
2017-08-24,109.53,110.26,108.85,110.0,722936
2017-08-25,110.37,110.8899,109.36,109.44,680471
2017-08-28,109.49,109.72,107.21,108.94,764187
2017-08-29,108.15,108.82,106.73,108.47,700452
2017-08-30,107.88,109.14,107.105,108.76,623973
2017-08-31,109.57,111.66,108.85,110.97,1291586
2017-09-01,111.27,112.48,110.16,111.79,792916
2017-09-05,112.58,114.18,112.26,113.53,1253502
2017-09-06,114.66,116.3,114.26,115.0,1329312
2017-09-07,114.8,115.41,112.53,115.21,1156198
2017-09-08,114.74,114.8,110.68,112.07,1230097
2017-09-11,112.16,114.25,112.08,114.16,915989
2017-09-12,114.45,117.3,114.055,115.62,1029981
2017-09-13,116.04,120.0,115.49,119.64,1771609
2017-09-14,120.24,122.88,119.75,121.78,1843679
2017-09-15,121.79,123.0,121.23,122.84,1385456
2017-09-18,122.84,124.0,121.71,123.05,1008513
2017-09-19,123.47,123.86,121.45,122.53,942726
2017-09-20,123.0,124.9,122.55,124.78,1199555
2017-09-21,124.73,126.69,124.1901,126.3,881486
2017-09-22,125.58,127.53,125.58,127.06,849171
2017-09-25,128.16,130.14,127.7301,129.93,1239711
2017-09-26,129.43,131.09,129.3,130.69,829669
2017-09-27,131.17,132.35,130.12,132.25,931523
2017-09-28,132.25,133.68,130.9,131.85,1366881
2017-09-29,131.26,132.45,130.67,131.72,1009918
2017-10-02,129.81,135.465,128.87,135.32,1295514
2017-10-03,135.0,136.39,134.3,135.39,916179
2017-10-04,135.94,136.82,134.65,135.22,797743
2017-10-05,135.89,136.53,135.06,135.7,564254
2017-10-06,134.08,135.49,133.76,134.91,779421
2017-10-09,135.05,135.35,133.93,134.96,511279
2017-10-10,136.62,137.28,134.74,135.08,1066003
2017-10-11,135.0,136.34,133.54,135.67,699157
2017-10-12,133.86,135.08,132.6,135.0,1058763
2017-10-13,136.5,136.62,133.21,133.39,860788
2017-10-16,134.32,134.89,132.38,133.27,1336678
2017-10-17,133.29,134.14,131.84,133.42,854454
2017-10-18,133.59,135.0,132.8,133.06,598954
2017-10-19,132.08,133.4,131.74,132.26,685446
2017-10-20,132.72,134.59,131.89,134.11,853310
2017-10-23,134.26,134.375,131.62,131.7,962156
2017-10-24,132.79,132.96,130.38,130.66,1227100
2017-10-25,130.08,131.2,129.27,130.56,969300
2017-10-26,130.9,130.965,128.86,130.12,806593
2017-10-27,129.31,133.67,129.13,132.37,1918848
2017-10-30,132.32,134.75,132.07,132.8,1332372
2017-10-31,132.73,134.88,132.235,134.21,1182623
2017-11-01,139.84,144.89,136.57,140.26,2521806
2017-11-02,139.81,140.5,138.23,139.98,1498995
2017-11-03,140.41,144.39,139.68,142.85,1796341
2017-11-06,143.26,147.12,143.1708,146.62,1547876
2017-11-07,146.83,147.77,145.45,146.71,1505522
2017-11-08,146.38,146.38,143.22,145.06,1487454
2017-11-09,144.41,145.94,143.725,144.43,939666
2017-11-10,144.31,145.06,142.51,143.21,830751
2017-11-13,142.55,144.3,141.32,142.41,865272
2017-11-14,141.61,142.27,139.375,140.46,1163753
2017-11-15,138.69,140.2,137.09,138.16,1188523
2017-11-16,138.47,138.92,137.2,138.24,695128
2017-11-17,138.56,139.85,137.95,138.65,533377
2017-11-20,138.21,139.78,137.01,139.03,726049
2017-11-21,139.22,140.85,139.02,139.63,975944
2017-11-22,140.85,141.4334,139.56,140.29,936269
2017-11-24,141.35,141.64,140.41,140.58,374991
2017-11-27,139.72,140.34,137.79,138.42,1456347
2017-11-28,138.53,138.97,137.27,137.78,753024
2017-11-29,137.69,138.9,136.1989,137.51,1086178
2017-11-30,138.14,141.38,137.99,139.86,1397949
2017-12-01,140.92,144.42,140.35,141.46,1426199
2017-12-04,141.09,141.41,139.01,139.19,915284
2017-12-05,139.09,141.2,137.99,138.31,802227
2017-12-06,137.96,138.41,135.66,135.97,964534
2017-12-07,136.63,138.76,135.44,138.21,1110723
2017-12-08,139.45,141.665,138.81,140.21,743606
2017-12-11,140.47,142.11,140.07,141.15,906492
2017-12-12,141.46,141.46,138.9401,139.5,814341
2017-12-13,139.45,140.17,138.13,138.29,856644
2017-12-14,138.04,139.09,136.7,136.8,738920
2017-12-15,137.18,138.02,136.0,136.4,1343248
2017-12-18,136.35,139.06,135.88,138.51,946656
2017-12-19,138.96,140.58,138.47,140.31,962884
2017-12-20,140.75,147.0,140.28,146.81,1462563
2017-12-21,146.55,151.02,145.4,149.83,1957412
2017-12-22,149.98,152.6699,149.33,151.77,1165866
2017-12-26,152.52,155.05,151.12,153.92,1152217
2017-12-27,153.69,154.13,150.04,151.03,1035144
2017-12-28,151.03,151.91,150.25,151.33,876689
2017-12-29,152.38,152.95,149.2,150.22,888934
