date,open,high,low,close,volume
2017-06-20,124.4272,124.8693,123.8474,123.8474,2204298
2017-06-21,124.1029,124.2012,121.9706,122.6093,1850730
2017-06-22,122.8059,123.0908,121.3614,121.7053,1979902
2017-06-23,121.6562,122.3047,121.2042,121.4499,7209789
2017-06-26,122.01,122.3539,120.1135,121.2042,1714428
2017-06-27,121.784,122.1033,119.8187,119.8777,1466351
2017-06-28,120.7269,122.1192,119.9863,121.9217,2375125
2017-06-29,121.8329,121.8672,119.4037,120.3813,1817760
2017-06-30,121.0528,122.7808,120.7269,122.0402,2305572
2017-07-03,122.6327,123.9263,122.2377,123.3832,1681918
2017-07-05,123.1857,124.2916,122.5537,124.025,2293031
2017-07-06,123.7189,123.8967,123.1264,123.5214,1851906
2017-07-07,123.5609,125.2297,123.4819,125.052,1584569
2017-07-10,125.1211,126.8887,125.0816,126.5332,3103879
2017-07-11,126.4048,127.1849,125.7235,126.4542,1834768
2017-07-12,127.1849,127.3824,121.9119,121.9316,4848240
2017-07-13,122.0402,123.4819,121.7045,122.8598,2894814
2017-07-14,122.9586,124.2028,122.7117,123.8967,1776971
2017-07-17,123.8868,124.4398,123.4424,124.3015,1573384
2017-07-18,124.3114,124.8545,123.7683,124.5089,1869390
2017-07-19,124.7656,125.1507,124.2719,124.7261,1474278
2017-07-20,124.6669,125.131,123.7782,124.025,2074141
2017-07-21,123.1758,124.5188,123.0474,124.1732,1455787
2017-07-24,124.341,125.0619,124.1238,124.9631,1291182
2017-07-25,126.3258,127.1355,125.2199,126.2962,2127964
2017-07-26,126.4443,126.5727,125.4075,126.2172,1959293
2017-07-27,126.5332,126.9183,125.7235,126.8294,1472945
2017-07-28,126.8294,127.4021,126.4542,127.2935,1261212
2017-07-31,127.3034,127.9156,126.5431,126.6714,1281264
2017-08-01,127.9847,128.3205,127.4861,128.123,1212492
2017-08-02,127.4318,127.7873,126.6912,127.3626,1512955
2017-08-03,127.3231,128.0341,127.2244,127.886,1657569
2017-08-04,127.9847,128.3205,127.4861,128.123,1214842
2017-08-07,128.5476,128.8636,128.0341,128.3304,1535249
2017-08-08,128.123,130.562,128.123,130.3645,3955080
2017-08-09,129.6536,130.8385,129.5351,130.7496,1394165
2017-08-10,130.6015,130.6015,126.1382,126.1777,2991505
2017-08-11,126.3258,126.8985,124.9039,125.1112,2305693
2017-08-14,126.5036,127.5492,126.2764,126.9578,2146499
2017-08-15,125.2001,126.4739,124.5484,125.5852,2158282
2017-08-16,126.2073,126.3752,124.894,125.0421,1919387
2017-08-17,124.9039,125.447,122.0501,122.4253,4123346
2017-08-18,113.9826,116.9252,111.4547,115.839,11364628
2017-08-21,115.997,116.9054,114.575,115.0589,4809147
2017-08-22,115.5032,116.0464,114.9305,116.0069,3052646
2017-08-23,115.5822,115.6612,114.496,114.9898,2778190
2017-08-24,115.1774,115.1774,113.7949,113.9924,2738712
2017-08-25,114.6244,114.8021,113.6172,114.3874,1861059
2017-08-28,114.9799,115.0688,113.6666,114.5059,1471488
2017-08-29,113.558,114.4862,113.0938,114.4368,2578263
2017-08-30,113.9727,114.1899,113.5185,114.0418,1809757
2017-08-31,114.496,114.9799,113.5876,114.4763,2067730
2017-09-01,114.5257,115.1971,113.9628,114.6837,1815454
2017-09-05,114.5652,115.681,113.8542,114.0813,3236047
2017-09-06,114.3973,115.3255,113.6863,114.7627,3147915
2017-09-07,114.733,115.2959,113.321,114.8713,2881397
2017-09-08,114.7034,116.4413,114.4467,115.8291,3000624
2017-09-11,116.9844,117.1029,115.5032,116.4512,2759642
2017-09-12,117.0239,117.7547,115.286,115.7896,3726260
2017-09-13,115.6909,116.4759,115.2564,115.8982,2562119
2017-09-14,115.8982,117.2412,115.681,116.8857,1802755
2017-09-15,117.567,117.9522,116.8857,117.5177,6627120
2017-09-18,117.5078,118.5496,117.3893,118.3866,2009696
2017-09-19,118.4953,121.82,118.3965,121.5366,3947014
2017-09-20,121.5564,122.5537,121.3688,122.3957,2173347
2017-09-21,122.2575,123.2746,121.9612,123.2153,1742351
2017-09-22,123.0178,123.2531,121.7341,122.1982,1864332
2017-09-25,122.1291,122.3562,121.5663,122.218,1605232
2017-09-26,122.4451,122.8697,121.6354,121.7341,1057917
2017-09-27,121.9514,122.3463,121.1614,121.7736,2517755
2017-09-28,121.9522,123.2719,121.4461,122.7063,2861093
2017-09-29,123.0437,124.6711,122.8452,124.6214,3093371
2017-10-02,124.7306,126.3282,124.1154,126.3083,2628082
2017-10-03,126.219,127.3006,126.0007,127.1121,1589970
2017-10-04,126.9235,127.5636,126.0404,127.3403,1400341
2017-10-05,127.2411,127.4395,126.6358,127.0228,1415717
2017-10-06,126.6358,127.3205,126.2885,127.1419,1496643
2017-10-09,127.2312,127.7273,126.7559,127.6479,988102
2017-10-10,127.9853,127.9853,126.9732,127.2609,1123237
2017-10-11,127.0228,127.2411,125.9511,126.7846,1867981
2017-10-12,126.6159,128.283,126.3579,127.509,2751508
2017-10-13,128.025,128.025,126.3977,126.9235,2023197
2017-10-16,127.3105,127.6281,126.7251,126.735,1249294
2017-10-17,126.7946,128.2234,126.7946,127.6975,1777132
2017-10-18,127.5388,128.3227,127.2708,127.7273,1701007
2017-10-19,127.251,127.5983,126.5465,127.5288,1637603
2017-10-20,128.0051,128.1738,127.1419,128.154,1384854
2017-10-23,128.283,129.2058,127.6578,128.5906,1337398
2017-10-24,130.4859,131.3392,129.2753,130.0096,3153842
2017-10-25,130.3866,130.6248,128.3425,129.6325,1385983
2017-10-26,129.9004,131.756,129.5333,131.1209,1786944
2017-10-27,130.8828,132.2819,130.3172,132.2224,1658273
2017-10-30,131.8453,132.7284,131.2797,131.2797,2708141
2017-10-31,132.2621,132.4605,131.1705,131.8552,1319766
2017-11-01,132.8376,133.691,132.2224,133.2345,1558039
2017-11-02,133.036,133.9986,132.1509,133.4032,1640974
2017-11-03,133.552,133.9886,133.1551,133.9886,1056453
2017-11-06,133.9688,134.7825,133.6215,134.2665,2432005
2017-11-07,134.4947,135.6358,134.4947,134.6634,1234168
2017-11-08,134.7031,134.8321,133.4826,133.6016,1271210
2017-11-09,132.9666,133.165,129.7615,130.2676,2726826
2017-11-10,130.595,131.5178,130.208,131.2102,2990768
2017-11-13,130.4859,132.1529,130.1138,130.8927,1820334
2017-11-14,131.0316,131.9743,130.5553,131.8552,1591348
2017-11-15,131.2698,131.992,130.3469,131.2499,1764781
2017-11-16,131.7461,134.2268,131.6071,133.5719,2065882
2017-11-17,132.9765,135.4572,132.7284,134.7229,1964978
2017-11-20,135.1298,136.7571,135.0901,135.8641,2564504
2017-11-21,137.4914,139.2765,136.8861,138.1562,5917249
2017-11-22,144.4077,144.874,141.2621,144.1298,8094239
2017-11-24,145.003,146.7693,144.368,144.3779,1964901
