date,open,high,low,close,volume
2017-06-20,59.6463,59.9697,59.3425,59.5679,1824514
2017-06-21,59.7051,59.7051,58.9112,59.1562,1991726
2017-06-22,59.0386,59.3866,58.7054,59.0386,1861163
2017-06-23,59.117,59.4209,58.6074,58.8426,8458105
2017-06-26,58.9798,59.6953,58.8818,59.4013,1827812
2017-06-27,59.5483,60.2735,59.2739,59.8521,2456796
2017-06-28,60.2245,61.0772,60.2049,60.6459,3106420
2017-06-29,61.7926,62.018,60.0383,60.2833,5274722
2017-06-30,60.5675,61.3712,60.0579,60.9498,3156117
2017-07-03,61.1752,61.7583,60.94,61.0282,1629892
2017-07-05,61.2242,61.2556,60.1363,60.2833,3526318
2017-07-06,60.0775,60.7733,59.8717,59.9795,3159137
2017-07-07,60.1951,60.4989,59.8423,60.1461,2808938
2017-07-10,59.9501,60.0579,59.5777,59.8815,2870265
2017-07-11,59.8815,60.0285,59.2053,59.5483,2749403
2017-07-12,59.2935,60.1166,59.117,59.9207,2237329
2017-07-13,59.9795,60.3617,59.8619,60.1951,3226637
2017-07-14,59.7737,60.2049,59.2151,60.0383,2119031
2017-07-17,59.9697,60.1412,59.5679,59.8521,2510075
2017-07-18,59.5679,59.8423,59.3523,59.8227,1518914
2017-07-19,59.9403,60.1755,59.6953,59.9207,1940539
2017-07-20,59.7835,60.3323,59.7247,60.1461,1940339
2017-07-21,60.5283,61.6064,60.4695,61.283,3646309
2017-07-24,61.2046,61.4643,60.7047,61.283,2296271
2017-07-25,61.6946,62.6551,61.6946,62.5178,3321542
2017-07-26,62.7237,62.7237,61.7828,61.871,3782752
2017-07-27,60.0971,60.8517,58.725,59.2347,7624609
2017-07-28,59.1955,59.6757,58.9994,59.0582,3526890
2017-07-31,59.1955,60.0775,59.1464,59.7247,2345548
2017-08-01,59.7835,60.1069,59.7149,59.8227,1829906
2017-08-02,59.3327,59.8129,59.1955,59.5679,2256701
2017-08-03,59.4405,59.6267,59.1072,59.2543,2224494
2017-08-04,59.7835,60.1069,59.7149,59.8227,1829906
2017-08-07,59.6463,60.2735,59.6463,60.1657,2020497
2017-08-08,60.0579,61.2928,59.7933,60.7243,2902102
2017-08-09,60.2637,60.4009,59.7492,60.0383,1834036
2017-08-10,59.6757,59.8619,58.8916,58.9014,2280850
2017-08-11,58.921,59.019,58.3722,58.4506,2164189
2017-08-14,59.0092,59.4699,58.921,59.2935,1802428
2017-08-15,59.8129,60.8713,59.8129,60.6361,2876340
2017-08-16,60.94,61.2242,60.3617,60.4793,2309308
2017-08-17,60.2245,60.4401,58.7005,58.7054,1905639
2017-08-18,58.5388,58.8034,58.2105,58.2448,2044334
2017-08-21,58.3036,58.3918,57.9312,58.088,1555895
2017-08-22,58.4133,58.7387,58.1373,58.6598,2627770
2017-08-23,58.3049,58.8668,58.088,58.4725,1498603
2017-08-24,58.5809,58.8865,58.4035,58.6302,1730224
2017-08-25,58.7879,59.6112,58.7879,58.8471,2776868
2017-08-28,58.9851,59.1133,58.1767,58.2654,1200014
2017-08-29,57.6936,57.8415,57.3042,57.6246,2706905
2017-08-30,57.664,58.4232,57.6148,58.1373,1775314
