date,open,high,low,close,volume
2017-06-20,70.7707,71.6175,70.2193,70.3079,3961982
2017-06-21,70.2882,71.2729,70.1405,70.6328,3029999
2017-06-22,70.4063,70.6033,69.6137,69.9928,2529915
2017-06-23,69.8451,70.0322,68.4468,68.6831,7813427
2017-06-26,68.9884,69.8746,68.4468,69.333,3159466
2017-06-27,69.1755,70.8199,69.1262,69.7072,2724298
2017-06-28,70.1799,70.9578,69.6678,70.3867,2543579
2017-06-29,70.3867,70.7116,69.5447,69.7564,2957089
2017-06-30,70.2094,71.3812,69.9632,70.9873,2808808
2017-07-03,71.4206,71.8834,70.5737,70.8298,1222341
2017-07-05,70.9085,71.1793,69.7466,70.1503,2707898
2017-07-06,69.9928,70.1306,68.7914,68.9588,1811045
2017-07-07,69.3245,69.7288,68.9391,69.4135,1562953
2017-07-10,69.2059,69.3344,67.8914,68.6821,3478408
2017-07-11,68.692,69.1368,68.0891,68.2373,7778346
2017-07-12,68.603,69.1368,68.3065,68.8798,3121622
2017-07-13,69.7298,70.4513,69.5914,69.7594,3073488
2017-07-14,69.7792,70.5501,69.7495,70.3129,3156418
2017-07-17,70.3129,71.6275,70.1844,71.0344,2210906
2017-07-18,70.8071,70.8565,69.6309,69.9769,1921379
2017-07-19,70.1844,70.7182,70.0164,70.56,1588149
2017-07-20,70.7577,70.8466,70.2042,70.5205,2166759
2017-07-21,70.4216,71.5484,70.224,71.3606,3191825
2017-07-24,71.1432,71.4594,70.7182,71.1432,2108622
2017-07-25,71.4001,73.1199,71.0246,72.7147,1804616
2017-07-26,72.5961,73.8019,72.0722,73.7327,2163399
2017-07-27,73.7327,74.4047,73.2286,74.2467,2295764
2017-07-28,73.9106,74.3949,73.2089,73.881,2045529
2017-07-31,74.2565,74.6519,73.4757,74.2862,1583011
2017-08-01,73.881,74.0638,73.2385,73.9897,1378804
2017-08-02,74.4344,75.1065,73.7426,73.8414,3023325
2017-08-03,73.9699,74.4937,73.5647,73.624,1699783
2017-08-04,73.881,74.0638,73.2385,73.9897,1378804
2017-08-07,74.0193,75.6501,73.7722,75.5217,2055143
2017-08-08,75.6205,76.4112,75.5414,75.7984,2454093
2017-08-09,75.324,76.3914,74.6717,76.2531,2527389
2017-08-10,75.4327,76.0158,74.6618,74.7013,2307973
2017-08-11,74.5135,75.2548,74.128,74.6123,1747851
2017-08-14,75.3437,76.0949,74.978,75.6798,3117515
2017-08-15,75.6798,75.6798,72.685,72.7839,4004585
2017-08-16,73.3472,73.96,72.8926,73.6339,2799455
2017-08-17,73.367,73.8513,72.517,73.4065,3931108
2017-08-18,73.0606,73.5696,72.6158,72.9618,2282805
2017-08-21,73.2879,74.3158,72.9716,73.8414,1898279
2017-08-22,74.2763,75.5908,74.2565,75.5711,2729806
2017-08-23,75.1164,75.5217,74.5629,75.4426,2031660
2017-08-24,78.3385,78.7734,74.2467,74.81,4917510
2017-08-25,75.5019,76.935,74.4839,76.767,2479018
2017-08-28,76.8362,77.706,76.4211,76.4705,2803672
2017-08-29,75.7885,76.3519,75.3932,75.9961,2378540
2017-08-30,75.8182,76.085,75.0275,75.8379,4236879
2017-08-31,71.6571,72.8333,69.4827,71.7164,12436464
2017-09-01,71.9339,72.5961,70.9652,71.6966,3696498
2017-09-05,71.4001,73.7821,71.4001,73.4955,3493276
2017-09-06,73.8315,74.7112,73.5844,74.4147,2536930
2017-09-07,74.642,75.5217,74.2565,75.5019,3447754
2017-09-08,75.403,75.9565,73.456,74.6815,5110301
2017-09-11,74.9089,75.4721,74.6222,75.0868,4155723
2017-09-12,75.2054,76.9499,74.9682,76.0653,2840899
2017-09-13,76.0751,77.7455,75.9269,76.935,3632338
2017-09-14,76.5397,76.7522,75.9269,76.3321,2359143
2017-09-15,76.0158,76.8906,75.6897,76.6978,4146445
2017-09-18,76.8065,77.9135,76.3519,76.3815,3515731
2017-09-19,76.4507,76.4507,75.403,76.0949,2099533
2017-09-20,76.2629,76.7967,75.2449,76.6484,1766522
2017-09-21,76.6879,76.767,75.7243,75.8775,1710135
2017-09-22,75.8775,76.8609,75.6798,76.7571,3513435
2017-09-25,76.2827,78.4472,76.2333,78.4176,2967262
2017-09-26,78.1606,78.7586,77.8839,78.4077,2511560
2017-09-27,78.3484,79.1292,77.9437,79.0007,2539504
2017-09-28,78.8525,79.2281,78.131,79.0897,2307001
2017-09-29,79.2379,80.3548,79.0996,80.1077,2485476
2017-10-02,80.0484,80.9676,79.742,80.9478,1920478
2017-10-03,80.9478,81.1455,80.0781,80.4536,2056352
