date,open,high,low,close,volume
2017-06-08,89.7341,90.2588,89.1121,89.2579,1072109
2017-06-09,89.5203,90.1665,88.9955,89.5203,1103126
2017-06-12,89.4231,90.0645,89.1841,89.3454,1224145
2017-06-13,88.4999,88.6846,87.2949,87.4796,2548159
2017-06-14,87.4698,88.2667,87.3046,87.9169,1606952
2017-06-15,87.7128,88.1209,86.7507,87.2658,1471830
2017-06-16,86.809,87.0423,86.0316,86.7799,1829475
2017-06-19,86.9742,88.1209,86.8673,88.014,1082313
2017-06-20,87.5962,87.7614,86.1288,86.1774,1142355
2017-06-21,86.2648,86.7944,85.5457,85.7887,1084984
2017-06-22,86.0219,87.018,85.7789,86.6438,1116546
2017-06-23,86.6633,86.8868,86.0316,86.226,1753096
2017-06-26,87.0131,88.0092,86.809,87.5379,3427260
2017-06-27,90.3852,92.5328,89.6855,90.0742,6178161
2017-06-28,90.5309,90.667,88.5777,88.9761,2209445
2017-06-29,89.0052,89.3454,88.3347,89.1704,2030948
2017-06-30,89.3745,89.7146,87.7808,87.8877,1693843
2017-07-03,88.1306,88.9858,87.9557,88.7623,842326
2017-07-05,88.7526,88.8498,86.7702,87.5864,1790493
2017-07-06,87.469,88.3987,87.1069,87.7626,1535063
2017-07-07,87.9681,88.5233,87.4299,88.2421,1055690
2017-07-10,88.1247,88.5504,87.1069,87.3418,1234115
2017-07-11,87.6354,87.9779,86.9308,87.3907,1077621
2017-07-12,87.5571,88.3106,87.4641,87.6941,1461248
2017-07-13,87.7039,88.1736,86.3118,86.6763,1431426
2017-07-14,86.8329,87.4592,86.5491,87.0482,1181434
2017-07-17,87.0776,88.0856,86.9944,87.743,1095000
2017-07-18,87.8213,87.8605,86.7938,87.1363,779803
2017-07-19,87.2439,88.1247,87.2439,87.9388,956691
2017-07-20,87.929,88.3106,87.5962,87.655,733900
2017-07-21,87.3809,87.6745,86.6666,86.784,1142238
2017-07-24,86.6078,86.691,84.6995,84.7778,2085546
2017-07-25,85.091,85.3258,84.7005,84.9931,1710718
2017-07-26,85.3356,85.4041,83.5741,83.9949,1566064
2017-07-27,83.6328,83.7503,82.1258,82.6836,2883697
2017-07-28,82.067,82.3508,80.8536,82.0573,2910277
2017-07-31,82.0279,82.8206,81.9007,82.0866,1492084
2017-08-01,80.4523,81.5386,79.8848,81.3722,1238064
2017-08-02,82.9772,83.4763,82.2432,82.7521,961741
2017-08-03,82.2726,82.2726,80.2566,80.3251,1950101
2017-08-04,80.4523,81.5386,79.8848,81.3722,1238064
2017-08-07,81.3037,82.4878,81.3037,81.979,901591
2017-08-08,81.7832,81.9472,79.5911,80.0804,2403667
2017-08-09,79.8847,80.2468,79.2486,79.5422,2602724
2017-08-10,79.3758,81.5092,79.2692,80.7655,2315531
2017-08-11,81.0101,81.6952,80.648,81.5582,1116200
2017-08-14,81.9398,82.0475,80.423,80.9808,1374205
2017-08-15,81.3429,81.9888,80.6872,81.6952,2183711
2017-08-16,81.8615,82.9184,81.7147,82.5857,1276849
2017-08-17,82.5172,83.4665,82.1355,82.3313,1408998
2017-08-18,82.1649,82.8108,81.93,82.1943,1658214
2017-08-21,82.3215,83.1288,82.204,82.7031,1019621
2017-08-22,82.8206,83.9754,82.7423,83.4763,933466
2017-08-23,82.5955,83.0946,80.3642,80.8731,2381085
2017-08-24,81.8713,82.0964,80.5991,80.6187,1058979
