date,open,high,low,close,volume
2017-06-20,83.118,83.319,82.9552,83.185,2420427
2017-06-21,83.2041,83.4051,82.4288,82.8595,1735199
2017-06-22,82.6968,83.0168,82.5245,82.582,2106922
2017-06-23,82.5245,82.8835,82.18,82.2757,1543029
2017-06-26,82.6298,83.319,82.3044,82.984,2834523
2017-06-27,82.6585,82.8308,81.7875,82.0268,2404538
2017-06-28,82.3427,82.3905,81.2228,81.3281,3180745
2017-06-29,81.0984,81.0984,80.1795,80.4284,3859290
2017-06-30,80.5433,80.8017,80.0073,80.0073,3607625
2017-07-03,80.1891,80.2418,79.5957,79.7393,1705902
2017-07-05,79.7488,79.9115,79.1745,79.7201,3529956
2017-07-06,79.5383,79.7297,79.2176,79.6435,2801781
2017-07-07,79.6531,80.1556,79.5239,79.8445,2531389
2017-07-10,79.9977,80.2226,79.5957,79.6244,1833910
2017-07-11,79.7967,79.8637,79.2511,79.6148,2558039
2017-07-12,80.237,80.6581,80.1221,80.3805,2946639
2017-07-13,80.2274,80.3805,79.7775,79.7967,2175390
2017-07-14,80.2561,80.5241,80.0934,80.2465,1377285
2017-07-17,80.2465,80.4954,80.0168,80.4284,1594112
2017-07-18,80.4667,80.6677,80.3327,80.5815,1653505
2017-07-19,80.6581,80.8113,80.3614,80.7347,1790077
2017-07-20,80.974,81.309,80.6294,81.2898,1971679
2017-07-21,81.2515,81.577,80.7634,81.5483,2494385
2017-07-24,81.5865,81.6248,80.7108,80.9261,2541732
2017-07-25,80.9453,81.0314,80.0982,80.2178,1926924
2017-07-26,80.0934,80.84,80.0168,80.8304,1702755
2017-07-27,80.5911,81.4047,80.4428,81.4047,2179750
2017-07-28,81.3664,81.5722,80.9548,81.2707,2089799
2017-07-31,81.2611,81.6727,81.0314,81.4717,2441984
2017-08-01,82.4767,82.8691,82.2852,82.7734,2599641
2017-08-02,81.3664,82.0651,81.0218,82.0651,2131600
2017-08-03,82.314,82.8117,81.845,82.8021,2915600
2017-08-04,82.4767,82.8691,82.2852,82.7734,2599641
2017-08-07,82.7542,82.8404,82.314,82.5628,2026377
2017-08-08,82.4097,82.8978,82.3235,82.8882,2045763
2017-08-09,83.0414,83.1754,82.3235,82.5054,2115384
2017-08-10,82.5054,82.8882,82.0859,82.6872,2140907
2017-08-11,82.7638,82.7638,81.51,82.0268,2516839
2017-08-14,82.1417,82.5724,81.9694,82.4288,2473805
2017-08-15,82.2278,83.2424,82.2087,83.1658,1876288
2017-08-16,83.1368,83.5236,82.8854,83.4656,1804213
2017-08-17,83.4656,83.601,82.9724,83.0401,2055010
2017-08-18,82.9241,83.9685,82.7887,83.5333,2853827
2017-08-21,83.6494,83.8234,83.3206,83.7267,2090794
2017-08-22,83.7267,83.8524,83.2722,83.6977,1719810
2017-08-23,83.717,84.1184,83.3012,84.0168,1931889
2017-08-24,84.6647,85.0516,84.452,84.6164,1828384
2017-08-25,84.51,84.6615,84.1039,84.3553,1708883
2017-08-28,84.4907,84.6164,84.1039,84.539,1185375
2017-08-29,84.6647,85.0516,84.452,84.6164,1828384
2017-08-30,84.4423,84.6938,84.2006,84.4036,1425728
