date,open,high,low,close,volume
2017-06-20,113.43,115.12,113.29,113.47,2710463
2017-06-21,114.33,114.69,111.83,113.17,3054048
2017-06-22,113.51,113.52,111.36,112.62,2380363
2017-06-23,112.51,112.95,110.77,110.87,7457852
2017-06-26,111.0,112.64,110.375,111.86,2446348
2017-06-27,111.35,111.93,108.13,108.32,3058030
2017-06-28,108.7,109.2,106.74,108.81,3669006
2017-06-29,108.16,108.72,105.47,106.68,3820388
2017-06-30,107.1,107.56,105.65,105.72,3216511
2017-07-03,106.51,107.0,105.21,105.42,1656433
2017-07-05,105.95,107.31,105.35,106.76,2824926
2017-07-06,106.06,107.12,105.5,105.75,2471580
2017-07-07,106.28,108.47,105.54,107.45,2152528
2017-07-10,107.84,108.69,107.01,107.84,2188406
2017-07-11,107.63,109.71,107.1001,108.42,2289854
2017-07-12,109.5,110.9,109.05,110.68,1944236
2017-07-13,110.83,111.61,108.92,108.98,1710772
2017-07-14,109.61,110.34,108.75,108.99,1321900
2017-07-17,109.02,110.43,108.715,109.44,1686650
2017-07-18,110.0,110.93,109.48,110.28,1908769
2017-07-19,110.43,111.65,109.81,111.58,2498423
2017-07-20,111.61,112.18,110.38,111.97,2143813
2017-07-21,111.5,112.91,111.27,112.22,2434881
2017-07-24,112.22,113.97,112.22,113.75,2784605
2017-07-25,113.97,114.52,113.31,113.66,2735478
2017-07-26,115.46,118.11,115.19,118.0,4520429
2017-07-27,119.01,120.25,116.06,117.6,8953535
2017-07-28,114.0,118.75,113.5,118.25,5012269
2017-07-31,119.05,119.25,116.5,116.74,2951375
2017-08-01,117.57,117.65,116.44,116.92,2488168
2017-08-02,117.11,117.42,113.83,116.83,3111589
2017-08-03,117.38,119.23,116.98,118.85,2929128
2017-08-04,119.15,119.18,116.9,117.22,2341345
2017-08-07,117.6,117.96,116.49,116.96,1882939
2017-08-08,116.5,117.13,116.02,116.5,1329898
2017-08-09,115.55,116.84,114.75,116.11,1709417
2017-08-10,115.41,115.715,113.69,113.99,2950220
2017-08-11,113.74,115.98,113.51,115.45,1584977
2017-08-14,116.71,118.0,116.4,117.11,2890041
2017-08-15,117.23,117.62,116.58,117.43,1048166
2017-08-16,117.49,119.59,117.03,119.25,2098193
2017-08-17,119.19,119.4745,116.46,116.47,1793863
2017-08-18,116.0,117.84,115.46,116.88,1912014
2017-08-21,116.85,117.4,116.12,116.84,1848516
2017-08-22,117.28,120.45,117.22,119.03,2512919
2017-08-23,118.65,119.37,117.55,118.18,1297809
2017-08-24,118.49,118.92,116.0,117.82,1342750
2017-08-25,118.19,118.71,115.71,116.93,2206081
2017-08-28,117.52,119.04,116.95,118.73,1775285
2017-08-29,117.47,119.43,117.2201,119.23,1302000
2017-08-30,119.42,122.08,119.065,121.97,2193431
2017-08-31,122.0,122.79,120.94,121.5,2617627
2017-09-01,121.27,121.77,118.51,119.31,2751464
2017-09-05,118.8,119.3,116.32,118.21,2367891
2017-09-06,118.77,119.15,116.47,117.0,1770590
2017-09-07,117.2,119.1,116.59,118.93,1810885
2017-09-08,119.99,120.16,117.71,118.28,2424349
2017-09-11,119.88,121.35,119.28,121.19,2282097
2017-09-12,121.61,122.125,118.675,120.41,2659355
2017-09-13,119.86,120.45,119.0,119.6,2515308
2017-09-14,118.74,119.66,117.71,119.19,2543098
2017-09-15,119.29,119.915,117.75,119.42,3192011
2017-09-18,119.5,120.87,119.5,119.96,2573726
2017-09-19,120.25,121.2,119.37,120.21,2237901
2017-09-20,120.77,121.4,118.74,120.34,2393280
