date,open,high,low,close,volume
2017-06-20,34.74,35.34,34.74,34.93,10636824
2017-06-21,35.0,35.12,34.75,34.96,5418918
2017-06-22,34.99,35.285,34.84,35.12,5633920
2017-06-23,35.12,35.735,34.96,35.57,24063339
2017-06-26,35.89,35.97,35.0,35.09,6844446
2017-06-27,35.0,35.32,34.85,34.91,8623346
2017-06-28,35.0,35.33,34.615,35.31,4806540
2017-06-29,35.3,35.3,34.09,34.51,8277027
2017-06-30,34.78,35.07,34.52,34.92,10845469
2017-07-03,35.15,35.305,34.55,34.6,4517402
2017-07-05,34.73,34.86,34.505,34.72,7540694
2017-07-06,34.39,34.5,33.95,34.03,8600413
2017-07-07,34.02,34.55,34.01,34.23,6896570
2017-07-10,34.31,35.14,34.28,35.04,8736415
2017-07-11,34.97,35.45,34.89,35.19,8455948
2017-07-12,35.53,36.2,35.53,36.03,13437512
2017-07-13,36.61,37.13,36.26,36.5,12906179
2017-07-14,36.91,37.2,36.83,37.08,9710443
2017-07-17,37.03,37.17,36.57,37.05,8186411
2017-07-18,36.94,36.94,36.57,36.8,12773455
2017-07-19,36.95,37.26,36.645,37.08,8817598
2017-07-20,37.17,37.48,37.0,37.18,17538266
2017-07-21,36.2,36.9,36.05,36.61,22222085
2017-07-24,36.45,36.73,36.22,36.38,13039807
2017-07-25,36.33,36.485,36.06,36.32,6499023
2017-07-26,36.36,37.07,36.36,37.04,11305120
2017-07-27,37.09,37.265,35.54,36.17,15288199
2017-07-28,36.08,36.21,35.73,35.94,7654583
2017-07-31,36.09,36.13,35.65,35.73,6227993
2017-08-01,35.82,36.02,35.75,35.91,4685371
2017-08-02,35.69,35.95,35.42,35.9,6484211
2017-08-03,35.97,35.98,35.57,35.71,5726264
2017-08-04,35.86,35.86,35.55,35.62,5182474
2017-08-07,35.61,36.15,35.38,36.11,5380208
2017-08-08,35.96,36.64,35.89,36.36,9655721
2017-08-09,36.13,36.225,35.72,36.08,7888132
2017-08-10,35.95,35.9845,34.88,34.99,12533840
2017-08-11,35.16,35.32,34.76,35.05,7746820
2017-08-14,35.44,35.45,34.88,35.2,7192689
2017-08-15,35.24,35.42,35.12,35.25,4588469
2017-08-16,35.23,35.48,35.07,35.36,3976937
2017-08-17,35.5,35.5,34.8,34.85,6698879
2017-08-18,34.83,35.14,34.75,34.78,8747216
2017-08-21,35.13,35.13,34.09,34.24,8190512
2017-08-22,34.37,34.81,34.31,34.81,6177701
2017-08-23,34.62,34.98,34.51,34.89,6326628
2017-08-24,34.86,35.04,34.51,34.88,5778079
2017-08-25,34.98,35.07,34.56,34.68,6885364
2017-08-28,34.75,34.9,34.66,34.81,5075346
2017-08-29,34.48,35.315,34.42,35.2,7118320
2017-08-30,35.14,35.955,35.1,35.69,8288851
2017-08-31,35.85,36.32,35.821,36.13,8591090
2017-09-01,36.2,36.58,36.14,36.35,5122878
2017-09-05,36.19,36.48,35.77,36.09,6315353
2017-09-06,36.08,36.98,36.08,36.76,12965891
2017-09-07,36.95,38.19,36.84,38.01,14055322
2017-09-08,38.04,38.3,37.725,37.79,9075887
2017-09-11,38.04,38.26,38.0,38.09,6121966
2017-09-12,38.07,38.3,37.98,38.18,4259661
2017-09-13,38.0,38.5,38.0,38.27,5622321
2017-09-14,38.24,38.585,38.13,38.31,6603771
2017-09-15,38.27,38.865,38.07,38.4,11121940
2017-09-18,38.3,38.665,38.18,38.39,5636234
2017-09-19,38.5,38.75,38.32,38.59,5215295
2017-09-20,38.67,38.87,38.21,38.54,6424644
2017-09-21,38.55,38.67,38.19,38.25,5715762
2017-09-22,38.13,38.31,38.05,38.29,4866093
2017-09-25,38.22,38.31,37.54,37.78,7420267
2017-09-26,37.85,38.19,37.75,37.85,6132882
2017-09-27,38.03,38.29,37.76,38.05,9377650
2017-09-28,37.44,37.96,37.44,37.73,7734238
2017-09-29,37.73,38.6,37.71,38.46,9964979
2017-10-02,38.51,38.78,38.37,38.73,7243776
2017-10-03,38.78,39.05,38.485,38.71,5106995
2017-10-04,38.8,38.83,38.5,38.66,5630390
2017-10-05,38.76,39.035,38.675,38.99,5452499
2017-10-06,39.05,39.08,38.67,38.81,7466696
2017-10-09,38.8,39.265,38.8,38.99,4984444
2017-10-10,39.02,39.275,38.77,38.84,6012662
2017-10-11,38.85,38.98,38.17,38.31,11038623
2017-10-12,38.31,38.5,38.055,38.09,10045740
2017-10-13,38.35,38.53,38.16,38.35,9421796
2017-10-16,38.29,38.5,37.725,37.77,8647163
2017-10-17,37.76,37.84,37.42,37.49,12012714
2017-10-18,37.68,38.22,37.54,37.97,16937767
2017-10-19,36.48,37.49,36.19,37.29,29099346
2017-10-20,37.34,37.86,37.3,37.61,15105890
2017-10-23,37.66,37.85,36.74,36.83,10374258
2017-10-24,36.51,37.03,36.51,36.74,8533032
2017-10-25,36.66,36.92,36.45,36.68,8030689
2017-10-26,36.74,37.24,36.72,36.9,7635246
2017-10-27,37.07,37.36,36.635,36.8,10880141
2017-10-30,36.86,37.13,36.74,37.0,8118703
2017-10-31,37.11,37.68,37.02,37.64,6722841
2017-11-01,37.85,38.09,37.435,37.54,7092866
2017-11-02,37.49,37.5,36.995,37.4,5350300
2017-11-03,37.44,37.545,37.11,37.5,5716924
2017-11-06,37.38,37.61,37.3,37.37,4360973
2017-11-07,37.6,37.6,37.1,37.41,5646049
2017-11-08,37.3,37.37,36.94,37.01,7095229
2017-11-09,36.26,36.36,35.21,35.69,16991691
2017-11-10,35.51,36.045,35.34,35.97,8329662
2017-11-13,35.7,36.1,35.32,35.85,7269042
2017-11-14,35.71,35.79,35.18,35.22,11468030
2017-11-15,35.03,35.47,34.79,35.3,8120696
2017-11-16,35.37,35.815,35.32,35.62,8140193
2017-11-17,35.64,35.71,35.31,35.58,7542620
2017-11-20,35.62,35.97,35.42,35.53,5981720
2017-11-21,35.72,36.11,35.56,35.96,5888580
2017-11-22,36.05,36.195,35.84,35.94,4576174
2017-11-24,36.07,36.11,35.7,35.84,3123070
2017-11-27,35.88,36.2,35.7905,35.99,7221698
2017-11-28,35.99,36.2,35.42,35.5,11335130
2017-11-29,35.42,35.45,33.945,34.38,22063002
2017-11-30,34.48,35.19,34.4612,34.67,16415238
2017-12-01,34.38,35.25,34.31,35.2,11535245
2017-12-04,35.58,36.08,35.38,35.7,11130683
2017-12-05,35.94,37.19,35.75,36.81,19264542
2017-12-06,36.64,36.91,36.36,36.83,9009636
2017-12-07,36.72,37.15,36.5,36.85,7625635
2017-12-08,37.25,37.99,37.16,37.65,12423558
2017-12-11,37.51,37.69,37.32,37.52,7072158
2017-12-12,37.44,37.49,37.1,37.44,6314446
2017-12-13,37.46,37.64,37.33,37.4,5901802
2017-12-14,37.41,37.77,37.41,37.6,5456771
2017-12-15,37.72,38.42,37.39,38.37,16277212
2017-12-18,38.5,38.66,38.12,38.18,8092119
2017-12-19,38.15,38.23,37.72,37.8,7870990
2017-12-20,37.87,38.1,37.745,37.93,6551496
2017-12-21,38.11,38.24,37.77,37.81,9619687
2017-12-22,37.69,37.905,37.53,37.76,7603257
2017-12-26,37.79,38.01,37.605,37.94,4537016
2017-12-27,38.07,38.08,37.56,37.61,4244081
2017-12-28,37.46,37.93,37.4501,37.92,3399269
2017-12-29,37.82,38.03,37.65,37.74,4652483
2018-01-02,38.17,38.36,37.92,38.06,6997345
2018-01-03,37.99,39.28,37.9,39.22,9134423
2018-01-04,39.42,39.7729,38.47,38.57,8958597
2018-01-05,38.85,39.835,38.81,39.69,7290369
2018-01-08,39.55,40.08,39.44,39.8,9714170
2018-01-09,40.1,40.13,39.48,39.53,6215872
2018-01-10,38.87,39.02,37.55,37.7,17416485
2018-01-11,37.84,37.94,37.46,37.81,11090524
2018-01-12,38.0,38.27,37.9,38.02,11992898
