date,open,high,low,close,volume
2017-06-08,79.0831,79.0927,77.98,78.7831,1413044
2017-06-09,78.5702,78.8024,77.8735,78.6573,1829072
2017-06-12,78.6283,78.6863,77.1382,77.8252,2125129
2017-06-13,77.6123,77.7477,77.1769,77.6994,1381586
2017-06-14,78.338,78.8412,77.7914,78.2606,1703729
2017-06-15,78.2122,79.3927,78.0961,79.325,1940729
2017-06-16,79.5959,79.9152,79.2476,79.5185,2479144
2017-06-19,79.6636,79.6733,78.9669,79.2476,1203774
2017-06-20,79.2766,79.6152,79.1121,79.1314,1048826
2017-06-21,79.2379,79.4024,78.5702,78.8121,1260735
2017-06-22,78.6476,79.1024,78.2219,78.2703,1013630
2017-06-23,78.2412,78.4541,77.2349,77.4381,2122748
2017-06-26,77.4575,78.3477,77.3414,77.8639,1576069
2017-06-27,77.5252,77.7768,76.4899,76.4995,2260534
2017-06-28,76.8235,76.9794,76.0246,76.083,1829376
2017-06-29,75.8102,76.463,75.2744,76.1512,2909225
2017-06-30,76.3071,76.9502,76.1805,76.1805,2024650
2017-07-03,76.3851,76.4435,75.1964,75.1964,963322
2017-07-05,75.2451,75.5861,74.6703,74.9139,1577290
2017-07-06,74.6995,74.8652,74.4754,74.6995,1053753
2017-07-07,74.6995,75.2354,74.6021,74.8554,953618
2017-07-10,74.9918,75.1282,74.4462,74.4754,1201541
2017-07-11,74.719,75.021,74.417,74.5826,1610595
2017-07-12,75.2549,75.4108,74.5631,74.6216,1709315
2017-07-13,75.0503,76.4533,74.9041,75.5374,2913307
2017-07-14,76.0246,76.3071,75.3913,75.4595,1902990
2017-07-17,75.401,75.9271,75.3279,75.8394,1733772
2017-07-18,75.9174,76.1317,75.6348,75.8589,1576440
2017-07-19,76.0343,76.083,75.6543,76.0635,966418
2017-07-20,76.2194,76.4727,76.0538,76.4338,1134429
2017-07-21,76.3461,76.9794,76.2194,76.9502,1467792
2017-07-24,76.9014,76.9307,76.3997,76.463,1729573
2017-07-25,76.3071,76.5945,76.0733,76.3753,1723038
2017-07-26,76.4435,76.9502,76.1317,76.882,1276167
2017-07-27,76.7358,77.2132,76.3948,77.184,1312466
2017-07-28,76.8527,77.3078,76.122,76.2389,2742884
2017-07-31,75.7518,76.9112,75.7518,76.6579,1401576
2017-08-01,76.8527,77.2912,76.5994,76.8527,1890810
2017-08-02,76.502,76.8917,76.1269,76.7163,1293299
2017-08-03,76.5604,77.3983,76.3656,77.3983,1426548
2017-08-04,77.145,77.3204,76.6481,77.2522,717106
2017-08-07,77.2035,77.4178,76.9112,77.3983,733894
2017-08-08,77.145,77.7491,77.145,77.7393,587424
2017-08-09,77.9342,77.9342,77.3009,77.4081,1154442
2017-08-10,77.3886,77.7783,77.1158,77.6224,1118322
2017-08-11,78.0121,78.1973,77.2132,77.486,1239638
2017-08-14,77.3788,78.5383,77.223,78.4506,2111805
2017-08-15,78.1973,79.2398,77.3009,77.866,3617038
2017-08-16,77.7978,78.0609,77.5542,77.7198,2082350
