date,open,high,low,close,volume
2017-06-20,97.0928,97.2807,95.8768,95.946,1335805
2017-06-21,96.3612,96.3612,95.3924,96.2228,1358878
2017-06-22,96.292,96.7962,95.5802,96.3711,1278723
2017-06-23,96.2327,96.3118,95.3627,95.8867,1728117
2017-06-26,96.3217,96.3217,95.3529,95.4023,1783547
2017-06-27,95.1947,96.0251,94.9673,95.3133,1505455
2017-06-28,95.7977,96.5985,95.6692,95.7088,1141429
2017-06-29,95.3331,95.4319,93.6129,94.5323,2109234
2017-06-30,94.8684,95.3331,94.6559,94.8882,1290323
2017-07-03,94.9772,95.1848,94.6213,94.7201,777971
2017-07-05,94.6905,95.1848,94.3445,94.6312,1441644
2017-07-06,94.2555,94.5125,93.1977,93.7612,1575467
2017-07-07,94.1072,94.1665,92.9802,93.2075,1570482
2017-07-10,93.2372,93.5041,92.5056,93.1977,2577739
2017-07-11,93.3262,93.3558,92.387,92.7923,1764927
2017-07-12,93.4053,93.935,93.1087,93.4448,1553523
2017-07-13,93.6722,94.0479,93.3239,93.6524,966237
2017-07-14,93.8106,94.5521,93.603,94.2258,952697
2017-07-17,94.1072,95.7681,93.8501,95.1057,1705111
2017-07-18,95.1551,95.3825,94.8289,95.1947,1138539
2017-07-19,95.3627,96.0647,95.1947,95.8373,1065264
2017-07-20,96.1932,96.727,95.9164,96.0053,1111220
2017-07-21,95.6593,96.8951,95.6593,96.8358,1163164
2017-07-24,96.7073,96.7962,95.9757,96.6381,858997
2017-07-25,97.0039,97.9727,96.8556,97.6267,2067642
2017-07-26,97.6267,98.032,97.0731,97.7948,2039598
2017-07-27,98.1111,98.4275,97.2214,98.3978,1699412
2017-07-28,98.1704,98.378,97.4487,97.8738,1532137
2017-07-31,98.1309,98.6845,97.4092,97.864,2250236
2017-08-01,97.1225,97.6761,96.4601,97.3696,1706182
2017-08-02,97.1225,97.6761,96.4601,97.3696,1717350
2017-08-03,97.3103,97.6563,96.994,97.0533,1046309
2017-08-04,97.2312,97.6959,96.8951,97.4586,1013906
2017-08-07,97.3202,99.8709,97.2116,99.3864,2231738
2017-08-08,99.1986,100.2564,98.9218,99.9104,2128913
2017-08-09,99.7028,103.3113,99.5347,102.5896,7523547
2017-08-10,101.8481,103.1911,100.0686,100.5332,4764877
2017-08-11,100.7409,101.166,97.8837,98.5165,3592379
2017-08-14,98.9514,100.6321,98.8724,99.9796,2687660
2017-08-15,100.3256,100.4838,99.3766,99.8906,1702431
2017-08-16,99.7226,100.8397,99.3074,99.9203,2034090
2017-08-17,99.9994,100.1477,97.0434,97.2016,4479410
2017-08-18,101.6405,105.2391,100.8397,104.7151,8925828
2017-08-21,104.1912,105.7653,103.855,105.2688,3541896
2017-08-22,105.8718,106.6825,103.6968,104.0132,4659537
2017-08-23,103.8056,104.2505,102.8269,103.2618,3201246
2017-08-24,103.598,104.9524,103.332,104.8041,2510998
2017-08-25,104.0626,105.9311,103.7265,105.2885,3170872
2017-08-28,103.8056,105.595,103.1136,104.7547,3841515
2017-08-29,104.6952,105.6275,104.3381,104.834,1826456
2017-08-30,104.7845,105.5382,104.2985,104.7944,1805047
2017-08-31,105.1316,106.2226,104.8043,106.1135,2085013
2017-09-01,106.1234,107.2888,105.8457,107.0458,2360555
2017-09-05,106.5796,107.4623,106.5102,107.0656,1636072
2017-09-06,107.4227,107.7103,105.9845,107.1846,1520419
2017-09-07,107.6706,107.8491,106.6669,107.3433,1467889
2017-09-08,107.3136,107.9582,106.8425,107.9186,1387934
2017-09-11,108.2855,108.9352,107.75,107.8491,2548044
2017-09-12,107.6508,108.7021,107.6508,108.0078,2438399
2017-09-13,108.4045,109.0691,108.2855,108.7616,1302895
2017-09-14,108.5136,109.1286,108.1541,109.1087,1227904
2017-09-15,109.4658,110.0807,108.2558,108.7914,1896840
2017-09-18,109.1385,109.4063,108.8062,109.3666,952330
2017-09-19,109.3666,109.5253,109.0889,109.4459,1061889
2017-09-20,109.4658,109.9617,108.5434,109.3269,1438165
2017-09-21,109.0591,109.2079,107.3036,107.3632,1402728
2017-09-22,107.74,108.2657,106.4209,106.6986,2173326
2017-09-25,106.9069,107.4723,106.742,107.0954,2025020
2017-09-26,107.1251,107.4028,106.3218,107.0755,2833237
2017-09-27,107.2144,107.869,106.5499,107.6309,1231022
2017-09-28,107.4127,107.6508,105.1316,105.4787,2542181
2017-09-29,105.8854,107.2739,105.4291,106.9565,2531129
2017-10-02,107.3731,107.9483,106.9069,107.3136,1151841
2017-10-03,107.383,107.9979,107.3812,107.5615,1317682
2017-10-04,108.1566,109.8427,107.7995,109.0393,1864588
2017-10-05,108.9996,109.6443,108.9104,109.1187,1081962
2017-10-06,108.8211,109.2972,108.4442,108.8409,1211998
2017-10-09,108.8409,109.1583,108.4641,108.7318,1228200
2017-10-10,109.079,109.3567,108.2558,108.6922,852052
2017-10-11,108.9401,109.2674,108.6327,108.831,1030558
2017-10-12,108.6823,108.9699,108.2955,108.593,1799880
2017-10-13,108.96,110.8345,108.6525,110.0906,1676274
2017-10-16,110.8345,110.8742,109.4559,110.3683,1243441
2017-10-17,110.1005,110.3683,109.1385,109.6046,1238941
2017-10-18,109.7832,109.926,108.3054,109.079,1447678
2017-10-19,108.5632,108.8707,108.0177,108.8013,1822323
2017-10-20,108.5732,108.8608,107.3632,107.9086,1927107
