date,open,high,low,close,volume
2017-06-08,65.0648,65.3747,64.29,65.3166,1427898
2017-06-09,65.1907,65.549,64.8226,65.5006,1703501
2017-06-12,65.2972,65.4619,64.6096,64.842,1761690
2017-06-13,64.9485,65.4183,64.6192,64.997,935693
2017-06-14,65.4328,65.549,64.8033,65.0745,998971
2017-06-15,64.9292,65.9655,64.8856,65.6362,1127010
2017-06-16,66.1398,66.6144,65.9703,66.411,2652663
2017-06-19,66.5853,66.6628,65.7912,65.9849,1506967
2017-06-20,66.0333,66.411,65.2778,66.0139,1595860
2017-06-21,65.888,66.043,65.1422,65.8686,1285190
2017-06-22,65.7357,65.7845,64.9502,65.4137,1909615
2017-06-23,65.3844,65.6967,65.0624,65.5796,2129115
2017-06-26,65.7552,65.9113,65.3893,65.5113,877685
2017-06-27,65.2771,65.765,64.7404,64.799,1464568
2017-06-28,64.9063,65.0722,64.4575,64.7599,1349560
2017-06-29,64.5941,64.8868,64.0769,64.6916,1722097
2017-06-30,64.6721,65.1698,64.233,64.233,2061878
2017-07-03,64.438,65.0917,64.0672,64.9551,1044574
2017-07-05,65.0527,65.5015,64.838,65.16,2157202
2017-07-06,64.5258,64.6136,63.2671,63.3158,2827530
2017-07-07,63.3451,63.7647,63.0231,63.4037,1446591
2017-07-10,63.5695,63.6183,63.0036,63.1597,1394232
2017-07-11,63.3256,63.4525,62.4279,62.8475,1049303
2017-07-12,63.0914,63.7647,63.0914,63.472,1162621
2017-07-13,63.4037,63.794,63.0329,63.4329,1098716
2017-07-14,63.7354,64.0769,63.5598,63.872,1311172
2017-07-17,63.8818,64.8039,63.6866,64.6429,1212197
2017-07-18,64.5355,64.7307,64.0769,64.4477,1722222
2017-07-19,64.4477,65.5503,64.3892,65.5308,1774355
2017-07-20,65.5015,66.0772,65.4332,65.5308,1491267
2017-07-21,65.5015,65.7454,65.16,65.5308,1187477
2017-07-24,65.5503,65.7064,64.7502,65.0332,1683921
2017-07-25,65.0429,65.0429,64.0281,64.4672,1942938
2017-07-26,64.477,66.0382,64.2526,65.7259,1929090
2017-07-27,65.5991,65.8918,64.9356,65.8625,1583951
2017-07-28,65.9796,66.2333,65.7064,66.0674,1084168
2017-07-31,66.087,66.448,65.6527,66.4089,1319997
2017-08-01,65.9991,66.4089,65.6576,66.1162,1638665
2017-08-02,65.9991,66.4089,65.6576,66.1162,1638750
2017-08-03,65.9991,66.1845,65.482,65.6674,1276065
2017-08-04,65.6771,66.1065,65.4039,65.6869,1057330
2017-08-07,65.5796,65.9601,65.3161,65.6088,1108327
2017-08-08,65.482,65.6957,65.16,65.521,2096581
2017-08-09,65.6967,65.804,65.4039,65.7162,1865447
2017-08-10,65.5405,65.7454,65.3356,65.4527,1642099
2017-08-11,65.2478,65.7552,65.0917,65.3551,1260508
2017-08-14,65.5991,66.3797,65.5113,66.3309,1597853
2017-08-15,66.1748,66.6822,65.8918,66.6529,1491619
2017-08-16,66.7797,67.0432,66.0674,66.2626,1275433
2017-08-17,66.1553,66.4285,65.8918,66.0089,1441945
2017-08-18,65.8918,65.8918,65.2966,65.5405,2942273
2017-08-21,65.6576,66.3992,65.3942,66.126,975948
2017-08-22,66.126,66.4089,65.8137,66.0967,1021478
2017-08-23,66.1065,66.448,66.0674,66.3309,1251373
2017-08-24,66.4773,66.809,66.2333,66.3211,1484310
2017-08-25,66.4187,66.5943,66.2431,66.2919,1191219
2017-08-28,66.3406,66.4382,65.3064,65.7357,915453
2017-08-29,65.7747,66.087,65.3795,65.521,1039413
2017-08-30,65.443,65.6771,64.9112,65.6771,1323675
2017-08-31,65.6967,65.7942,65.199,65.521,2363046
2017-09-01,65.521,65.9162,65.2771,65.3649,1399816
2017-09-05,65.4722,65.5796,64.838,65.5113,1642776
2017-09-06,65.765,65.8918,65.3234,65.5893,1904626
2017-09-07,65.7454,66.204,65.6186,66.0772,3078188
