date,open,high,low,close,volume
2017-06-08,53.4646,55.0112,53.0355,54.7718,2823379
2017-06-09,55.0412,56.6577,54.9713,56.3683,4323731
2017-06-12,57.1965,57.436,55.9293,56.6776,1656586
2017-06-13,56.7974,57.7952,56.3683,57.7852,2960627
2017-06-14,57.4859,57.7852,56.5828,57.3961,2194229
2017-06-15,57.0069,57.915,56.987,57.5757,2009483
2017-06-16,57.8451,58.9727,57.6805,58.6434,3467539
2017-06-19,55.3904,56.029,52.7761,53.3947,22189563
2017-06-20,53.4446,53.4471,51.419,52.3071,10596280
2017-06-21,52.3171,52.3171,49.5231,50.7205,10582478
2017-06-22,51.0498,52.4468,50.1517,51.9179,10100829
2017-06-23,52.4867,56.1388,52.1873,56.069,7680587
2017-06-26,56.5379,58.5137,55.6898,58.2243,5608600
2017-06-27,58.3341,58.6794,57.3063,58.1445,6763596
2017-06-28,58.5237,59.5215,58.2443,58.6234,3992848
2017-06-29,58.9527,59.4217,58.2343,58.8829,4875684
2017-06-30,59.1822,59.524,58.3341,58.4638,3887325
2017-07-03,60.1002,60.659,58.5137,59.6213,6730337
2017-07-05,58.9228,60.0603,58.0447,59.6612,6736003
2017-07-06,59.9306,60.4495,58.6933,58.8729,5480347
2017-07-07,58.5636,58.823,57.3671,58.6135,5494472
2017-07-10,58.7532,59.9406,58.364,59.771,4065189
2017-07-11,59.9206,61.128,59.5215,60.9085,3994876
2017-07-12,61.3675,61.5771,60.4196,61.0981,4958435
2017-07-13,60.8786,61.6569,60.689,61.5671,2867599
2017-07-14,62.076,62.3753,61.3276,61.7467,1931712
2017-07-17,61.8066,62.8343,61.627,62.0361,2222295
2017-07-18,62.3953,62.6148,60.2998,61.0183,2153248
2017-07-19,61.2378,62.4402,60.8486,62.3853,3870685
2017-07-20,62.6946,63.1836,61.6868,61.8265,4244660
2017-07-21,61.8565,63.6626,61.7168,62.8044,4642549
2017-07-24,62.8543,63.3632,62.2157,62.9441,2866224
2017-07-25,63.8921,64.7502,63.5528,63.922,3294830
2017-07-26,64.0617,64.4309,63.0838,63.8322,2705350
2017-07-27,63.7524,67.4045,62.6847,66.8756,6355146
2017-07-28,66.9654,67.6939,65.8279,65.9576,4482366
2017-07-31,65.6582,66.0175,63.2634,63.5628,4461241
2017-08-01,63.2235,64.1315,62.5649,62.8743,2155345
2017-08-02,63.2235,64.1315,62.5649,62.8743,2155383
2017-08-03,62.984,63.3432,61.5172,61.9862,3499279
2017-08-04,62.0061,63.0938,61.8066,62.3254,2727328
2017-08-07,62.2257,62.2656,60.6391,61.5272,2879588
2017-08-08,61.148,63.0738,61.148,62.6448,4378691
2017-08-09,63.0541,63.5333,61.6664,62.6048,2652566
2017-08-10,62.8844,63.4933,61.916,61.9659,1663753
2017-08-11,61.7263,62.8943,61.5816,62.8245,1313096
2017-08-14,63.074,63.4933,61.5865,61.7163,2330825
2017-08-15,61.4268,61.5666,59.6997,60.9476,2978737
2017-08-16,60.748,61.4268,60.3786,60.6581,1990053
2017-08-17,60.119,61.4767,60.0391,60.9476,2886007
2017-08-18,60.8478,60.8777,60.0791,60.149,3441117
2017-08-21,60.0591,60.3886,59.4751,60.0791,2639361
2017-08-22,60.2987,61.5266,60.2887,61.1573,2384910
2017-08-23,61.0075,61.8361,60.8977,60.9376,2739708
2017-08-24,60.9376,61.6564,60.2188,61.1772,1100892
2017-08-25,61.317,61.3869,60.5683,60.9576,1860530
2017-08-28,60.7779,60.9875,60.099,60.728,1324847
2017-08-29,60.3386,61.297,60.0491,61.0774,1029774
2017-08-30,60.6481,61.8461,60.2787,61.6764,1399550
2017-08-31,61.906,62.8744,61.5666,62.2355,1679424
2017-09-01,62.3453,62.6947,61.2571,62.505,1776219
2017-09-05,62.8544,63.2687,62.0857,62.5849,3499192
2017-09-06,63.2038,63.2038,62.3652,62.8145,1966426
2017-09-07,62.7346,62.8145,61.367,62.0058,1940994
2017-09-08,61.3669,61.4368,59.5699,60.5683,3677877
2017-09-11,60.7579,61.1373,60.0891,60.8777,2992234
2017-09-12,61.1473,62.465,60.748,62.1256,2434070
2017-09-13,62.3752,63.2338,62.3752,63.0042,4418815
2017-09-14,55.3278,55.7323,54.2441,54.354,4123310
2017-09-15,64.5216,65.0607,64.0724,64.7512,3225072
2017-09-18,65.0108,65.3402,64.0324,64.2121,2325857
2017-09-19,64.2521,64.4318,63.5433,64.0125,2254865
2017-09-20,64.4318,65.0807,63.9626,64.3918,4171559
2017-09-21,63.9725,64.5316,63.2637,63.7329,3931032
2017-09-22,63.6431,64.4517,63.4534,64.1522,2202770
2017-09-25,64.4617,65.0008,64.1023,64.3419,2065692
2017-09-26,64.9908,65.7595,64.6414,64.8411,3062496
2017-09-27,65.3203,65.48,64.1023,65.1705,2428689
2017-09-28,65.1705,65.4101,64.2121,64.9509,3078715
2017-09-29,64.5915,65.44,64.4417,65.1306,2628981
2017-10-02,64.4018,65.4501,64.2221,65.2504,2608806
2017-10-03,65.2005,65.5898,64.0923,64.1023,1969696
2017-10-04,64.4717,64.6714,63.124,64.1023,4307605
2017-10-05,64.5016,65.4101,64.1373,64.9409,3254977
2017-10-06,64.2521,64.7313,63.1639,63.5033,5028964
2017-10-09,63.5433,63.8627,62.515,62.7945,3490691
2017-10-10,63.2438,63.4933,62.485,62.7745,2936949
