date,open,high,low,close,volume
2017-06-08,256.5158,258.2255,253.7375,258.0895,275270
2017-06-09,258.0215,259.0901,256.8655,258.6238,213841
2017-06-12,255.4861,257.4241,254.3981,255.1363,392686
2017-06-13,255.2529,256.1563,252.6786,254.8158,229732
2017-06-14,255.4861,257.1958,254.1358,255.0101,337865
2017-06-15,254.9809,257.3318,254.4758,256.2341,314335
2017-06-16,256.8363,258.8181,256.2535,258.6918,515142
2017-06-19,259.1678,260.8775,258.0701,260.7221,281081
2017-06-20,260.6443,261.2855,256.7489,259.4883,251396
2017-06-21,259.5466,259.6535,256.6518,258.8763,317640
2017-06-22,258.5946,258.8181,255.6318,256.3895,298483
2017-06-23,256.6421,258.7403,256.2566,258.1963,783872
2017-06-26,258.4003,259.3426,257.0306,257.9146,219198
2017-06-27,257.0792,258.3032,252.8535,253.0769,318182
2017-06-28,254.0744,255.0622,253.1306,254.5145,253545
2017-06-29,253.5071,254.9839,251.825,254.4558,282533
2017-06-30,254.5829,256.8812,251.5022,251.6098,406230
2017-07-03,252.715,255.7468,251.6881,255.4925,216614
2017-07-05,255.512,257.3409,252.9106,254.0059,381063
2017-07-06,253.3898,253.5463,248.0401,248.4411,299620
2017-07-07,248.979,251.2529,248.8519,250.1135,322983
2017-07-10,250.4264,250.9448,247.2186,247.5218,301751
2017-07-11,247.8836,248.8519,244.8519,246.1917,351728
2017-07-12,248.2064,249.5169,247.4435,248.4118,360273
2017-07-13,248.49,249.7907,246.5927,246.71,249754
2017-07-14,247.9814,249.1257,245.8103,247.9423,348810
2017-07-17,247.8836,252.2846,247.0523,252.1282,264315
2017-07-18,251.8739,253.4387,250.1428,253.1159,279847
2017-07-19,253.6049,257.7419,252.0793,257.693,339418
2017-07-20,257.9179,260.1967,257.1844,258.358,257891
2017-07-21,258.0255,259.5512,257.7419,259.0231,232598
2017-07-24,259.072,260.2749,256.7345,256.979,339402
2017-07-25,257.5658,258.1233,253.8739,255.6979,326238
2017-07-26,256.1771,262.6612,254.1526,261.2627,326655
2017-07-27,260.2064,260.9497,256.803,258.2309,329384
2017-07-28,257.8592,260.1575,255.7565,258.8372,441977
2017-07-31,257.7223,258.8372,254.7688,255.9424,672256
2017-08-01,257.3702,258.8177,255.7663,257.4094,386631
2017-08-02,256.3629,258.2944,254.7981,257.6636,296867
2017-08-03,257.3702,259.8837,255.3458,257.4778,324809
2017-08-04,257.116,259.5903,256.1086,256.2358,249679
2017-08-07,256.1477,257.3311,254.5927,255.7565,322701
2017-08-08,255.4729,257.0377,255.2333,256.9106,394297
2017-08-09,257.2333,259.3947,256.4656,258.8372,394257
2017-08-10,258.1624,258.5438,256.5781,256.7541,293602
2017-08-11,257.5463,257.6343,253.1551,253.4387,216120
2017-08-14,254.9057,258.0377,254.9057,257.6636,340870
2017-08-15,257.4876,259.5512,255.6685,259.248,444893
2017-08-16,260.2064,262.358,256.3922,256.9204,338374
2017-08-17,256.1771,259.1013,255.7957,256.8323,373350
2017-08-18,256.402,257.1013,254.7199,255.023,670628
2017-08-21,255.2382,259.0964,254.6416,258.3874,218225
2017-08-22,258.7297,260.1575,256.7248,259.3947,288397
2017-08-23,259.1991,262.2847,258.9253,261.2822,252017
2017-08-24,261.7223,262.6808,260.3825,260.5487,396526
2017-08-25,260.6563,261.605,259.8055,259.8055,226924
2017-08-28,260.0206,260.4852,257.7223,260.2162,236526
2017-08-29,260.2064,261.9375,258.446,258.8177,220722
2017-08-30,258.4167,260.4901,257.2138,260.4901,201592
