date,open,high,low,close,volume
2017-06-20,37.54,37.54,37.025,37.05,1967713
2017-06-21,37.21,37.24,36.69,36.82,1388389
2017-06-22,36.69,36.8,36.44,36.49,1384000
2017-06-23,36.64,36.64,36.17,36.24,2415553
2017-06-26,36.3,36.76,36.09,36.69,2345557
2017-06-27,36.83,37.53,36.66,37.22,2323787
2017-06-28,37.52,37.95,37.44,37.69,2143793
2017-06-29,38.34,38.52,37.355,37.68,2283675
2017-06-30,38.15,38.48,37.81,38.03,2754600
2017-07-03,38.28,38.5732,38.1345,38.45,1254696
2017-07-05,38.6,39.1499,38.47,38.7,2989894
2017-07-06,38.58,38.95,38.13,38.51,1855876
2017-07-07,38.71,38.89,38.38,38.69,2137706
2017-07-10,38.52,38.76,38.23,38.68,2333845
2017-07-11,38.74,38.74,38.17,38.5,2670978
2017-07-12,38.43,38.94,38.26,38.85,2060994
2017-07-13,38.96,39.49,38.85,39.41,2420496
2017-07-14,38.97,39.58,38.85,39.5,2469210
2017-07-17,39.5,39.7,39.18,39.52,1631223
2017-07-18,39.38,40.16,39.38,40.07,4181785
2017-07-19,40.22,40.4,39.48,39.67,3314383
2017-07-20,39.77,39.88,39.42,39.6,3457045
2017-07-21,40.87,41.83,40.7,41.63,5862642
2017-07-24,41.91,41.97,41.38,41.48,2322585
2017-07-25,41.99,42.19,41.765,41.92,2283698
2017-07-26,41.94,41.97,40.98,41.11,3183851
2017-07-27,41.23,41.3384,40.47,40.72,3694693
2017-07-28,40.69,41.09,40.5,41.02,1517826
2017-07-31,41.14,41.18,40.935,41.0,1554089
2017-08-01,41.22,41.24,40.84,41.16,2769852
2017-08-02,41.1,41.2,40.62,41.09,2067121
2017-08-03,40.98,41.2499,40.91,41.04,1541766
2017-08-04,41.31,41.61,41.16,41.21,1233418
2017-08-07,41.22,41.27,40.955,41.11,1670945
2017-08-08,41.01,41.97,41.01,41.23,1730319
2017-08-09,40.85,41.17,40.5562,41.15,1117748
2017-08-10,40.87,40.92,40.12,40.15,1964170
2017-08-11,40.31,40.4477,39.8731,40.07,1182001
2017-08-14,40.57,40.86,40.19,40.51,2461327
2017-08-15,40.9,41.36,39.81,40.34,3199522
2017-08-16,40.58,40.77,40.16,40.42,1475855
2017-08-17,40.26,40.355,39.59,39.61,2341006
2017-08-18,39.49,39.81,39.12,39.72,3053133
2017-08-21,39.67,39.87,39.32,39.84,2109522
2017-08-22,39.95,40.82,39.89,40.64,2276523
2017-08-23,40.28,40.75,40.16,40.59,1740928
2017-08-24,40.73,41.08,40.54,40.94,2848549
2017-08-25,41.03,41.37,40.93,41.07,2815713
2017-08-28,41.17,41.36,40.85,41.03,2748808
2017-08-29,40.46,40.7,40.23,40.67,1750992
2017-08-30,40.63,41.04,40.57,40.91,1168185
2017-08-31,41.01,41.15,40.696,41.01,2330783
2017-09-01,41.09,41.2,40.79,40.99,2694023
2017-09-05,40.62,40.75,39.8,39.94,2576453
2017-09-06,40.17,40.39,39.9,40.12,1885943
2017-09-07,40.2,40.2,39.33,39.49,2227157
2017-09-08,39.51,40.2,39.365,39.66,2311768
2017-09-11,39.83,40.63,39.83,40.44,1655025
2017-09-12,40.63,40.925,40.42,40.75,1472336
2017-09-13,40.6,40.67,40.17,40.67,1976614
2017-09-14,40.53,41.17,40.53,40.72,1578897
2017-09-15,40.73,41.47,40.55,41.06,3594233
2017-09-18,41.5,41.89,41.3689,41.46,4493640
2017-09-19,41.62,42.19,41.46,41.7,3536506
2017-09-20,41.75,41.95,41.37,41.78,3025922
2017-09-21,41.8,41.88,41.4153,41.78,1491097
2017-09-22,41.68,41.88,41.46,41.82,1527041
2017-09-25,41.62,41.9,41.5,41.66,1794627
2017-09-26,41.81,42.059,41.64,41.9,1462470
2017-09-27,42.5,43.32,42.43,43.16,2068613
2017-09-28,43.17,43.32,42.895,43.2,1239412
2017-09-29,43.1,43.67,42.97,43.61,2165361
2017-10-02,43.76,43.8,43.4,43.66,1823851
2017-10-03,43.79,44.49,43.67,44.38,1886903
2017-10-04,44.34,44.58,44.17,44.25,1764817
2017-10-05,44.48,45.22,44.22,45.01,2240300
2017-10-06,45.33,45.7,43.28,43.95,5712772
2017-10-09,44.46,44.63,44.04,44.43,2974792
2017-10-10,44.43,44.46,43.88,43.99,1968893
2017-10-11,43.89,44.33,43.61,44.24,1942651
2017-10-12,44.38,44.5,43.92,43.98,1426592
2017-10-13,43.81,43.93,43.38,43.86,1761653
2017-10-16,43.79,44.62,43.78,44.49,2958412
2017-10-17,44.63,44.9589,43.665,43.78,1812280
2017-10-18,44.01,44.13,43.8,43.92,1393783
2017-10-19,43.65,43.86,43.28,43.69,2891953
2017-10-20,43.05,43.7301,42.5478,43.2,5485309
2017-10-23,43.38,43.68,42.635,42.75,3074575
2017-10-24,43.1,43.75,42.95,43.62,3445366
2017-10-25,44.04,44.22,42.955,43.42,2341251
2017-10-26,43.48,44.08,43.28,43.64,1897664
2017-10-27,43.57,43.61,43.0,43.29,1829047
2017-10-30,43.03,43.66,43.0,43.47,1694277
2017-10-31,43.37,44.245,43.37,43.59,2251026
2017-11-01,43.88,44.385,43.4,43.54,1716340
2017-11-02,43.43,44.62,43.22,44.45,1797597
2017-11-03,44.34,44.34,43.8,44.02,1261514
2017-11-06,43.94,44.25,43.61,44.1,1042528
2017-11-07,44.06,44.5,43.43,43.62,1267707
2017-11-08,43.59,43.67,43.19,43.48,1838961
2017-11-09,43.18,43.41,42.555,43.08,1393057
2017-11-10,43.12,43.35,42.86,42.92,1599496
2017-11-13,42.72,43.63,42.62,43.6,1865136
2017-11-14,43.39,44.065,43.1511,43.87,1521218
2017-11-15,43.47,44.14,43.21,43.76,1490263
2017-11-16,43.93,44.09,43.755,44.02,1246977
2017-11-17,43.76,44.315,43.75,44.18,1441433
2017-11-20,44.23,44.62,44.01,44.45,1292827
2017-11-21,44.55,45.18,44.525,44.9,1775871
2017-11-22,45.0,45.13,44.63,44.74,1514658
2017-11-24,45.04,45.1,44.76,44.87,676968
2017-11-27,44.81,45.33,44.81,45.13,1938798
2017-11-28,45.22,46.42,44.715,46.31,3781830
2017-11-29,46.87,47.99,46.7,47.78,3860089
2017-11-30,48.12,48.72,47.81,48.14,3375047
2017-12-01,48.4,48.94,47.26,48.89,2924472
2017-12-04,49.74,50.895,49.7,50.54,3952821
2017-12-05,50.69,50.69,49.81,49.92,2810818
2017-12-06,49.77,50.06,49.271,49.4,2941705
2017-12-07,49.28,50.125,49.07,49.84,2053410
2017-12-08,50.1,50.47,49.4501,50.38,1596021
2017-12-11,50.28,50.5,49.465,49.64,1653700
2017-12-12,49.73,50.29,49.58,49.84,2625313
2017-12-13,49.66,49.76,48.66,48.7,4020315
2017-12-14,49.17,49.38,47.95,48.43,3313899
2017-12-15,48.57,49.94,48.4,49.88,5274063
2017-12-18,50.36,51.039,49.51,49.78,2806392
2017-12-19,50.06,50.45,49.55,49.57,2627537
