date,open,high,low,close,volume
2017-06-20,75.1658,75.34,74.5174,74.5755,1796709
2017-06-21,74.7497,74.8803,73.3174,73.4722,1702935
2017-06-22,73.54,73.9561,73.27,73.3271,1946630
2017-06-23,73.3948,74.4497,73.2206,74.4013,2995752
2017-06-26,74.6529,75.1077,73.8401,74.2948,1415651
2017-06-27,74.2174,74.4593,73.6948,73.9658,1642021
2017-06-28,74.5174,75.1368,74.3045,74.9432,1608561
2017-06-29,75.0884,75.4852,73.5497,74.1593,1751300
2017-06-30,74.4206,75.7949,74.3819,75.3207,1843617
2017-07-03,75.8432,76.2303,75.2045,75.8239,1386832
2017-07-05,75.8045,76.3174,75.4852,76.0949,1892701
2017-07-06,75.7949,76.4336,75.7368,76.0174,1923390
2017-07-07,76.0174,77.3239,75.8239,76.8013,1934334
2017-07-10,76.7239,78.2239,76.7239,77.8078,2238511
2017-07-11,77.711,77.9046,76.9078,77.8562,2314978
2017-07-12,78.1852,78.9981,77.8852,77.9142,1843368
2017-07-13,77.8175,78.0884,77.3626,77.7304,1857897
2017-07-14,77.9239,78.2433,77.7884,78.011,1683278
2017-07-17,77.8852,77.9336,77.4788,77.6239,1808266
2017-07-18,77.5852,77.6433,77.0626,77.6433,1583540
2017-07-19,77.8465,78.0013,77.2078,77.7884,1758258
2017-07-20,77.7304,77.7497,76.9658,76.9949,1530099
2017-07-21,76.6368,76.8497,75.8287,76.4239,2436414
2017-07-24,76.4529,76.5594,75.9497,76.1142,1786912
2017-07-25,76.9368,77.0239,76.2013,76.7723,2311751
2017-07-26,76.7916,76.7916,75.9787,76.4529,1821870
2017-07-27,76.5594,76.6271,75.4368,75.9594,2638713
2017-07-28,75.9207,76.0561,75.1174,75.9013,1734915
2017-07-31,75.9013,76.5303,75.34,75.7271,3675636
2017-08-01,71.6121,72.6268,71.3292,72.2951,5824244
2017-08-02,71.6121,72.6268,71.3292,72.2951,5824347
2017-08-03,72.0999,72.178,71.1926,71.817,4533726
2017-08-04,71.8853,72.7536,71.817,72.7146,2778315
2017-08-07,71.9633,72.6268,71.8853,72.1877,3197306
2017-08-08,71.9146,72.4901,71.1438,71.2121,4769918
2017-08-09,70.9975,71.5828,70.8901,71.3584,3167251
2017-08-10,71.1145,71.1926,69.8657,69.9047,2704385
2017-08-11,69.9925,70.173,69.6413,69.7389,1294693
2017-08-14,70.4316,70.8121,70.0706,70.7145,2032861
2017-08-15,70.6755,71.1145,70.3633,70.5487,1973921
2017-08-16,70.7633,71.1633,70.6706,70.8999,2103335
2017-08-17,69.7779,70.9096,69.7291,69.973,4160596
2017-08-18,69.8755,70.2121,69.4657,69.4657,2261065
2017-08-21,68.451,68.9779,68.1193,68.8023,2684823
2017-08-22,69.573,70.3535,69.4657,70.1486,2317420
2017-08-23,69.6901,70.0023,69.3876,69.4754,1182801
2017-08-24,69.6316,69.6316,68.813,68.9193,2530326
2017-08-25,69.3096,69.4362,68.8608,68.9779,1734668
2017-08-28,69.2511,69.4072,68.5388,68.7242,1319877
2017-08-29,68.451,68.9779,68.1193,68.8023,2684823
2017-08-30,68.7827,69.4267,68.773,69.3193,2561602
2017-08-31,69.7096,70.1291,69.4559,70.0121,2252886
2017-09-01,70.2852,70.3926,69.8364,69.8852,1707331
2017-09-05,69.8657,70.1779,69.0071,69.3681,2039028
2017-09-06,69.8267,69.8755,69.3876,69.5925,1700425
2017-09-07,69.7389,69.7779,68.9096,69.5828,1439251
2017-09-08,69.4657,70.656,69.3584,70.3828,1775647
2017-09-11,70.9194,71.5926,70.7145,71.5633,2186492
2017-09-12,71.7097,72.8317,71.6658,72.7829,2483067
2017-09-13,72.7243,73.1244,72.3926,73.1048,2137316
2017-09-14,72.939,73.8756,72.5731,73.778,2480978
2017-09-15,73.7488,75.1049,73.3878,75.0366,4901320
2017-09-18,75.1244,76.1391,74.6659,76.0025,2832521
2017-09-19,75.8464,75.9732,75.0854,75.1537,3215299
2017-09-20,75.3391,76.3018,75.2415,75.8757,2482024
2017-09-21,75.8074,76.344,75.7683,76.1586,1784557
2017-09-22,76.0903,76.5976,75.7976,76.1976,1624863
2017-09-25,76.2366,76.3245,75.0171,75.661,2669637
2017-09-26,75.7098,75.7586,75.1439,75.2317,1855662
2017-09-27,75.5537,75.7196,74.939,75.2415,2015333
2017-09-28,74.9683,75.0951,73.5927,74.2366,3048055
2017-09-29,74.1,75.0659,73.8756,74.9195,2236259
2017-10-02,75.0756,75.6903,74.5293,75.6513,1755411
2017-10-03,75.7879,75.8659,75.3683,75.5635,2018426
2017-10-04,75.4659,76.2854,75.1342,76.1586,2209413
2017-10-05,76.061,76.344,75.7,75.9049,2032978
2017-10-06,75.7391,76.3147,75.5439,75.8561,2281192
2017-10-09,75.8659,76.2171,75.4269,75.7879,1368753
2017-10-10,76.061,76.2269,75.5147,76.0805,1612769
2017-10-11,76.0513,76.7537,75.8366,76.6171,2390582
2017-10-12,76.6464,77.2318,76.4025,76.8025,2504019
2017-10-13,77.1928,77.2611,76.5586,76.6171,1942761
2017-10-16,76.9001,77.3781,76.6074,77.3001,1400456
2017-10-17,75.9342,76.5196,74.7342,76.1684,3535673
2017-10-18,76.2562,76.6952,76.0415,76.0708,2249476
2017-10-19,75.4854,76.2854,75.4561,76.1196,2168542
2017-10-20,76.5586,77.1147,76.2854,77.0074,2560550
2017-10-23,77.105,77.1635,76.5147,76.5684,2196924
2017-10-24,76.9976,78.1879,76.9879,77.6416,3107856
2017-10-25,77.505,77.7489,76.422,77.0952,1977296
2017-10-26,77.5635,77.9928,77.2708,77.5635,1642770
2017-10-27,77.5343,78.0416,77.2074,77.8269,1987626
2017-10-30,77.7099,78.4709,77.2513,77.3001,3741342
2017-10-31,76.0415,79.5148,75.7293,78.0709,4955367
2017-11-01,78.9099,80.3343,78.8319,79.5246,3680458
2017-11-02,79.6622,79.9472,77.9667,78.0208,3227141
2017-11-03,77.7947,77.8832,75.7601,76.7627,4477267
2017-11-06,76.7627,77.2934,76.3105,76.9691,2239793
2017-11-07,77.0575,77.6276,76.8216,77.3229,1454311
2017-11-08,77.0674,77.8537,76.6055,77.6964,2281816
2017-11-09,77.3721,78.1289,76.4678,76.5268,2924342
2017-11-10,76.5661,76.743,76.1533,76.5858,1380391
2017-11-13,76.3695,76.8216,76.1828,76.6054,1393571
2017-11-14,76.1631,76.34,75.5734,75.5734,1844785
2017-11-15,75.1606,75.2884,74.3055,74.5709,2029864
2017-11-16,74.8362,75.4849,74.8362,75.1311,1824814
2017-11-17,74.6888,74.6986,74.1286,74.3448,2965255
2017-11-20,74.561,74.679,74.2072,74.3939,2934168
2017-11-21,74.7871,75.023,74.5315,74.9935,1802331
2017-11-22,75.023,75.3572,74.8751,74.9149,995281
2017-11-24,75.0623,75.0623,74.5315,74.62,698922
2017-11-27,74.6397,74.7478,74.2367,74.2367,1493915
2017-11-28,74.3743,75.7208,74.2662,75.5341,2029079
2017-11-29,75.7012,75.9665,75.0525,75.5242,1839554
2017-11-30,75.6619,76.6546,75.6029,76.4482,2725330
2017-12-01,76.6546,77.0723,75.0918,76.3695,2263985
2017-12-04,76.9691,77.2639,75.0918,75.1016,2329218
2017-12-05,75.2392,75.308,73.6568,73.6666,3000553
2017-12-06,73.6568,74.9542,73.6175,74.4922,3000765
2017-12-07,74.3546,76.1435,74.3251,75.9371,3538475
2017-12-08,76.1631,76.5268,75.6913,75.9665,2363727
2017-12-11,76.0157,76.7725,75.7896,76.4383,3755061
2017-12-12,76.5071,77.1067,76.401,76.4285,2189309
2017-12-13,76.6251,77.146,76.2123,76.2417,2148054
2017-12-14,76.3597,76.4383,75.1016,75.1311,1719715
2017-12-15,75.7847,76.4482,75.2687,75.9665,3503663
2017-12-18,76.5464,77.0821,75.6619,75.7405,2747431
2017-12-19,75.7601,75.996,75.426,75.5439,1930790
2017-12-20,75.8781,76.2123,75.6913,75.8289,2319027
2017-12-21,75.8977,77.0379,75.8388,76.7627,2076889
2017-12-22,76.7332,76.9396,76.1828,76.1828,1362123
2017-12-26,76.2712,76.3794,75.8879,75.996,676303
2017-12-27,76.0747,76.3499,75.6913,76.0943,1135454
2017-12-28,76.2417,76.8511,76.1041,76.8216,1083189
2017-12-29,77.5588,78.2861,77.2148,77.6571,3245939
2018-01-02,77.8733,78.1584,76.1877,77.5097,2814918
2018-01-03,77.9028,80.2715,77.5097,80.2421,4255893
2018-01-04,80.2912,80.5861,79.0823,79.387,3936423
2018-01-05,79.4951,80.0258,78.8759,79.9963,2398900
2018-01-08,79.9767,80.8908,79.613,80.6254,1818233
2018-01-09,80.4681,81.0775,78.9348,80.5762,2216041
2018-01-10,80.2715,81.2642,79.9226,81.0578,2127301
2018-01-11,81.2446,82.5518,80.9202,82.5518,1897871
2018-01-12,82.7189,82.9057,82.0407,82.7975,2417481
2018-01-16,82.9941,83.0531,81.279,81.9228,2198454
2018-01-17,82.0604,82.5518,81.854,82.1685,1379432
2018-01-18,82.257,82.5616,81.5984,82.1292,2001600
2018-01-19,82.4634,82.9646,82.1193,82.5125,3215005
2018-01-22,82.4928,82.9745,82.08,82.9155,2413427
2018-01-23,82.5223,83.8541,82.3946,83.6625,2393651
2018-01-24,84.1342,84.1441,82.8958,83.0531,2862229
2018-01-25,83.633,84.203,82.496,83.7608,2592225
2018-01-26,84.036,85.0287,83.5838,85.009,1863270
2018-01-29,84.7338,85.3334,83.9082,84.1244,1883793
2018-01-30,83.4561,84.1637,82.886,83.289,2478757
2018-01-31,83.8689,84.0654,81.9965,82.5322,2901044
2018-02-01,85.4415,88.3115,85.1663,86.3555,6112747
2018-02-02,85.6282,85.9034,83.4462,83.633,6100278
2018-02-05,84.203,84.2102,80.1831,80.1831,5528363
2018-02-06,78.866,81.854,78.1387,81.2642,4994543
2018-02-07,80.9104,82.9351,80.1929,80.2224,3908996
2018-02-08,80.4091,80.8957,78.0404,78.0502,3150932
2018-02-09,79.3182,80.2027,77.6374,79.387,4925807
2018-02-12,80.0553,81.1561,79.8489,80.6155,2789839
2018-02-13,80.0651,80.7334,79.5983,80.4288,1332524
2018-02-14,79.8489,81.4412,79.6327,81.2544,2399575
2018-02-15,81.6869,81.9916,80.3797,81.3429,1516624
2018-02-16,81.2446,82.4732,80.7925,81.3724,2200193
2018-02-20,81.0185,81.6181,80.0553,80.3109,3344556
2018-02-21,80.3207,81.2348,79.8686,80.1634,2219257
2018-02-22,80.6254,81.2348,80.2814,80.4779,1778941
2018-02-23,81.0873,81.2446,80.1733,80.8121,2204900
2018-02-26,80.9497,81.1365,80.1438,80.8711,2855451
2018-02-27,80.7826,81.6721,80.5271,80.5566,2514839
2018-02-28,80.7532,81.0972,79.2985,79.3182,2323493
