date,open,high,low,close,volume
2017-06-20,76.0297,76.3547,75.8385,76.2208,583582
2017-06-21,76.412,76.412,75.3797,75.8672,723137
2017-06-22,75.9436,76.2304,75.6473,75.6951,691965
2017-06-23,75.6951,76.1492,75.4753,75.5039,1033079
2017-06-26,75.7525,76.4598,75.4944,76.2495,747396
2017-06-27,75.8194,76.1061,74.6628,74.6819,911114
2017-06-28,75.0929,75.2172,74.3664,74.3951,901540
2017-06-29,73.7356,73.9258,73.1429,73.487,865713
2017-06-30,73.7451,74.0415,73.3532,73.3819,1298512
2017-07-03,73.6591,73.6687,73.0187,73.0951,529268
2017-07-05,73.1334,73.1621,72.4547,72.6077,1045771
2017-07-06,72.5121,72.6937,72.0819,72.1871,892991
2017-07-07,72.1871,72.7797,72.058,72.4452,907816
2017-07-10,72.3878,72.8849,71.9768,71.9863,1142375
2017-07-11,72.101,72.2157,71.5275,71.8621,1134514
2017-07-12,72.5694,72.7224,72.2157,72.3496,664249
2017-07-13,72.1871,72.2827,71.6518,71.7474,888730
2017-07-14,72.2635,72.4929,72.0724,72.1584,524256
2017-07-17,72.1871,72.4547,71.9099,72.2731,1176764
2017-07-18,72.426,72.5312,72.1393,72.3018,730946
2017-07-19,72.426,72.6268,72.1441,72.5503,718515
2017-07-20,72.6459,73.2194,72.2157,73.0951,1280844
2017-07-21,73.1429,73.7834,73.0856,73.7738,1018974
2017-07-24,73.4966,73.7738,72.8275,72.9422,718071
2017-07-25,72.8944,72.9613,71.9385,72.0915,891880
2017-07-26,71.929,72.4834,71.843,72.3018,739752
2017-07-27,72.0819,72.7893,71.9577,72.7893,745826
2017-07-28,72.7988,73.0856,72.4165,72.8849,821855
2017-07-31,72.8753,73.487,72.6459,73.3341,1699164
2017-08-01,73.1716,73.5062,72.6172,73.487,1068056
2017-08-02,73.6591,74.2517,72.6937,73.1525,1674972
2017-08-03,73.401,73.8025,73.1143,73.4679,1120705
2017-08-04,73.1716,73.5062,72.6172,73.487,1068056
