date,open,high,low,close,volume
2018-06-05,54.5,54.74,53.21,54.25,2904786
2018-06-06,54.05,54.19,52.11,52.29,3642973
2018-06-07,52.25,52.56,51.74,51.93,2928630
2018-06-08,52.26,52.51,51.26,51.32,1830776
2018-06-11,51.46,51.76,50.89,51.57,2490703
2018-06-12,51.83,52.46,51.47,52.25,2956130
2018-06-13,52.4,53.12,51.67,52.18,2088989
2018-06-14,52.45,52.75,51.63,51.95,2494432
2018-06-15,52.06,53.16,51.65,52.78,5928826
2018-06-18,52.78,53.22,52.26,52.93,1874817
2018-06-19,53.24,54.0,53.09,53.97,2585688
