date,open,high,low,close,volume
2017-06-08,145.7033,147.8717,144.5151,147.7529,1673303
2017-06-09,147.6242,149.1392,140.792,142.1783,2707577
2017-06-12,140.7524,144.0101,140.1583,142.8615,2581905
2017-06-13,143.3764,145.2973,143.3665,144.4854,1366777
2017-06-14,145.3666,148.0302,144.5745,145.7429,1590890
2017-06-15,143.9606,144.5448,142.3367,144.2576,1164770
2017-06-16,144.3071,145.129,143.5744,144.7725,1734305
2017-06-19,145.5547,147.3767,144.9804,146.9311,1367383
2017-06-20,147.2281,147.9906,145.931,146.238,1110933
2017-06-21,145.7825,148.1886,145.0102,147.9906,937826
2017-06-22,148.0302,151.3274,147.4163,150.5056,1972048
2017-06-23,150.0996,153.179,149.5154,152.9117,1574765
2017-06-26,152.9117,154.8523,150.1194,150.4858,1466625
2017-06-27,150.3175,150.5254,145.0597,146.436,1974485
2017-06-28,149.0203,149.3372,146.8915,148.5946,2650066
2017-06-29,147.8915,148.1094,144.4953,146.6538,2407590
2017-06-30,147.7826,148.5252,146.1389,147.4856,1661636
2017-07-03,148.0896,148.2183,145.3567,146.2776,826531
2017-07-05,146.8222,149.1193,146.1984,148.6738,1723227
2017-07-06,147.7727,149.0995,146.6241,147.1984,1285685
2017-07-07,147.4856,148.9114,147.4856,148.3074,932340
2017-07-10,148.1589,149.8372,147.5945,148.5054,1036030
2017-07-11,148.7233,149.4857,148.0698,148.4658,1212956
2017-07-12,149.8323,151.1393,149.456,150.8422,1470098
2017-07-13,150.7432,151.5651,150.3373,151.3967,1005078
2017-07-14,152.2186,153.2583,151.1988,152.6543,1216820
2017-07-17,152.783,152.9216,150.664,151.2284,1291421
2017-07-18,150.971,152.1889,150.3719,152.0601,933731
2017-07-19,152.7335,154.3128,152.4018,153.9415,1007330
2017-07-20,153.6939,154.4465,152.4463,153.1097,953561
2017-07-21,152.3968,153.4266,151.4264,152.4265,1218922
2017-07-24,152.4265,153.5058,152.3671,153.0899,858425
2017-07-25,154.1494,154.2682,152.6444,153.0503,1697370
2017-07-26,153.7137,156.4466,153.481,155.397,2066509
