date,open,high,low,close,volume
2017-06-08,61.8956,62.2018,61.4412,61.9845,708960
2017-06-09,62.0438,62.6957,61.945,62.5377,715761
2017-06-12,62.4389,62.8538,61.9944,62.6068,919939
2017-06-13,62.5179,63.97,62.3796,63.8021,911411
2017-06-14,63.8811,64.8886,63.8119,64.533,1014744
2017-06-15,64.1379,64.3552,63.7724,64.0095,1022811
2017-06-16,64.0688,64.0787,63.2785,63.5749,1383628
2017-06-19,63.8811,64.7405,63.6885,64.6417,790669
2017-06-20,64.6121,65.0467,64.4244,64.5429,656818
2017-06-21,64.3454,64.6071,64.049,64.2367,909231
2017-06-22,64.3058,64.5232,63.9305,64.296,618616
2017-06-23,64.6022,65.2838,64.2861,65.2443,1569623
2017-06-26,65.3134,65.5406,65.0961,65.0961,790661
2017-06-27,64.938,65.1949,64.6615,64.6713,1124954
2017-06-28,65.106,65.1949,64.696,65.0665,695754
2017-06-29,65.0566,65.0566,63.486,64.128,1107763
2017-06-30,64.296,64.8985,64.296,64.4441,667894
2017-07-03,64.7997,64.9776,64.4145,64.6121,379823
2017-07-05,64.5429,64.701,64.1379,64.6121,825418
2017-07-06,64.2268,64.3651,63.9799,64.2565,879239
2017-07-07,64.3651,65.6888,64.2861,65.1257,860870
2017-07-10,65.0961,65.8962,64.7997,65.6394,1063466
2017-07-11,65.5801,65.8765,65.2245,65.748,1144626
2017-07-12,66.1432,66.3308,65.7579,65.9851,859593
2017-07-13,65.9752,66.5086,65.9456,66.479,1314636
2017-07-14,66.5383,66.6766,66.2123,66.2814,905121
2017-07-17,66.2321,66.3901,66.0246,66.2518,916005
2017-07-18,66.1629,66.3111,65.6295,65.9456,520915
2017-07-19,64.9578,66.3704,64.9578,66.2913,1213700
2017-07-20,66.2518,66.3802,64.7948,64.8294,1090045
2017-07-21,64.7306,65.2245,64.5429,65.0763,599402
2017-07-24,65.0763,65.0763,64.6516,64.9084,777158
2017-07-25,65.343,65.4418,64.8343,65.1257,460823
2017-07-26,65.0665,65.3628,64.9084,65.106,513818
2017-07-27,65.185,65.585,64.7405,64.938,685207
2017-07-28,64.9479,65.3529,64.4244,64.859,844918
2017-07-31,65.0269,65.2838,64.6022,64.8689,917344
2017-08-01,65.1158,65.4912,64.9578,65.3529,1383929
2017-08-02,65.2245,65.7629,65.0269,65.4418,1371825
2017-08-03,65.0763,65.6196,62.9624,64.2466,2537598
2017-08-04,64.3355,64.7405,64.2653,64.4343,1144810
2017-08-07,64.3947,64.5874,64.0391,64.4639,1460071
2017-08-08,64.2861,64.2861,63.5452,63.565,1652660
2017-08-09,63.5452,63.5749,62.9032,63.0909,1715592
2017-08-10,62.8933,63.0118,62.0537,62.1228,1440516
2017-08-11,61.9351,62.8044,61.7968,62.5377,1002023
2017-08-14,62.9723,63.723,62.7649,63.4662,633916
2017-08-15,63.4761,63.7626,63.0513,63.1106,509982
2017-08-16,63.1896,63.7132,63.1896,63.3773,685562
2017-08-17,63.1007,63.3082,61.9055,61.9252,862902
2017-08-18,61.7573,61.8759,61.2733,61.7376,1327532
2017-08-21,61.7376,62.1327,61.5005,62.0537,675593
2017-08-22,62.1524,62.6049,62.0339,62.4784,756493
2017-08-23,62.1812,62.4982,61.7553,61.993,964187
2017-08-24,62.1317,62.2605,61.7256,61.8741,754309
2017-08-25,62.1713,62.1713,61.5076,61.7652,886536
2017-08-28,62.0723,62.0723,61.2401,61.3689,656841
2017-08-29,61.042,61.5274,60.7647,61.359,592247
2017-08-30,61.4878,61.6067,61.26,61.4284,846336
2017-08-31,61.7751,62.0723,61.5175,61.9435,1258223
2017-09-01,62.2011,62.419,61.9831,62.3794,836890
2017-09-05,62.2803,62.4982,61.785,62.0525,782672
2017-09-06,62.1713,62.8648,62.0624,62.7261,1038986
2017-09-07,62.8747,62.8747,62.1317,62.3695,1072465
2017-09-08,62.3199,63.9644,62.1317,63.8257,1019445
2017-09-11,64.0535,64.0535,63.2907,63.895,983223
2017-09-12,64.0634,64.9352,64.0337,64.8262,982750
2017-09-13,64.7569,64.7569,63.8405,64.1427,682804
2017-09-14,63.9148,64.1328,63.4047,63.8257,708148
2017-09-15,63.8059,64.3111,63.3997,64.1328,1191243
2017-09-18,64.2714,64.5488,63.6275,63.6474,687883
2017-09-19,63.7167,63.9095,63.578,63.7068,566430
2017-09-20,63.578,64.0634,63.5681,63.9049,527279
2017-09-21,63.8455,64.3903,63.5879,64.2814,572838
2017-09-22,64.1823,64.7965,63.9445,64.3012,630733
2017-09-25,64.1625,64.8757,64.0733,64.6875,620450
2017-09-26,64.7866,65.2819,64.638,64.8163,687710
2017-09-27,64.9649,66.0149,64.8163,65.7871,882274
2017-09-28,65.7277,66.6588,65.7277,66.6291,827217
2017-09-29,66.6886,67.1294,66.3121,66.5994,967654
2017-10-02,66.6291,67.1145,66.4409,67.0452,768384
2017-10-03,66.9362,66.9362,65.9803,66.1536,1560000
2017-10-04,66.3121,66.3121,65.4206,65.7078,1341373
2017-10-05,65.8564,65.8564,65.0738,65.1333,823101
2017-10-06,64.9847,65.3512,64.9253,65.3413,767513
2017-10-09,65.3413,65.5493,65.1432,65.3809,641219
2017-10-10,65.5791,65.5791,64.8658,65.0045,691669
2017-10-11,65.0838,65.5791,64.9253,65.4404,709946
2017-10-12,65.4602,65.9258,65.4602,65.6286,825718
2017-10-13,65.7475,65.8267,65.4897,65.6187,586929
2017-10-16,65.6781,65.7475,65.2621,65.6781,478335
2017-10-17,65.6979,65.9258,65.3017,65.4602,662819
2017-10-18,65.5989,65.8366,64.7172,64.737,1189936
2017-10-19,64.5488,65.0838,64.2814,64.9649,1748295
2017-10-20,65.3215,66.54,65.2819,66.3716,1167071
2017-10-23,66.4706,67.4712,66.3617,66.9065,1552072
2017-10-24,66.5895,67.7188,66.3121,67.4811,1778100
2017-10-25,67.2928,67.3523,65.8366,66.2477,960502
2017-10-26,65.797,68.1745,65.797,67.7089,1998155
2017-10-27,66.9857,67.7188,66.0942,66.2032,1091664
2017-10-30,66.2923,66.3914,65.3809,65.5295,1023565
2017-10-31,65.5196,65.7277,65.2224,65.4404,925287
2017-11-01,65.7772,65.7772,64.3903,64.5884,971712
2017-11-02,64.5984,64.9054,63.2521,63.9545,1057310
2017-11-03,63.7761,64.3309,63.3799,63.5681,1105648
2017-11-06,63.3304,63.7959,63.2214,63.6176,768270
2017-11-07,63.6474,64.1625,63.5582,63.8554,1058329
2017-11-08,63.7167,63.7365,63.0827,63.5186,738271
2017-11-09,63.1421,63.4889,62.8251,63.3997,1010543
2017-11-10,63.479,63.5978,63.0629,63.37,645967
2017-11-13,63.1223,64.0337,62.8152,63.8257,792391
2017-11-14,63.6672,64.212,63.469,64.0832,607150
2017-11-15,63.8752,63.8752,63.2115,63.4591,586862
2017-11-16,63.6573,64.42,63.5681,63.8356,598903
2017-11-17,63.6672,64.3804,63.469,64.1526,406339
2017-11-20,64.3903,64.4795,63.9198,64.2615,597871
2017-11-21,64.42,64.9253,64.004,64.7569,619050
2017-11-22,64.8562,64.9357,64.2701,64.4191,458911
2017-11-24,64.9158,64.9854,64.1062,64.2503,263865
2017-11-27,64.3397,64.5284,63.992,64.0913,518980
2017-11-28,64.2006,65.343,64.1509,65.2834,751712
2017-11-29,65.5019,66.6045,65.3728,66.4257,906947
2017-11-30,66.5549,68.3429,66.5549,67.9654,1177567
2017-12-01,67.9257,68.5515,66.5151,67.0714,1414318
2017-12-04,67.5085,69.1475,67.2999,68.4323,1364910
2017-12-05,68.3429,68.7303,67.5283,68.025,966131
2017-12-06,67.8462,68.2535,67.28,67.3098,526745
2017-12-07,67.1509,67.9555,67.0614,67.7866,508942
2017-12-08,68.025,68.025,67.2403,67.7667,865708
2017-12-11,68.0449,68.0449,67.4687,67.6674,1104732
2017-12-12,67.7568,68.0747,66.7535,66.7833,679915
2017-12-13,66.9423,67.3247,66.6939,66.8727,704656
2017-12-14,67.0019,67.1707,66.1476,66.2568,927864
2017-12-15,66.4158,66.684,65.8694,65.9787,2256328
2017-12-18,66.2568,67.1409,66.0284,67.0317,1420626
2017-12-19,67.2005,67.6078,67.0416,67.2403,642122
2017-12-20,67.3793,67.6177,67.0217,67.4489,759864
2017-12-21,67.6873,69.2965,67.5979,68.8594,1204553
2017-12-22,68.5416,69.0184,67.7965,68.0747,510734
2017-12-26,68.174,68.7998,68.0151,68.482,423575
2017-12-27,68.5714,68.5714,68.1542,68.2833,610544
2017-12-28,68.5614,68.5912,67.9654,68.323,566348
2017-12-29,68.323,68.7005,67.9704,67.9853,658321
2018-01-02,68.2535,68.4124,67.886,68.2833,799202
2018-01-03,68.4522,69.1574,68.2634,69.0879,1058598
2018-01-04,69.4555,69.8528,69.1614,69.6641,595268
2018-01-05,70.2104,71.174,70.1607,71.1442,1329830
2018-01-08,71.0846,71.2336,70.4687,70.9554,1084682
2018-01-09,70.8462,71.2534,69.8031,69.8528,902911
2018-01-10,69.6343,69.7336,68.5018,68.621,1197058
2018-01-11,68.8992,69.3164,68.0846,69.3164,672675
2018-01-12,69.5945,70.1607,69.0581,70.1508,921814
2018-01-16,70.4786,70.5779,69.6144,69.9323,1561202
