date,open,high,low,close,volume
2017-06-20,11.3683,11.3783,11.0941,11.2087,16799319
2017-06-21,11.2586,11.4182,11.0891,11.1788,12554728
2017-06-22,11.1589,11.6076,11.119,11.4182,14726490
2017-06-23,11.4979,11.7772,11.3134,11.7273,20746873
2017-06-26,11.8669,11.9267,11.6974,11.7871,13970151
2017-06-27,11.9467,12.106,11.6874,11.6874,14693946
2017-06-28,11.827,12.0564,11.6475,11.9567,12231534
2017-06-29,12.0663,12.2957,11.9467,12.0464,16256984
2017-06-30,12.0863,12.1561,11.8569,11.9766,14791053
2017-07-03,12.0464,12.2708,12.0265,12.1661,8517402
2017-07-05,12.1661,12.3257,11.9467,12.1362,13966991
2017-07-06,12.0564,12.176,11.827,11.8569,12965548
2017-07-07,11.8869,11.9666,11.6774,11.8669,12151434
2017-07-10,11.7871,12.6048,11.7423,12.4852,24245156
2017-07-11,12.4852,12.5949,12.1362,12.545,19193784
2017-07-12,12.3855,12.5749,12.1661,12.2359,23912479
2017-07-13,12.3057,12.535,12.2658,12.4453,17865301
2017-07-14,12.4752,12.6547,12.4752,12.565,11896462
2017-07-17,12.7445,13.3228,12.6846,12.9638,27319826
2017-07-18,12.9439,12.9838,12.7245,12.9638,15330898
2017-07-19,12.9938,13.1533,12.924,13.0735,14094964
2017-07-20,13.0835,13.1733,12.7644,13.0037,13210943
2017-07-21,13.0037,13.1533,12.8641,12.9738,11718713
2017-07-24,12.9738,13.0396,12.7544,12.924,14713188
2017-07-25,13.3129,14.9483,13.273,14.8286,74121803
2017-07-26,14.6491,15.2275,14.3699,15.0181,37215659
2017-07-27,15.0181,15.058,14.4098,14.4597,32957062
2017-07-28,14.4597,14.7588,14.4098,14.5594,17858305
2017-07-31,14.7588,14.8536,14.4996,14.5793,17123903
2017-08-01,14.5594,14.6491,14.1805,14.4497,19010045
2017-08-02,14.1007,14.4597,14.0209,14.33,17689370
2017-08-03,14.3001,14.5395,14.1306,14.33,20389087
2017-08-04,14.4098,14.6142,14.3101,14.3699,14822840
2017-08-07,14.5195,14.8087,14.4597,14.6591,14260521
2017-08-08,14.5893,14.8087,14.3699,14.4298,15750614
2017-08-09,14.4298,14.5644,14.2403,14.5494,13142573
2017-08-10,14.4298,14.5395,14.0807,14.1106,17626044
2017-08-11,13.9611,14.0558,13.7766,13.9212,19768300
2017-08-14,14.0508,14.2004,13.9511,14.1106,17354049
2017-08-15,13.9611,14.2004,13.8613,13.9311,14954864
2017-08-16,14.2403,14.7987,14.1406,14.7289,24242878
2017-08-17,14.5793,14.709,14.1306,14.1605,18107369
2017-08-18,14.0209,14.3001,13.8813,14.1106,15434337
2017-08-21,14.4996,14.8486,14.4397,14.689,23227665
2017-08-22,14.8685,15.417,14.8386,15.0281,31871092
2017-08-23,14.9483,15.3372,14.8785,15.2475,20105765
2017-08-24,15.2475,15.5965,15.1178,15.4469,22765984
2017-08-25,15.6663,15.7062,15.0879,15.2475,18066313
2017-08-28,15.3572,15.6264,15.3413,15.4868,13379262
2017-08-29,15.4519,15.4569,14.5993,15.1677,30041480
2017-08-30,15.1079,15.1278,14.4996,14.5195,23625880
2017-08-31,14.7888,14.9383,14.5494,14.7389,19899613
2017-09-01,14.8885,15.1577,14.8785,15.0281,12883208
2017-09-05,15.1876,15.3372,14.5395,14.7489,20277643
2017-09-06,14.4597,15.068,14.4597,15.0181,15729777
2017-09-07,15.0181,15.2076,14.8286,15.1677,15432365
2017-09-08,14.9284,14.9284,14.0907,14.2004,27484048
2017-09-11,14.4397,14.5594,14.3001,14.35,19728129
2017-09-12,14.2602,14.4397,14.0309,14.2602,20798631
2017-09-13,13.981,14.0359,13.7915,13.9012,23721558
2017-09-14,13.8115,13.8763,13.612,13.8215,17270156
2017-09-15,13.7816,14.0109,13.7816,13.8414,21270549
2017-09-18,13.8613,14.2002,13.8514,14.0907,14095925
2017-09-19,14.1106,14.5145,13.9212,14.4397,21264648
2017-09-20,14.4896,14.6392,13.9112,14.1406,18449526
2017-09-21,13.8913,14.2004,13.7816,13.9411,16535156
2017-09-22,13.8613,14.3001,13.8414,14.0209,12562844
2017-09-25,13.9511,14.0209,13.7217,13.8514,15655878
2017-09-26,13.9411,14.1206,13.8613,13.9511,13522228
2017-09-27,14.0608,14.0807,13.8115,13.9611,11806203
2017-09-28,13.9611,14.5195,13.8115,14.3799,20050588
2017-09-29,14.36,14.3699,13.9212,14.001,15716622
2017-10-02,13.9411,14.3001,13.9311,14.3001,14783804
2017-10-03,14.3799,14.6242,14.2203,14.5993,13404390
2017-10-04,14.6392,14.8286,14.4796,14.4896,15923723
2017-10-05,14.8286,15.3472,14.6093,14.709,25632984
2017-10-06,14.5694,14.6285,14.2203,14.2901,16569683
2017-10-09,14.2602,14.4198,14.1406,14.2802,9521745
2017-10-10,14.4497,14.6491,14.3151,14.3699,13055983
2017-10-11,14.3201,14.5081,14.2303,14.3899,14388999
2017-10-12,14.4896,14.6392,14.4098,14.4696,14161524
2017-10-13,14.7588,14.8286,14.5993,14.709,13737502
2017-10-16,15.2176,15.5466,14.9982,15.2275,26131977
2017-10-17,14.9782,15.0181,14.6192,14.8885,22915214
2017-10-18,14.7389,14.8586,14.5793,14.7888,15252001
2017-10-19,14.689,14.7937,14.4098,14.7688,15985631
2017-10-20,14.8785,14.9982,14.6691,14.7888,14307072
2017-10-23,14.8087,14.8685,14.719,14.7688,16018360
2017-10-24,14.9583,15.1876,14.8586,15.1876,20956000
2017-10-25,15.2176,15.5367,14.3998,14.6691,28859503
2017-10-26,14.7888,14.8586,14.5594,14.6491,16863119
2017-10-27,14.1904,14.2802,13.8613,14.0907,22873999
2017-10-30,14.0209,14.2203,13.9012,13.9012,15066065
2017-10-31,13.9012,13.996,13.8015,13.9411,14397629
2017-11-01,14.36,14.6491,14.2303,14.34,18478825
2017-11-02,14.2303,14.5295,14.1106,14.1904,13059602
2017-11-03,14.1605,14.2304,14.001,14.1106,8681334
2017-11-06,14.2901,14.6093,14.2104,14.5993,14020614
2017-11-07,14.4497,14.5294,14.3201,14.5095,10558993
2017-11-08,14.5793,14.8985,14.4397,14.8187,15949421
2017-11-09,14.5993,14.7588,14.4298,14.6791,15748165
2017-11-10,14.689,14.9383,14.35,14.3699,13518207
2017-11-13,14.2901,14.5993,14.2702,14.3899,9908239
